"품목코드","품목명","가중치","Tier","분류근거","세부"
"A011010","쌀","4.2","A","일반 시장가격형",""
"A011020","현미","0.4","A","일반 시장가격형",""
"A011030","찹쌀","0.5","A","일반 시장가격형",""
"A011040","보리쌀","0.2","A","일반 시장가격형",""
"A011050","콩","0.5","A","일반 시장가격형",""
"A011060","땅콩","0.1","A","일반 시장가격형",""
"A011070","혼식곡","0.4","A","일반 시장가격형",""
"A011080","밀가루","0.1","A","일반 시장가격형",""
"A011090","국수","0.7","A","일반 시장가격형",""
"A011100","라면","2.4","A","일반 시장가격형",""
"A011110","당면","0.2","A","일반 시장가격형",""
"A011120","두부","1.2","A","일반 시장가격형",""
"A011130","시리얼","0.4","A","일반 시장가격형",""
"A011140","부침가루","0.6","A","일반 시장가격형",""
"A011150","케이크","1.6","A","일반 시장가격형",""
"A011160","빵","6.8","A","일반 시장가격형",""
"A011170","떡","1.9","A","일반 시장가격형",""
"A011180","파스타면","0.1","A","일반 시장가격형",""
"A012010","국산쇠고기","8.6","A","일반 시장가격형",""
"A012020","수입쇠고기","3.1","A","일반 시장가격형",""
"A012030","돼지고기","9.8000000000000007","A","일반 시장가격형",""
"A012040","닭고기","1.5","A","일반 시장가격형",""
"A012050","소시지","2","A","일반 시장가격형",""
"A012060","햄및베이컨","2.7","A","일반 시장가격형",""
"A012070","기타육류가공품","0.9","A","일반 시장가격형",""
"A013110","마른멸치","0.5","A","일반 시장가격형",""
"A013120","마른오징어","0.2","A","일반 시장가격형",""
"A013140","오징어채","0.2","A","일반 시장가격형",""
"A013150","북어채","0.4","A","일반 시장가격형",""
"A013160","어묵","0.8","A","일반 시장가격형",""
"A013170","맛살","0.2","A","일반 시장가격형",""
"A013180","수산물통조림","0.7","A","일반 시장가격형",""
"A013190","젓갈","0.7","A","일반 시장가격형",""
"A014010","우유","3.4","A","일반 시장가격형",""
"A014020","분유","0.5","A","일반 시장가격형",""
"A014030","치즈","0.7","A","일반 시장가격형",""
"A014040","발효유","2","A","일반 시장가격형",""
"A014050","달걀","3","A","일반 시장가격형",""
"A015010","참기름","0.6","A","일반 시장가격형",""
"A015020","식용유","0.8","A","일반 시장가격형",""
"A016190","아몬드","0.2","A","일반 시장가격형",""
"A016200","과일가공품","1","A","일반 시장가격형",""
"A017250","고사리","0.1","A","일반 시장가격형",""
"A017270","단무지","0.2","A","일반 시장가격형",""
"A017280","김","0.5","A","일반 시장가격형",""
"A017290","맛김","0.5","A","일반 시장가격형",""
"A017300","미역","0.3","A","일반 시장가격형",""
"A018010","초콜릿","0.5","A","일반 시장가격형",""
"A018020","사탕","0.8","A","일반 시장가격형",""
"A018030","껌","0.1","A","일반 시장가격형",""
"A018040","아이스크림","2.6","A","일반 시장가격형",""
"A018050","비스킷","1.9","A","일반 시장가격형",""
"A018060","스낵과자","2.9","A","일반 시장가격형",""
"A018070","파이","0.6","A","일반 시장가격형",""
"A018080","설탕","0.30000000000000004","A","일반 시장가격형",""
"A018090","잼","0.1","A","일반 시장가격형",""
"A018100","꿀","0.4","A","일반 시장가격형",""
"A018110","물엿","0.2","A","일반 시장가격형",""
"A019010","고춧가루","1.6","A","일반 시장가격형",""
"A019020","참깨","0.6","A","일반 시장가격형",""
"A019040","소금","0.2","A","일반 시장가격형",""
"A019050","간장","0.4","A","일반 시장가격형",""
"A019060","된장","0.4","A","일반 시장가격형",""
"A019070","양념소스","0.5","A","일반 시장가격형",""
"A019080","고추장","0.3","A","일반 시장가격형",""
"A019090","카레","0.2","A","일반 시장가격형",""
"A019100","식초","0.1","A","일반 시장가격형",""
"A019110","드레싱","0.2","A","일반 시장가격형",""
"A019120","혼합조미료","0.3","A","일반 시장가격형",""
"A019130","스프","0.3","A","일반 시장가격형",""
"A019140","이유식","0.3","A","일반 시장가격형",""
"A019150","김치","1.3","A","일반 시장가격형",""
"A019160","밑반찬","3.1","A","일반 시장가격형",""
"A019170","냉동식품","1.9","A","일반 시장가격형",""
"A019180","즉석식품","3.1","A","일반 시장가격형",""
"A019190","편의점도시락","0.4","A","일반 시장가격형",""
"A019200","삼각김밥","0.4","A","일반 시장가격형",""
"A021010","커피","2.6","A","일반 시장가격형",""
"A021020","차","0.9","A","일반 시장가격형",""
"A022010","주스","1.4","A","일반 시장가격형",""
"A022020","두유","0.8","A","일반 시장가격형",""
"A022030","생수","1.3","A","일반 시장가격형",""
"A022040","기능성음료","0.5","A","일반 시장가격형",""
"A022050","탄산음료","1.6","A","일반 시장가격형",""
"A022060","기타음료","0.6","A","일반 시장가격형",""
"B011010","소주","1.7","A","일반 시장가격형",""
"B011020","과실주","0.8","A","일반 시장가격형",""
"B011030","맥주","3","A","일반 시장가격형",""
"B011040","막걸리","0.5","A","일반 시장가격형",""
"B011050","양주","0.4","A","일반 시장가격형",""
"B011060","약주","0.1","A","일반 시장가격형",""
"C011010","남자외의","4.4000000000000004","A","일반 시장가격형",""
"C011020","남자상의","1.5","A","일반 시장가격형",""
"C011030","남자하의","1.3","A","일반 시장가격형",""
"C011040","남자내의","0.7","A","일반 시장가격형",""
"C012010","여자외의","6.2","A","일반 시장가격형",""
"C012020","원피스","1.8","A","일반 시장가격형",""
"C012030","여자상의","1.5","A","일반 시장가격형",""
"C012040","여자하의","2.4","A","일반 시장가격형",""
"C012050","여자내의","1.8","A","일반 시장가격형",""
"C013010","점퍼","3.3","A","일반 시장가격형",""
"C013020","티셔츠","4.5999999999999996","A","일반 시장가격형",""
"C013030","스웨터","0.6","A","일반 시장가격형",""
"C013040","청바지","1.6","A","일반 시장가격형",""
"C013050","운동복","2.2999999999999998","A","일반 시장가격형",""
"C013060","등산복","0.5","A","일반 시장가격형",""
"C014010","유아동복","4.5999999999999996","A","일반 시장가격형",""
"C015010","양말","0.9","A","일반 시장가격형",""
"C015020","모자","0.6","A","일반 시장가격형",""
"C015030","장갑","0.2","A","일반 시장가격형",""
"C016010","의복수선료","0.2","A","일반 시장가격형",""
"C016020","세탁료","1.1000000000000001","A","일반 시장가격형",""
"C021010","아동화","0.9","A","일반 시장가격형",""
"C021020","구두","2","A","일반 시장가격형",""
"C021030","운동화","4.4000000000000004","A","일반 시장가격형",""
"C021040","실내화","0.2","A","일반 시장가격형",""
"D011010","전세","54.2","A","일반 시장가격형",""
"D011020","월세","44.9","A","일반 시장가격형",""
"D031010","주택수선재료","3.4","A","일반 시장가격형",""
"D031020","설비수리비","5.9","A","일반 시장가격형",""
"D041010","상수도료","4.5","A","일반 시장가격형",""
"D042010","공동주택관리비","21.8","A","일반 시장가격형",""
"E011010","장롱","1.3","A","일반 시장가격형",""
"E011020","침대","2.7","A","일반 시장가격형",""
"E011030","거실장","0.4","A","일반 시장가격형",""
"E011040","소파","1.3","A","일반 시장가격형",""
"E011050","책상","0.4","A","일반 시장가격형",""
"E011060","의자","0.4","A","일반 시장가격형",""
"E011070","식탁","0.9","A","일반 시장가격형",""
"E011080","싱크대","1.3","A","일반 시장가격형",""
"E021010","침구","2.6","A","일반 시장가격형",""
"E021020","커튼","0.4","A","일반 시장가격형",""
"E031010","전기밥솥","0.5","A","일반 시장가격형",""
"E031020","가스레인지","0.4","A","일반 시장가격형",""
"E031030","전자레인지","0.1","A","일반 시장가격형",""
"E031040","전기레인지","0.2","A","일반 시장가격형",""
"E031050","냉장고","2.4","A","일반 시장가격형",""
"E031060","김치냉장고","1.1000000000000001","A","일반 시장가격형",""
"E031070","에어컨","1.5","A","일반 시장가격형",""
"E031080","선풍기","0.4","A","일반 시장가격형",""
"E031090","공기청정기","0.6","A","일반 시장가격형",""
"E031100","세탁기","1","A","일반 시장가격형",""
"E031110","의류건조기","1.1000000000000001","A","일반 시장가격형",""
"E031120","식기세척기","0.2","A","일반 시장가격형",""
"E031130","청소기","1.1000000000000001","A","일반 시장가격형",""
"E031140","소형주방가전","0.8","A","일반 시장가격형",""
"E031150","보온매트","0.4","A","일반 시장가격형",""
"E032010","가전제품수리비","2.4","A","일반 시장가격형",""
"E032020","가전제품렌탈비","2.5","A","일반 시장가격형",""
"E041010","식기","0.8","A","일반 시장가격형",""
"E041020","컵","0.5","A","일반 시장가격형",""
"E041030","솥","0.2","A","일반 시장가격형",""
"E041040","프라이팬","0.6","A","일반 시장가격형",""
"E041050","냄비","0.5","A","일반 시장가격형",""
"E041060","수저","0.3","A","일반 시장가격형",""
"E041070","밀폐용기","0.7","A","일반 시장가격형",""
"E041080","부엌용용구","0.4","A","일반 시장가격형",""
"E051010","보일러","1.5","A","일반 시장가격형",""
"E051020","건전지","0.3","A","일반 시장가격형",""
"E051030","소형가사용품","1.3","A","일반 시장가격형",""
"E061010","세탁세제","1.7","A","일반 시장가격형",""
"E061020","섬유유연제","0.1","A","일반 시장가격형",""
"E061030","전구","0.2","A","일반 시장가격형",""
"E061040","부엌용세제","0.6","A","일반 시장가격형",""
"E061050","청소용세제","0.2","A","일반 시장가격형",""
"E061060","살충제","0.3","A","일반 시장가격형",""
"E061070","가정용비닐용품","0.6","A","일반 시장가격형",""
"E061080","키친타월","1","A","일반 시장가격형",""
"E061090","방향제","0.3","A","일반 시장가격형",""
"E061100","습기제거제","0.1","A","일반 시장가격형",""
"E062010","가사도우미료","2.4","A","일반 시장가격형",""
"E062020","간병도우미료","2.6","A","일반 시장가격형",""
"F011010","감기약","0.4","A","일반 시장가격형",""
"F011020","진통제","0.4","A","일반 시장가격형",""
"F011030","소화제","0.3","A","일반 시장가격형",""
"F011040","위장약","0.2","A","일반 시장가격형",""
"F011050","진해거담제","0.2","A","일반 시장가격형",""
"F011060","소염진통제","0.6","A","일반 시장가격형",""
"F011070","피부질환제","0.3","A","일반 시장가격형",""
"F011080","치과구강용약","0.3","A","일반 시장가격형",""
"F011090","조제약","5.8","A","일반 시장가격형",""
"F011100","한방약","2.7","A","일반 시장가격형",""
"F011110","인삼","0.3","A","일반 시장가격형",""
"F011120","홍삼","1.1000000000000001","A","일반 시장가격형",""
"F011130","비타민제","1.2","A","일반 시장가격형",""
"F011140","건강기능식품","6.5","A","일반 시장가격형",""
"F011150","유산균","1.2","A","일반 시장가격형",""
"F011160","병원약품","3.5","A","일반 시장가격형",""
"F012010","종이기저귀","1.4","A","일반 시장가격형",""
"F012020","생리대","1","A","일반 시장가격형",""
"F012030","마스크","1.6","A","일반 시장가격형",""
"F012040","반창고","0.1","A","일반 시장가격형",""
"F012050","안경","1","A","일반 시장가격형",""
"F012060","콘택트렌즈","1.4","A","일반 시장가격형",""
"F012070","의료측정기","0.2","A","일반 시장가격형",""
"F012080","보청기","0.6","A","일반 시장가격형",""
"F012090","건강기기렌탈비","1.5","A","일반 시장가격형",""
"F012100","치료재료","1.5","A","일반 시장가격형",""
"F021020","건강검진비","1.2","A","일반 시장가격형",""
"F022020","치과보철료","6.8","A","일반 시장가격형",""
"F031020","병원검사료","1.1000000000000001","A","일반 시장가격형",""
"G011010","소형승용차","1","A","일반 시장가격형",""
"G011020","중형승용차","1","A","일반 시장가격형",""
"G011030","대형승용차","3.2","A","일반 시장가격형",""
"G011040","경승용차","0.6","A","일반 시장가격형",""
"G011050","다목적승용차","7.7","A","일반 시장가격형",""
"G011060","수입승용차","9.3000000000000007","A","일반 시장가격형",""
"G011070","전기동력차","5.0999999999999996","A","일반 시장가격형",""
"G011080","자전거","0.5","A","일반 시장가격형",""
"G022010","자동차용품","0.9","A","일반 시장가격형",""
"G022020","블랙박스","0.2","A","일반 시장가격형",""
"G022030","자동차타이어","0.9","A","일반 시장가격형",""
"G022040","자동차수리비","6.3","A","일반 시장가격형",""
"G022050","엔진오일교체료","1","A","일반 시장가격형",""
"G022060","세차료","0.5","A","일반 시장가격형",""
"G023010","자동차학원비","0.5","A","일반 시장가격형",""
"G023020","주차료","1.2","A","일반 시장가격형",""
"G023040","승용차임차료","3.2","A","일반 시장가격형",""
"G023050","대리운전이용료","0.4","A","일반 시장가격형",""
"G023060","자동차검사료","0.3","A","일반 시장가격형",""
"G033010","국내항공료","1","A","일반 시장가격형",""
"G033030","여객선료","0.2","A","일반 시장가격형",""
"G034010","이삿짐운송료","1","A","일반 시장가격형",""
"G034020","택배이용료","1.9","A","일반 시장가격형",""
"H021010","휴대전화기","10.4","A","일반 시장가격형",""
"H031040","휴대전화기수리비","0.4","A","일반 시장가격형",""
"I011010","TV","1.9","A","일반 시장가격형",""
"I011020","영상음향기기","0.9","A","일반 시장가격형",""
"I012010","컴퓨터","3","A","일반 시장가격형",""
"I012020","컴퓨터수리비","0.1","A","일반 시장가격형",""
"I012030","휴대용멀티미디어기기","1.2","A","일반 시장가격형",""
"I012040","컴퓨터소모품","0.7","A","일반 시장가격형",""
"I012050","저장장치","0.1","A","일반 시장가격형",""
"I021010","악기","0.3","A","일반 시장가격형",""
"I021020","헬스기구","1.1000000000000001","A","일반 시장가격형",""
"I031010","장난감","2.9","A","일반 시장가격형",""
"I031020","레저용품","1.6","A","일반 시장가격형",""
"I031030","운동용품","2.1","A","일반 시장가격형",""
"I031040","화초","0.7","A","일반 시장가격형",""
"I031050","원예용품","0.4","A","일반 시장가격형",""
"I031060","반려동물용품","3.3","A","일반 시장가격형",""
"I031070","반려동물관리비","2.6","A","일반 시장가격형",""
"I041010","수영장이용료","0.2","A","일반 시장가격형",""
"I041020","볼링장이용료","0.2","A","일반 시장가격형",""
"I041030","헬스클럽이용료","1.5","A","일반 시장가격형",""
"I041040","골프연습장이용료","2.2999999999999998","A","일반 시장가격형",""
"I041050","골프장이용료","3","A","일반 시장가격형",""
"I041060","당구장이용료","0.5","A","일반 시장가격형",""
"I041070","노래방이용료","0.5","A","일반 시장가격형",""
"I041080","PC방이용료","0.3","A","일반 시장가격형",""
"I041090","놀이시설이용료","2.2999999999999998","A","일반 시장가격형",""
"I041100","운동경기관람료","0.2","A","일반 시장가격형",""
"I042010","영화관람료","1","A","일반 시장가격형",""
"I042020","공연예술관람료","0.7","A","일반 시장가격형",""
"I042030","관람시설이용료","0.6","A","일반 시장가격형",""
"I042040","독서실비","0.8","A","일반 시장가격형",""
"I042050","문화강습료","0.9","A","일반 시장가격형",""
"I042060","온라인콘텐츠이용료","8","A","일반 시장가격형",""
"I042080","사진서비스료","1.7","A","일반 시장가격형",""
"I051010","유아용학습교재","0.3","A","일반 시장가격형",""
"I051020","초등학교학습서","0.6","A","일반 시장가격형",""
"I051030","중학교학습서","0.6","A","일반 시장가격형",""
"I051040","고등학교학습서","0.6","A","일반 시장가격형",""
"I051050","대학교재","0.2","A","일반 시장가격형",""
"I051060","서적","1.5","A","일반 시장가격형",""
"I052010","신문","0.4","A","일반 시장가격형",""
"I053010","종이문구","0.5","A","일반 시장가격형",""
"I053020","기타문구","0.1","A","일반 시장가격형",""
"I053030","필기구","0.4","A","일반 시장가격형",""
"I053040","회화용구","0.2","A","일반 시장가격형",""
"I061010","국내단체여행비","2","A","일반 시장가격형",""
"I061020","해외단체여행비","5.5","A","일반 시장가격형",""
"J041010","초등학생학원비","7.6","A","일반 시장가격형",""
"J041020","중학생학원비","13.8","A","일반 시장가격형",""
"J041030","고등학생학원비","13.8","A","일반 시장가격형",""
"J041040","음악학원비","3","A","일반 시장가격형",""
"J041050","미술학원비","2.6","A","일반 시장가격형",""
"J041060","운동학원비","5.7","A","일반 시장가격형",""
"J041070","전산학원비","0.5","A","일반 시장가격형",""
"J041080","가정학습지","3.5","A","일반 시장가격형",""
"J041090","이러닝이용료","0.7","A","일반 시장가격형",""
"J041100","학교보충교육비","1.4","A","일반 시장가격형",""
"J041110","기타학원비","0.2","A","일반 시장가격형",""
"J042010","취업학원비","2","A","일반 시장가격형",""
"J042020","외국어학원비","0.5","A","일반 시장가격형",""
"J042030","운동강습료","3.7","A","일반 시장가격형",""
"K011010","김치찌개백반","4.8","A","일반 시장가격형",""
"K011020","된장찌개백반","4.3","A","일반 시장가격형",""
"K011030","비빔밥","2.4","A","일반 시장가격형",""
"K011040","설렁탕","2","A","일반 시장가격형",""
"K011050","갈비탕","2.2000000000000002","A","일반 시장가격형",""
"K011060","삼계탕","2.2000000000000002","A","일반 시장가격형",""
"K011070","해물찜","4.0999999999999996","A","일반 시장가격형",""
"K011080","해장국","5","A","일반 시장가격형",""
"K011090","불고기","1.1000000000000001","A","일반 시장가격형",""
"K011100","쇠고기(외식)","8.3000000000000007","A","일반 시장가격형",""
"K011110","돼지갈비(외식)","6.1","A","일반 시장가격형",""
"K011120","삼겹살(외식)","7.2","A","일반 시장가격형",""
"K011130","오리고기(외식)","1.5","A","일반 시장가격형",""
"K011140","냉면","2.4","A","일반 시장가격형",""
"K011150","칼국수","2.7","A","일반 시장가격형",""
"K011160","죽(외식)","1.7","A","일반 시장가격형",""
"K011170","생선초밥","2.7","A","일반 시장가격형",""
"K011180","생선회(외식)","10.3","A","일반 시장가격형",""
"K011190","자장면","2.2000000000000002","A","일반 시장가격형",""
"K011200","짬뽕","2.4","A","일반 시장가격형",""
"K011210","탕수육","2.1","A","일반 시장가격형",""
"K011220","볶음밥","0.9","A","일반 시장가격형",""
"K011230","돈가스","2.2000000000000002","A","일반 시장가격형",""
"K011240","스테이크","1.5","A","일반 시장가격형",""
"K011250","스파게티","1.5","A","일반 시장가격형",""
"K011260","라면(외식)","0.7","A","일반 시장가격형",""
"K011270","김밥","3.4","A","일반 시장가격형",""
"K011280","떡볶이","3.1","A","일반 시장가격형",""
"K011290","치킨","8.6","A","일반 시장가격형",""
"K011300","햄버거","4.3","A","일반 시장가격형",""
"K011310","피자","4.0999999999999996","A","일반 시장가격형",""
"K011320","쌀국수","0.6","A","일반 시장가격형",""
"K011330","커피(외식)","8.8000000000000007","A","일반 시장가격형",""
"K011340","기타음료(외식)","0.5","A","일반 시장가격형",""
"K011350","소주(외식)","2.5","A","일반 시장가격형",""
"K011360","맥주(외식)","4.8","A","일반 시장가격형",""
"K011370","막걸리(외식)","0.3","A","일반 시장가격형",""
"K011380","구내식당식사비","11.9","A","일반 시장가격형",""
"K011390","도시락","0.6","A","일반 시장가격형",""
"K021010","호텔숙박료","2.1","A","일반 시장가격형",""
"K021020","여관숙박료","1.5","A","일반 시장가격형",""
"K021030","콘도이용료","0.8","A","일반 시장가격형",""
"K021040","학교기숙사비","0.9","A","일반 시장가격형",""
"K021050","휴양시설이용료","1.4","A","일반 시장가격형",""
"L011010","목욕료","0.6","A","일반 시장가격형",""
"L011020","찜질방이용료","0.6","A","일반 시장가격형",""
"L011030","이발료","0.3","A","일반 시장가격형",""
"L011040","미용료","7.3","A","일반 시장가격형",""
