품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,raw_pred_2025-08,pred_2025-09,actual_2025-09,raw_pred_2025-09,pred_2025-10,actual_2025-10,raw_pred_2025-10,pred_2025-11,actual_2025-11,raw_pred_2025-11,pred_2025-12,actual_2025-12,raw_pred_2025-12,pred_2026-01,actual_2026-01,raw_pred_2026-01,pred_2026-02,actual_2026-02,raw_pred_2026-02,pred_2026-03,actual_2026-03,raw_pred_2026-03,pred_2026-04,actual_2026-04,raw_pred_2026-04,pred_2026-05,actual_2026-05,raw_pred_2026-05,pred_2026-06,actual_2026-06,raw_pred_2026-06,pred_2026-07,actual_2026-07,raw_pred_2026-07
A011010,쌀,A,4.2,비계절ETS,110.39528895868258,109.69,109.780289809248,111.12816441162092,113.98,111.12816441162092,116.4589590836567,120.31,116.4589590836567,124.29585719156432,118.42,124.29585719156432,119.01257141345918,117.5,119.01257141345918,117.30776205455744,116.84,117.30776205455744,116.48026449803278,117.53,116.48026449803278,117.69130791232134,116.63,117.69130791232134,116.30964035841303,116.7,116.30964035841303,116.60882957664472,116.63,116.60882957664472,116.56599717820431,116.94,116.56599717820431,117.04663887500024,116.5,117.04663887500024
A011020,현미,A,0.4,비계절ETS,132.2573948409411,129.39,131.50890279954055,131.54604315298258,131.81,131.54604315298258,133.67841999649923,133.99,133.67841999649923,135.65432918298092,132.44,135.65432918298092,132.05049380188575,130.29,132.05049380188575,128.93411964728529,129.82,128.93411964728529,129.24113648848086,129.79,129.24113648848086,129.63540635536586,128.85,129.63540635536586,128.2873492316764,128.98,128.2873492316764,128.9147292687389,129.15,128.9147292687389,129.2286776314966,128.94,129.2286776314966,128.84264771403147,127.66,128.84264771403147
A011030,찹쌀,A,0.5,비계절ETS,148.01199994380477,145.12,148.01199994380477,147.6960001479029,148.16,147.6960001479029,150.59199994754795,147.41,150.59199994754795,146.81000012881157,140.52,146.81000012881157,135.0080002057612,135.87,135.0080002057612,132.14999989162084,134.48,132.14999989162084,133.3679999200046,134.29,133.3679999200046,134.13799999205466,133.91,134.13799999205466,133.6060000198245,134.5,133.6060000198245,134.97199996264578,134.71,134.97199996264578,134.878000020808,134.65,134.878000020808,134.60200000571012,132.55,134.60200000571012
A011040,보리쌀,A,0.2,비계절ETS,188.87414662640072,190.76,188.87414662640072,195.29978788224028,194.95,195.29978788224028,199.28118939129905,197.52,199.28118939129905,201.08727804639284,198.51,201.08727804639284,200.90716209092847,198.34,200.90716209092847,199.4258931772359,198.42,199.4258931772359,198.31450417662236,198.78,198.9520498980721,198.35200058239485,197.65,199.1953366310117,196.40459625269187,196.59,197.36748717618588,195.12584443776188,195.6,195.99036513974457,194.2360642676586,190.64,194.88189367897647,187.26867389887533,182.77,188.081976468998
A011050,콩,A,0.5,비계절ETS,108.46121627333726,108.54,108.46121627333726,108.89247359033082,108.23,108.89247359033082,108.24781515380266,108.91,108.24781515380266,109.18794781080103,108.63,109.18794781080103,108.63040413074884,107.31,108.63040413074884,106.78411176279155,106.72,106.78411176279155,106.27364568898662,105.47,106.27364568898662,104.51705379550529,104.58,104.79169360925144,103.72299948040414,104.48,103.95256129604236,103.94573615517697,104.87,104.18877258503916,104.90923941592338,105.47,104.90923941592338,105.7260835677583,104.55,105.7260835677583
A011060,땅콩,A,0.1,비계절ETS,122.58287337616784,122.73,122.58287337616784,122.87851204666404,122.81,122.87851204666404,122.90542714145292,122.33,122.90542714145292,122.20996123620054,121.1,122.20996123620054,120.44221849041593,120.71,120.62279762384902,120.3583215853238,119.87,120.3583215853238,119.420801278424,120.06,119.420801278424,119.91975304897947,120.85,119.91975304897947,121.0568698957414,120.48,121.0568698957414,120.44784121236404,120.41,120.44784121236404,120.37135950035804,120.64,120.37135950035804,120.70074698383276,120.88,120.70074698383276
A011070,혼식곡,A,0.4,비계절ETS,120.56966783780013,119.66,120.56966783780013,119.45146336394416,119.67,119.5875541480984,119.64186588207218,120.19,119.64186588207218,120.36484914855572,120.9,120.36484914855572,121.23287766093291,120.21,121.23287766093291,120.109030477599,120.36,120.109030477599,120.36921357942084,119.92,120.36921357942084,119.76653461334156,120.25,119.76653461334156,120.30015057338484,120.59,120.30015057338484,120.7337999592208,120.53,120.7337999592208,120.57216400663282,121.45,120.57216400663282,121.79740529466848,121.56,121.79740529466848
A011080,밀가루,A,0.1,비계절ETS,135.88408844306102,135.68,135.73825658806163,135.6965456387762,136.12,135.6965456387762,136.17728001833794,135.33,136.17728001833794,135.28775724623236,135.57,135.28775724623236,135.56552875332898,137.85,135.56552875332898,138.08362580855527,137.72,138.08362580855527,137.8688911649337,134.38,137.8688911649337,134.1403417201893,132.33,134.1403417201893,131.94822645554882,128.66,131.94822645554882,127.99579881810092,129.07,127.99579881810092,128.65799242661586,128.97,128.65799242661586,128.6736356804323,128.97,128.6736356804323
A011090,국수,A,0.7,비계절ETS,145.7403930556014,146.07,145.7403930556014,145.852729791218,145.65,145.852729791218,145.46512829523158,153.19,145.46512829523158,152.91692752316726,153.95,152.91692752316726,153.9901337032813,152.66,153.9901337032813,152.75434370643555,155.92,152.75434370643555,155.9083015490055,155.54,155.9083015490055,155.65932965906595,155.33,155.65932965906595,155.43301837123605,144.58,155.43301837123605,144.82307773258202,143.16,144.82307773258202,143.00407503856044,141.67,143.00407503856044,141.47765102008944,147.99,141.47765102008944
A011100,라면,A,2.4,비계절ETS,124.00139936409822,123.82,124.00139936409822,123.90090303684268,125.5,123.90090303684268,125.58126571085306,126.87,125.58126571085306,126.9514702293882,127.13,126.9514702293882,127.21114706777168,127.55,127.21114706777168,127.63089813711704,128.71,127.63089813711704,129.22128108569893,127.93,128.79098944030602,128.37252580722932,126.6,128.01019316945718,126.67915792084555,126.4,126.67915792084555,126.47863772167256,126.71,126.47863772167256,126.7883467112108,126.7,126.7883467112108,126.77791635137362,126.96,126.77791635137362
