품목코드,품목명,Tier,가중치,모델,pred_2025-08,actual_2025-08,pred_2025-09,actual_2025-09,pred_2025-10,actual_2025-10,pred_2025-11,actual_2025-11,pred_2025-12,actual_2025-12,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A011010,쌀,A,4.2,비계절ETS,109.78028980924799,109.69,111.12816441162092,113.98,116.4589590836567,120.31,124.29585719156431,118.42,119.01257141345918,117.5,117.30776205455744,116.84,116.48026449803278,117.53,117.69130791232134,116.63,116.30964035841303,116.7,116.60882957664472,116.63,116.56599717820431,116.94,117.04663887500023,116.5
A011020,현미,A,0.4,비계절ETS,131.50890279954055,129.39,131.54604315298258,131.81,133.67841999649923,133.99,135.65432918298092,132.44,132.05049380188575,130.29,128.93411964728529,129.82,129.24113648848086,129.79,129.63540635536586,128.85,128.2873492316764,128.98,128.9147292687389,129.15,129.2286776314966,128.94,128.84264771403147,127.66
A011030,찹쌀,A,0.5,비계절ETS,148.01199994380477,145.12,147.6960001479029,148.16,150.59199994754795,147.41,146.81000012881157,140.52,135.0080002057612,135.87,132.14999989162084,134.48,133.3679999200046,134.29,134.13799999205466,133.91,133.60600001982453,134.5,134.97199996264578,134.71,134.878000020808,134.65,134.60200000571012,132.55
A011040,보리쌀,A,0.2,비계절ETS,188.87414662640072,190.76,195.29978788224028,194.95,199.28118939129902,197.52,201.08727804639284,198.51,200.90716209092847,198.34,199.4258931772359,198.42,198.9520498980721,198.78,199.1953366310117,197.65,197.36748717618588,196.59,195.99036513974457,195.6,194.88189367897652,190.64,188.08197646899802,182.77
A011050,콩,A,0.5,비계절ETS,108.46121627333726,108.54,108.89247359033082,108.23,108.24781515380266,108.91,109.18794781080103,108.63,108.63040413074884,107.31,106.78411176279157,106.72,106.27364568898662,105.47,104.79169360925144,104.58,103.95256129604235,104.48,104.18877258503915,104.87,104.90923941592338,105.47,105.7260835677583,104.55
A011060,땅콩,A,0.1,비계절ETS,122.58287337616783,122.73,122.87851204666404,122.81,122.90542714145292,122.33,122.20996123620054,121.1,120.62279762384902,120.71,120.35832158532381,119.87,119.42080127842401,120.06,119.91975304897949,120.85,121.05686989574139,120.48,120.44784121236403,120.41,120.37135950035805,120.64,120.70074698383276,120.88
A011070,혼식곡,A,0.4,비계절ETS,120.56966783780011,119.66,119.5875541480984,119.67,119.64186588207218,120.19,120.36484914855572,120.9,121.23287766093293,120.21,120.109030477599,120.36,120.36921357942084,119.92,119.76653461334156,120.25,120.30015057338485,120.59,120.7337999592208,120.53,120.57216400663282,121.45,121.79740529466848,121.56
A011080,밀가루,A,0.1,비계절ETS,135.73825658806163,135.68,135.6965456387762,136.12,136.17728001833794,135.33,135.28775724623236,135.57,135.56552875332898,137.85,138.08362580855527,137.72,137.8688911649337,134.38,134.1403417201893,132.33,131.94822645554882,128.66,127.99579881810092,129.07,128.65799242661586,128.97,128.6736356804323,128.97
A011090,국수,A,0.7,비계절ETS,145.7403930556014,146.07,145.852729791218,145.65,145.46512829523158,153.19,152.91692752316726,153.95,153.9901337032813,152.66,152.75434370643555,155.92,155.9083015490055,155.54,155.65932965906597,155.33,155.43301837123605,144.58,144.82307773258202,143.16,143.00407503856044,141.67,141.47765102008944,147.99
A011100,라면,A,2.4,비계절ETS,124.00139936409822,123.82,123.90090303684269,125.5,125.58126571085306,126.87,126.9514702293882,127.13,127.21114706777169,127.55,127.63089813711703,128.71,128.79098944030602,127.93,128.01019316945718,126.6,126.67915792084555,126.4,126.47863772167256,126.71,126.78834671121079,126.7,126.77791635137362,126.96
A011110,당면,A,0.2,비계절ETS,137.77023035531727,137.0,137.60128786315587,137.9,138.09680249477438,129.67,133.03918382798747,135.64,134.91325398797355,135.57,135.55669788717802,137.31,136.88686869976002,122.43,128.24481333677736,136.35,132.96078366622132,136.91,135.55469466604944,137.12,136.68579945475693,138.15,137.7708613367778,140.63
A011120,두부,A,1.2,비계절ETS,111.07943052145214,110.16,110.22863803802622,109.93,109.99815174780983,110.13,110.1978735834263,109.36,109.27492494681094,108.28,108.1408850893232,109.1,109.01619107878001,109.19,109.11704525321969,108.51,108.40871713000256,108.42,108.3208701190431,108.58,108.49370339503336,109.17,109.11511101173784,107.72
A011130,시리얼,A,0.4,비계절ETS,138.82563135689566,138.53,138.7319471951707,118.04,127.79202740764929,117.08,121.16008298350681,131.74,127.31145299478315,143.32,135.93743988646824,127.97,131.7498747764061,115.73,123.87377956709385,114.21,118.37476442597202,117.9,118.16236476877137,120.34,119.41719379735846,131.2,125.75360759098491,117.96
A011140,부침가루,A,0.6,비계절ETS,144.299144898098,143.7,144.03502831243176,144.72,144.40260665073384,137.16,140.68325953449659,143.95,142.055241620155,143.7,142.78636710278,144.11,143.45073643224245,128.94,136.09926222187315,140.13,137.45230294184037,141.5,139.0816206116355,142.1,140.47279690224664,139.97,140.2497448456675,143.69
A011150,케이크,A,1.6,비계절ETS,132.0024219880605,131.59,132.01138782833667,131.87,132.28298737266252,131.92,132.31495277571676,131.93,132.30622136436895,131.94,132.29837142428875,132.09,132.43741787695635,132.13,132.46194898957276,132.16,132.47644371493112,131.14,131.28326998818474,131.14,131.25526057042083,131.15,131.24689010699106,132.12
A011160,빵,A,6.8,비계절ETS,139.02917799957999,138.61,139.0717458975037,138.65,139.0946633304301,138.68,139.10816874280644,138.71,139.12248694382666,138.72,139.1168169605076,138.72,139.10142173707064,138.75,139.11757844904648,138.53,138.8755401965378,138.47,138.79952359504415,138.48,138.79634078677717,138.48,138.78305460095916,138.51
A011170,떡,A,1.9,비계절ETS,125.29249667611103,125.45,125.81635935400148,125.81,126.14710712446971,126.33,126.69984634073688,127.43,128.00485570041826,127.9,128.40183970334337,128.29,128.72171576948367,128.79,129.21365264284836,129.02,129.35254273364157,129.18,129.43336661479358,129.96,130.36149783478461,130.01,130.27577192534025,130.44
A011180,파스타면,A,0.1,비계절ETS,131.94760946162492,133.55,133.4600426982793,128.64,128.97179042180494,133.74,133.26123174495805,131.56,131.7492127255349,133.2,133.03147647042056,131.12,131.34853592740302,129.47,129.68567277528555,132.46,132.12005309906894,131.09,131.21946138485214,127.66,128.09854399732546,133.25,132.4991113141401,133.56
A012010,국산쇠고기,A,8.6,비계절ETS,104.48962097623749,105.93,106.43988263018576,107.64,108.44560599568682,109.84,110.95968345736206,109.26,109.5931888530269,111.13,111.89026901146336,112.39,113.1605889109895,113.59,114.3463157604348,111.65,111.3977315451576,110.5,110.0028347922793,109.01,108.2818107416761,111.28,111.64661261554491,110.35
A012020,수입쇠고기,A,3.1,비계절ETS,132.66625870449892,133.01,133.19065989870512,135.36,135.57165350635992,138.37,138.62409146107714,140.81,141.10076223439924,144.65,145.00896694800025,147.19,147.59842132666753,144.1,144.42338240993783,144.14,144.4562196321415,145.29,145.62065407615097,145.43,145.75528219649976,144.95,145.25854737891083,144.03
A012030,돼지고기,A,9.8,비계절ETS,132.3224220383187,136.64,136.74399898858601,136.35,136.4532912750902,135.98,136.0825517861098,129.94,130.03915713208465,129.12,129.21823318365375,126.65,126.74656248165086,127.96,128.0566316989893,125.21,125.3048675983731,127.7,127.79519949061067,132.99,133.0872695380843,135.77,135.8679529488136,134.56
A012040,닭고기,A,1.5,비계절ETS,132.91665788775893,133.94,134.02672115067452,132.67,132.7556365259529,130.84,130.92430029897926,129.77,129.85425614386835,128.83,128.9124448662871,132.0,132.0834526373731,131.84,131.92292499087037,135.13,135.2139535150441,139.37,139.4562031525821,139.24,139.3256784105428,137.91,137.99382112595126,134.86
A012050,소시지,A,2.0,비계절ETS,119.52538470867684,121.97,121.42969221410715,119.56,120.11907635901619,120.6,120.5550029329156,115.03,116.53832399066799,119.07,118.47891468125466,119.02,118.95081240695036,119.7,119.57475814152181,119.72,119.75741911687787,120.29,120.22276136213551,120.45,120.46483053485937,118.84,119.35401201327774,121.45
A012060,햄및베이컨,A,2.7,비계절ETS,123.24845171131278,124.3,124.22827278346475,121.4,121.93335212818467,124.07,123.8015273278233,120.64,121.28584092234999,120.49,120.71057397923765,121.26,121.2476090847678,121.92,121.88608472265787,121.07,121.29655472885518,118.21,118.82232909423035,121.28,120.9119580599817,125.24,124.58511738329618,126.33
A012070,기타육류가공품,A,0.9,비계절ETS,133.581918677995,133.36,133.00598079950865,133.24,132.88843994205718,127.64,127.7537707009594,130.84,129.10909740964985,133.61,132.87164038251092,136.32,136.53631053415708,137.89,138.25997216035594,139.39,139.78608327266073,140.22,140.66793697270765,135.63,136.38667561106092,136.12,136.49780219230513,137.77
A013110,마른멸치,A,0.5,비계절ETS,111.18692786062495,110.99,110.95929840031692,111.39,111.44464489400616,110.92,110.86740467286803,110.57,110.4732628725302,110.71,110.67610275409443,111.15,111.20971805323671,111.5,111.60115318771142,111.96,112.10717895243941,111.37,111.35244385790102,109.91,109.63046254776998,110.57,110.51944370573442,110.0
A013120,마른오징어,A,0.2,비계절ETS,127.30484405287653,125.64,125.78725604318694,125.65,125.74978399716564,124.27,123.8342289150227,124.71,124.63446087450501,124.95,124.95831182372078,126.37,126.71894281768458,126.21,126.40628600805292,127.12,127.47066987771913,127.12,127.35883813471136,127.17,127.34494812173288,127.31,127.46261238386522,126.4
A013140,오징어채,A,0.2,비계절ETS,153.67302698166216,152.82,152.09128570716192,152.19,151.64305268447504,150.69,149.8757266765018,149.91,149.26071969886706,150.18,150.01942452558893,149.72,149.4845399799674,147.13,146.0223363508149,146.42,145.67124099465283,145.15,144.3509814287222,144.34,143.69144015214206,144.44,144.21122513957894,142.97
A013150,북어채,A,0.4,비계절ETS,119.38518677858575,120.6,120.69897460816954,120.69,120.93960200133361,120.11,120.34259935674774,125.56,125.5785720749323,131.78,133.0841533531929,134.19,136.00675495648167,134.87,136.4118693962533,136.38,137.76900760212894,138.33,139.70708928894192,136.14,137.02234765532359,139.45,140.32568655609043,138.56
A013160,어묵,A,0.8,비계절ETS,131.44189874226458,128.38,128.6130996207257,129.91,129.9943733546629,128.74,128.83720386587214,126.67,126.51175267575246,127.75,127.51000032166928,126.9,126.76434905338022,125.91,125.6955056203646,128.39,128.25666104790847,125.73,125.8092908019107,126.73,126.52838636326925,133.2,133.3732908399056,134.76
