품목명,Tier,가중치,모델,MAPE%
쌀,A,4.2,비계절ETS,1.2816372867812493
현미,A,0.4,비계절ETS,0.7860776890993266
찹쌀,A,0.5,비계절ETS,1.2284425516880495
보리쌀,A,0.2,비계절ETS,0.9795152607826255
콩,A,0.5,비계절ETS,0.5726858918835761
땅콩,A,0.1,비계절ETS,0.35213304270445644
혼식곡,A,0.4,비계절ETS,0.4076175546687266
밀가루,A,0.1,비계절ETS,0.9111344436878793
국수,A,0.7,비계절ETS,1.953288713454734
라면,A,2.4,비계절ETS,0.5070392248827845
당면,A,0.2,비계절ETS,2.985663862667575
두부,A,1.2,비계절ETS,0.556035791314671
시리얼,A,0.4,비계절ETS,7.701914013271562
부침가루,A,0.6,비계절ETS,2.697624986277816
케이크,A,1.6,비계절ETS,0.3127899030337138
빵,A,6.8,비계절ETS,0.2829555474113163
떡,A,1.9,비계절ETS,0.17964153419019438
파스타면,A,0.1,비계절ETS,2.0109905164802573
국산쇠고기,A,8.6,비계절ETS,1.2927341838722972
수입쇠고기,A,3.1,비계절ETS,1.175763504095656
돼지고기,A,9.8,비계절ETS,1.9346030354267665
닭고기,A,1.5,비계절ETS,1.3599938811894836
소시지,A,2.0,비계절ETS,1.3185368048674164
햄및베이컨,A,2.7,비계절ETS,1.6110119389335036
기타육류가공품,A,0.9,비계절ETS,1.6372247482668911
마른멸치,A,0.5,비계절ETS,0.48527963603596574
마른오징어,A,0.2,비계절ETS,0.5795141480091667
오징어채,A,0.2,비계절ETS,0.47629348593360327
북어채,A,0.4,비계절ETS,1.5248210985274417
어묵,A,0.8,비계절ETS,1.5891348473592135
맛살,A,0.2,비계절ETS,1.7885768245055964
수산물통조림,A,0.7,비계절ETS,0.349860551324654
젓갈,A,0.7,비계절ETS,0.9583406014210549
우유,A,3.4,비계절ETS,0.17381319021237596
분유,A,0.5,비계절ETS,0.509503457937058
치즈,A,0.7,비계절ETS,0.29522192621650856
발효유,A,2.0,비계절ETS,0.4627248318253971
달걀,A,3.0,비계절ETS,1.2553705229408574
참기름,A,0.6,비계절ETS,1.6232246432966637
식용유,A,0.8,비계절ETS,2.9224107920840487
아몬드,A,0.2,비계절ETS,0.29257550769859725
과일가공품,A,1.0,비계절ETS,1.3815903446983449
고사리,A,0.1,비계절ETS,0.330039789657486
단무지,A,0.2,비계절ETS,2.015725348708366
김,A,0.5,비계절ETS,0.5076893006787522
맛김,A,0.5,비계절ETS,0.9463991319554367
미역,A,0.3,비계절ETS,0.3742025542387288
초콜릿,A,0.5,비계절ETS,0.739815441849854
사탕,A,0.8,비계절ETS,1.1191582043648214
