Tier,월,예측,실제,오차%
A,2025-08,116.9379959272139,117.04783220308289,-0.09383879547501178
A,2025-09,117.19059225692592,116.9441073722069,0.2107715303127825
A,2025-10,117.14976706034123,117.35507996097469,-0.17495016040356623
A,2025-11,117.47679908450014,117.20148927539876,0.23490299551950816
A,2025-12,117.39110685857746,117.37634900871043,0.012573103518434577
A,2026-01,117.52154298881251,117.86154384291771,-0.2884748010414166
A,2026-02,117.98407894369396,118.23358633584672,-0.21102920065710445
A,2026-03,118.38359081382377,118.39476229198027,-0.009435787479304026
A,2026-04,118.51467223150578,118.79675159463508,-0.23744703398273512
A,2026-05,118.93699788681936,119.3037041005945,-0.30737202716350404
A,2026-06,119.40839371924213,119.5534650271606,-0.12134429385673853
A,2026-07,119.70408414817982,119.95015594635427,-0.20514504231616562
B,2025-08,127.08280249510213,130.1766421361477,-2.376647292691592
B,2025-09,132.89077980106424,126.52711940895253,5.0294833406769595
B,2025-10,124.06932203161179,127.98939002467651,-3.0628069969775824
B,2025-11,119.40083232292451,121.39191698244232,-1.640211893025623
B,2025-12,124.37642680520649,124.51383049393124,-0.11035214978101779
B,2026-01,128.90072053126318,125.98596125840702,2.3135587836471405
B,2026-02,128.13841668297593,129.59864252489587,-1.1267292723682865
B,2026-03,127.93514007386739,124.5478284864353,2.719687391258702
B,2026-04,122.83223851254223,119.81641956840703,2.5170331036418405
B,2026-05,117.8585888689326,120.2659071558202,-2.0016631012217005
B,2026-06,117.10872718725062,117.77591368874761,-0.5664880709481848
B,2026-07,120.9515895501934,118.29155729981218,2.24870845485559
C,2025-08,106.20429837883846,101.0179924735514,5.134041746716496
C,2025-09,103.62393849080185,105.93553809825652,-2.18208133828577
C,2025-10,104.68330825553033,105.8780653988546,-1.1284274403989933
C,2025-11,105.13634296655201,105.97630973196048,-0.7925986171182542
C,2025-12,105.51642688732005,106.13712086935075,-0.584803862161235
C,2026-01,106.38202692234789,107.08071087859393,-0.6524834870009387
C,2026-02,106.91268904663232,106.9623577270751,-0.046435663441070224
C,2026-03,106.98606068809389,106.92038126251637,0.06142834958309255
C,2026-04,106.72585092859191,107.25298007009837,-0.4914820466172063
C,2026-05,107.1068241058135,107.63391424077031,-0.48970637059406785
C,2026-06,107.5586606865179,107.53227704021312,0.024535559955559207
C,2026-07,107.4634529340522,107.49649896729863,-0.03074149722447091
D,2025-08,129.3031977017076,129.41541982769627,-0.0867146481756798
D,2025-09,128.88393451959632,132.15038593887186,-2.4717683539618918
D,2025-10,132.37505646306477,132.2701961986505,0.07927731826811964
D,2025-11,135.290857236652,135.08441864922597,0.15282190906271775
D,2025-12,136.4672493698321,136.55254547280555,-0.06246394212433865
D,2026-01,134.6373491963561,134.49164924595627,0.10833382683364719
D,2026-02,133.97591959486232,133.8107146172768,0.12346169591727696
D,2026-03,142.62864385351418,142.21929574960313,0.2878288081469319
D,2026-04,149.32328996850438,148.98770178804668,0.22524555814353095
D,2026-05,150.8114812991459,150.4207027963318,0.2597903716373477
D,2026-06,150.65104578222625,150.43755688617733,0.1419119669767324
D,2026-07,145.48274436964874,141.8335198370943,2.57289287944475
전체,2025-08,116.86033641594088,116.36299708157358,0.4274033385532761
전체,2025-09,116.9052320241965,117.0092137356111,-0.08886625941232046
전체,2025-10,116.90597820281167,117.37849356782425,-0.4025570193057147
전체,2025-11,117.22199178135187,117.19981879714288,0.018918957756557015
전체,2025-12,117.50253589185479,117.58802283778596,-0.07270038552233847
전체,2026-01,117.77748175262806,117.99709908778757,-0.1861209613264484
전체,2026-02,118.11923946930573,118.3617960696053,-0.20492811730986113
전체,2026-03,119.02920693825077,118.85828428094996,0.14380373933110976
전체,2026-04,119.3380412972908,119.47070551855828,-0.11104330613237053
전체,2026-05,119.59579362909255,120.0212279970154,-0.3544659349206345
전체,2026-06,119.96861965378392,120.08889837071584,-0.10015806503663562
전체,2026-07,119.99044660544085,119.8126263467737,0.14841529151734711
