품목코드,품목명,Tier,가중치,모델,pred_2026-08
A011010,쌀,A,4.2,비계절ETS,116.35490465899694
A011020,현미,A,0.4,비계절ETS,126.92350480575115
A011030,찹쌀,A,0.5,비계절ETS,130.8700000767827
A011040,보리쌀,A,0.2,비계절ETS,177.44667353940193
A011050,콩,A,0.5,비계절ETS,104.28548268277086
A011060,땅콩,A,0.1,비계절ETS,120.98978878662751
A011070,혼식곡,A,0.4,비계절ETS,121.75300957788362
A011080,밀가루,A,0.1,비계절ETS,128.7641304197163
A011090,국수,A,0.7,비계절ETS,147.73665392348687
A011100,라면,A,2.4,비계절ETS,127.03760521247273
A011110,당면,A,0.2,비계절ETS,139.67782682669935
A011120,두부,A,1.2,비계절ETS,107.61132356359641
A011130,시리얼,A,0.4,비계절ETS,121.73621557504967
A011140,부침가루,A,0.6,비계절ETS,141.98790003913132
A011150,케이크,A,1.6,비계절ETS,132.37990300456855
A011160,빵,A,6.8,비계절ETS,138.80116724485868
A011170,떡,A,1.9,비계절ETS,130.73847411343988
A011180,파스타면,A,0.1,비계절ETS,133.41311092366445
A012010,국산쇠고기,A,8.6,비계절ETS,110.24176140890916
A012020,수입쇠고기,A,3.1,비계절ETS,144.31546764364117
A012030,돼지고기,A,9.8,비계절ETS,134.65664217403975
A012040,닭고기,A,1.5,비계절ETS,134.94204844391115
A012050,소시지,A,2.0,비계절ETS,120.95477719742992
A012060,햄및베이컨,A,2.7,비계절ETS,126.15077575923303
A012070,기타육류가공품,A,0.9,비계절ETS,138.06325992671086
A013110,마른멸치,A,0.5,비계절ETS,109.86611304681308
A013120,마른오징어,A,0.2,비계절ETS,126.28471526465965
A013140,오징어채,A,0.2,비계절ETS,142.31521664884977
A013150,북어채,A,0.4,비계절ETS,139.38000741263858
A013160,어묵,A,0.8,비계절ETS,135.63382009684346
A013170,맛살,A,0.2,비계절ETS,147.99642860421474
A013180,수산물통조림,A,0.7,비계절ETS,126.96660936685745
A013190,젓갈,A,0.7,비계절ETS,125.25672277689671
A014010,우유,A,3.4,비계절ETS,124.63348344881449
A014020,분유,A,0.5,비계절ETS,113.36224401391239
A014030,치즈,A,0.7,비계절ETS,144.8143251010459
A014040,발효유,A,2.0,비계절ETS,128.28415802206916
A014050,달걀,A,3.0,비계절ETS,155.7443074283707
A015010,참기름,A,0.6,비계절ETS,153.62950142750736
A015020,식용유,A,0.8,비계절ETS,156.4789746479223
A016190,아몬드,A,0.2,비계절ETS,111.22459093063779
A016200,과일가공품,A,1.0,비계절ETS,147.15164202945348
A017250,고사리,A,0.1,비계절ETS,126.90503436324228
A017270,단무지,A,0.2,비계절ETS,128.44567298975838
A017280,김,A,0.5,비계절ETS,154.80298573985908
A017290,맛김,A,0.5,비계절ETS,136.10624244704945
A017300,미역,A,0.3,비계절ETS,138.06986677299133
A018010,초콜릿,A,0.5,비계절ETS,163.83324091255884
A018020,사탕,A,0.8,비계절ETS,116.97215524352889
A018030,껌,A,0.1,비계절ETS,115.83611820175648
A018040,아이스크림,A,2.6,비계절ETS,128.95540464165344
A018050,비스킷,A,1.9,비계절ETS,135.71572510693306
A018060,스낵과자,A,2.9,비계절ETS,119.00019549157378
A018070,파이,A,0.6,비계절ETS,117.07138727835154
A018080,설탕,A,0.3,비계절ETS,142.97752892861965
A018090,잼,A,0.1,비계절ETS,172.4275539979978
A018100,꿀,A,0.4,비계절ETS,116.93883622263289
A018110,물엿,A,0.2,비계절ETS,138.66302603397796
A019010,고춧가루,A,1.6,비계절ETS,115.15635910455606
A019020,참깨,A,0.6,비계절ETS,137.61308625870114
A019040,소금,A,0.2,비계절ETS,177.1332911213174
A019050,간장,A,0.4,비계절ETS,142.77209125677106
A019060,된장,A,0.4,비계절ETS,140.59933898296615
A019070,양념소스,A,0.5,비계절ETS,141.04815400749845
A019080,고추장,A,0.3,비계절ETS,141.77284625367489
A019090,카레,A,0.2,비계절ETS,130.82598429091374
A019100,식초,A,0.1,비계절ETS,148.49894256161778
A019110,드레싱,A,0.2,비계절ETS,167.30216746968125
A019120,혼합조미료,A,0.3,비계절ETS,136.87319782184383
A019130,스프,A,0.3,비계절ETS,129.8465636032167
A019140,이유식,A,0.3,비계절ETS,111.21617177304073
A019150,김치,A,1.3,비계절ETS,134.31883914143066
A019160,밑반찬,A,3.1,비계절ETS,118.36486080241275
A019170,냉동식품,A,1.9,비계절ETS,118.51592830484799
A019180,즉석식품,A,3.1,비계절ETS,127.43779463259341
A019190,편의점도시락,A,0.4,비계절ETS,118.77286517630164
A019200,삼각김밥,A,0.4,비계절ETS,116.5103073164148
A021010,커피,A,2.6,비계절ETS,146.09545811778054
A021020,차,A,0.9,비계절ETS,125.4415114397681
A022010,주스,A,1.4,비계절ETS,136.78686743569972
A022020,두유,A,0.8,비계절ETS,127.10789504974889
A022030,생수,A,1.3,비계절ETS,117.1699393357026
A022040,기능성음료,A,0.5,비계절ETS,120.6595265091678
A022050,탄산음료,A,1.6,비계절ETS,120.35443921161425
A022060,기타음료,A,0.6,비계절ETS,123.81114914214436
B011010,소주,A,1.7,비계절ETS,109.06575081185771
B011020,과실주,A,0.8,비계절ETS,103.1681621892554
B011030,맥주,A,3.0,비계절ETS,116.3531963802829
B011040,막걸리,A,0.5,비계절ETS,124.3457315882163
B011050,양주,A,0.4,비계절ETS,114.18802063022667
B011060,약주,A,0.1,비계절ETS,105.95758383022834
C011010,남자외의,A,4.4,비계절ETS,120.42416814374822
C011020,남자상의,A,1.5,비계절ETS,115.19250711633983
C011030,남자하의,A,1.3,비계절ETS,123.82494721090497
C011040,남자내의,A,0.7,비계절ETS,111.50071933856674
C012010,여자외의,A,6.2,비계절ETS,115.88489227314535
C012020,원피스,A,1.8,비계절ETS,135.7653964321759
C012030,여자상의,A,1.5,비계절ETS,117.49780275083599
C012040,여자하의,A,2.4,비계절ETS,124.03087129502977
C012050,여자내의,A,1.8,비계절ETS,110.1554909758294
C013010,점퍼,A,3.3,비계절ETS,120.68587747061387
C013020,티셔츠,A,4.6,비계절ETS,123.93364575784051
C013030,스웨터,A,0.6,비계절ETS,118.80108646762002
C013040,청바지,A,1.6,비계절ETS,124.65956755335895
C013050,운동복,A,2.3,비계절ETS,112.64023935112604
C013060,등산복,A,0.5,비계절ETS,110.45386276669544
C014010,유아동복,A,4.6,비계절ETS,120.19308611686009
C015010,양말,A,0.9,비계절ETS,104.29316297836267
C015020,모자,A,0.6,비계절ETS,113.3377086428278
C015030,장갑,A,0.2,비계절ETS,158.16103801629137
C016010,의복수선료,A,0.2,비계절ETS,135.60348744842116
C016020,세탁료,A,1.1,비계절ETS,155.62180206113226
C021010,아동화,A,0.9,비계절ETS,116.35615130599152
C021020,구두,A,2.0,비계절ETS,114.43767462108042
C021030,운동화,A,4.4,비계절ETS,115.04834723667656
C021040,실내화,A,0.2,비계절ETS,128.00596857490336
D011010,전세,A,54.2,비계절ETS,106.32606512401921
D011020,월세,A,44.9,비계절ETS,105.9465907366708
D031010,주택수선재료,A,3.4,비계절ETS,127.9757455651619
D031020,설비수리비,A,5.9,비계절ETS,126.57457038266787
D041010,상수도료,A,4.5,비계절ETS,119.66225551461278
D042010,공동주택관리비,A,21.8,비계절ETS,131.4394371245893
E011010,장롱,A,1.3,비계절ETS,127.97286058691297
E011020,침대,A,2.7,비계절ETS,134.30023021165894
E011030,거실장,A,0.4,비계절ETS,128.1303053247991
E011040,소파,A,1.3,비계절ETS,137.32499552762135
E011050,책상,A,0.4,비계절ETS,131.22206204100496
E011060,의자,A,0.4,비계절ETS,120.25403521680889
E011070,식탁,A,0.9,비계절ETS,130.68117577057853
E011080,싱크대,A,1.3,비계절ETS,158.32774257719566
E021010,침구,A,2.6,비계절ETS,117.22091767103312
E021020,커튼,A,0.4,비계절ETS,107.97533851535637
E031010,전기밥솥,A,0.5,비계절ETS,98.06448129810572
E031020,가스레인지,A,0.4,비계절ETS,105.7502317953139
E031030,전자레인지,A,0.1,비계절ETS,107.09129764600891
E031040,전기레인지,A,0.2,비계절ETS,99.33387378173411
E031050,냉장고,A,2.4,비계절ETS,99.52700435595699
E031060,김치냉장고,A,1.1,비계절ETS,111.00510684530006
E031070,에어컨,A,1.5,비계절ETS,121.59532921556443
E031080,선풍기,A,0.4,비계절ETS,90.73897974160761
E031090,공기청정기,A,0.6,비계절ETS,91.80308472035699
E031100,세탁기,A,1.0,비계절ETS,103.3142954169386
E031110,의류건조기,A,1.1,비계절ETS,111.89909394327267
E031120,식기세척기,A,0.2,비계절ETS,101.718073480237
E031130,청소기,A,1.1,비계절ETS,98.60415189245234
E031140,소형주방가전,A,0.8,비계절ETS,113.11459315135679
E031150,보온매트,A,0.4,비계절ETS,114.89455771279735
E032010,가전제품수리비,A,2.4,비계절ETS,161.9894805142925
E032020,가전제품렌탈비,A,2.5,비계절ETS,97.21407104166461
E041010,식기,A,0.8,비계절ETS,129.10328398558494
E041020,컵,A,0.5,비계절ETS,106.91834511491695
E041030,솥,A,0.2,비계절ETS,122.20046502418037
E041040,프라이팬,A,0.6,비계절ETS,132.25495693777785
E041050,냄비,A,0.5,비계절ETS,129.55894120334438
E041060,수저,A,0.3,비계절ETS,114.63829131709149
E041070,밀폐용기,A,0.7,비계절ETS,126.28489039596154
E041080,부엌용용구,A,0.4,비계절ETS,129.8183588176978
E051010,보일러,A,1.5,비계절ETS,120.3668583492978
E051020,건전지,A,0.3,비계절ETS,150.60569875405605
E051030,소형가사용품,A,1.3,비계절ETS,118.4993733409928
E061010,세탁세제,A,1.7,비계절ETS,127.9609448698091
E061020,섬유유연제,A,0.1,비계절ETS,154.32476020584798
E061030,전구,A,0.2,비계절ETS,109.54110874128699
E061040,부엌용세제,A,0.6,비계절ETS,122.83036696707819
E061050,청소용세제,A,0.2,비계절ETS,139.98558473370608
E061060,살충제,A,0.3,비계절ETS,131.92870134371483
E061070,가정용비닐용품,A,0.6,비계절ETS,154.94013446884995
E061080,키친타월,A,1.0,비계절ETS,135.02782500044154
E061090,방향제,A,0.3,비계절ETS,133.43665220108733
E061100,습기제거제,A,0.1,비계절ETS,145.7915131877434
E062010,가사도우미료,A,2.4,비계절ETS,124.04834178493256
E062020,간병도우미료,A,2.6,비계절ETS,145.54511953628707
F011010,감기약,A,0.4,비계절ETS,128.49480689269754
F011020,진통제,A,0.4,비계절ETS,120.27580340610936
F011030,소화제,A,0.3,비계절ETS,123.36347059122889
