분류,바텀업예측,탑다운예측,채택방식,최종예측,가중치,실제(8월),오차,오차%
01 식료품 및 비주류음료,128.63754969375145,128.57853494128398,바텀업,128.63754969375145,142.0,128.27,0.3675496937514424,0.28654376997851594
02 주류 및 담배,105.14717257888535,105.04888155653497,바텀업,105.14717257888535,15.8,105.29,-0.14282742111466007,-0.13565145893689814
03 의류 및 신발,119.56046220428632,119.79625992138912,바텀업,119.56046220428632,49.6,119.72,-0.15953779571367477,-0.13325910099705543
"04 주택, 수도, 전기 및 연료",117.29259180007693,117.83357406465768,탑다운,117.83357406465768,171.6,117.59,0.24357406465767895,0.20713841709131636
05 가정용품 및 가사 서비스,123.17562908757357,123.23841630707275,바텀업,123.17562908757357,45.6,123.16,0.015629087573572065,0.012690067857723341
06 보건,107.50326491295989,107.22149855938676,탑다운,107.22149855938676,84.0,107.04,0.1814985593867533,0.1695614344046649
07 교통,125.4274143354468,124.6778947529962,바텀업,125.4274143354468,110.60000000000001,124.63,0.7974143354468026,0.6398253513975789
08 통신,102.020188991541,101.42653388175412,바텀업,102.020188991541,46.6,102.48,-0.459811008458999,-0.44868365384367587
09 오락 및 문화,116.99692811468117,116.65786259711987,탑다운,116.65786259711987,62.9,115.8,0.8578625971198761,0.7408139871501521
10 교육,110.55795282889954,110.37636278729263,바텀업,110.55795282889954,73.9,110.31,0.2479528288995425,0.2247781968085781
11 음식 및 숙박,128.71455347599345,128.85532315788308,바텀업,128.71455347599345,144.7,129.03,-0.31544652400654627,-0.24447533442342578
12 기타 상품 및 서비스,130.35041788894227,130.50673582064067,바텀업,130.35041788894227,52.7,130.45,-0.09958211105771397,-0.07633737911668377
