분류,2026-07(실제),2026-08(예측),전월대비%
총지수,119.77,120.17296741780666,0.3364510460104068
01 식료품 및 비주류음료,126.94,128.57853494128398,1.2907948174602006
02 주류 및 담배,105.09,105.04888155653495,-0.03912688501765365
03 의류 및 신발,119.71,119.79625992138911,0.07205740655677423
"04 주택, 수도, 전기 및 연료",117.29,117.83357406465768,0.4634445090439731
05 가정용품 및 가사 서비스,122.9,123.23841630707275,0.27535907817147937
06 보건,107.16,107.22149855938676,0.057389473111947524
07 교통,124.73,124.67789475299621,-0.0417744303726404
08 통신,102.01,101.42653388175412,-0.5719695306792277
09 오락 및 문화,116.27,116.65786259711987,0.3335878533756578
10 교육,110.27,110.37636278729265,0.09645668567393954
11 음식 및 숙박,128.61,128.85532315788308,0.19074967567301446
12 기타 상품 및 서비스,130.44,130.50673582064067,0.051162082674542454
01.1 식료품,126.71,128.43967584612335,1.3650665662720833
01.2 비주류 음료,129.92,130.0474876980072,0.09812784637253759
02.1 주류,113.47,113.75393095875678,0.2502255739462272
02.2 담배,99.77,99.63342679593241,-0.13688804657470982
03.1 의류,120.4,120.44459065086916,0.03703542430992823
03.2 신발,115.83,115.32425571851324,-0.43662633297656533
04.1 주택임차료,106.04,106.17820349679792,0.13033147566759126
04.3 주거시설 유지 · 보수,126.51,126.87223952055287,0.2863327172182925
04.4 수도 및 주거관련 서비스,128.38,129.14210149226992,0.5936294533961056
"04.5 전기, 가스 및 기타연료",140.15,142.39001840483692,1.5983006812964087
"05.1 가구, 가사비품 및 카페트",136.03,136.60271509351597,0.42102116703371834
05.2 가정용 섬유제품,115.88,115.9698484206312,0.07753574441767272
05.3 가정용 기기,111.75,111.74448700448715,-0.0049333293179821104
05.4 주방용품 및 가정용품,125.44,125.55402279920787,0.0908982774297461
05.5 가정 · 정원용 공구 및 장비,123.15,123.36557821889416,0.17505336491607917
05.6 일상 생활용품 및 가사 서비스,133.68,133.6070564883572,-0.05456576274896709
06.1 의료용품 및 장비,103.51,103.58613295161217,0.07355130094886123
06.2 외래환자 서비스,111.8,111.8895288871778,0.080079505525766
06.3 병원 서비스,104.15,103.96680906432816,-0.17589144087551178
07.1 운송장비,110.84,110.81818496662119,-0.019681553030327065
07.2 개인운송장비 운영,134.7,134.4238997792124,-0.20497418024319475
07.3 운송 서비스,119.65,120.09583201911026,0.37261347188487737
08.1 우편서비스,123.56,123.77833408471446,0.17670288500684395
08.2 전화 및 팩스장비,101.92,101.00988238153765,-0.8929725455870792
08.3 전화 및 팩스 서비스,101.93,101.14547238144023,-0.7696729309916396
"09.1 음향, 영상, 사진 및 정보처리 장비",115.5,117.07250389483978,1.3614752336275184
09.2 기타 오락 및 문화용 주요 내구재,114.4,114.31829371280696,-0.07142157971419857
"09.3 기타 오락용품, 조경용품 및 애완동물",113.63,113.6621837850922,0.028323316986888038
09.4 오락 및 문화 서비스,113.29,113.35109186636721,0.05392520643234764
"09.5 신문, 서적 및 문방구",115.62,115.72421694057675,0.09013746806499578
09.6 단체여행,140.06,145.68600135244418,4.01685088707995
10.1 유치원 및 초등교육,39.71,39.294511517095096,-1.0463069325230552
10.3 고등교육,107.42,107.04857530648282,-0.3457686590180454
10.4 기타교육,113.91,113.96337606855487,0.04685810600901461
11.1 음식 서비스,128.31,128.50306285380623,0.15046594482598794
11.2 숙박 서비스,132.75,136.05200108491596,2.4873831148142806
12.1 미용용품 및 미용 서비스,122.19,121.80395357357644,-0.3159394602042407
12.3 기타 개인용품,116.36,116.45628105255915,0.08274411529662196
