품목코드,품목명,Tier,가중치,pred,pred_corr
A011010,쌀,A,4.2,99.29860139314508,99.29860139314508
A011020,현미,A,0.4,110.59860252705455,110.59860252705455
A011030,찹쌀,A,0.5,116.58799988815187,116.58799988815187
A011040,보리쌀,A,0.2,164.4954510414821,164.4954510414821
A011050,콩,A,0.5,106.98826573982883,106.98826573982883
A011060,땅콩,A,0.1,120.92422947186888,120.92422947186888
A011070,혼식곡,A,0.4,112.34270205048566,112.34270205048566
A011080,밀가루,A,0.1,137.5830289736244,137.5830289736244
A011090,국수,A,0.7,159.6810213480792,159.6810213480792
A011100,라면,A,2.4,119.25215098168773,119.25215098168773
A011110,당면,A,0.2,138.10025263391844,138.10025263391844
A011120,두부,A,1.2,118.01050126332942,118.01050126332942
A011130,시리얼,A,0.4,124.43873248555624,124.43873248555624
A011140,부침가루,A,0.6,142.91408572321245,142.91408572321245
A011150,케이크,A,1.6,126.52,126.52
A011160,빵,A,6.8,134.32,134.32
A011170,떡,A,1.9,122.03027999484482,122.03027999484482
A011180,파스타면,A,0.1,133.4454532400706,133.4454532400706
A012010,국산쇠고기,A,8.6,106.99002443921569,106.99002443921569
A012020,수입쇠고기,A,3.1,134.20458363216719,134.20458363216719
A012030,돼지고기,A,9.8,122.45378463455032,122.45378463455032
A012040,닭고기,A,1.5,125.41616651690752,125.41616651690752
A012050,소시지,A,2.0,115.91996511122247,115.91996511122247
A012060,햄및베이컨,A,2.7,116.73657641661939,116.73657641661939
A012070,기타육류가공품,A,0.9,132.27308991639717,132.27308991639717
A013110,마른멸치,A,0.5,111.63897516797455,111.63897516797455
A013120,마른오징어,A,0.2,123.05333005072377,123.05333005072377
A013140,오징어채,A,0.2,122.63350737477067,122.63350737477067
A013150,북어채,A,0.4,118.86347460374809,118.86347460374809
A013160,어묵,A,0.8,124.07845150112392,124.07845150112392
A013170,맛살,A,0.2,135.46003169553856,135.46003169553856
A013180,수산물통조림,A,0.7,122.34292863728507,122.34292863728507
A013190,젓갈,A,0.7,104.90860691801225,104.90860691801225
A014010,우유,A,3.4,124.26735466017425,124.26735466017425
A014020,분유,A,0.5,109.28147222653334,109.28147222653334
A014030,치즈,A,0.7,139.47855664806568,139.47855664806568
A014040,발효유,A,2.0,124.23853332588382,124.23853332588382
A014050,달걀,A,3.0,134.4863259190586,134.4863259190586
A015010,참기름,A,0.6,153.7165069604124,153.7165069604124
A015020,식용유,A,0.8,183.18810657413667,183.18810657413667
A016190,아몬드,A,0.2,96.98151956301854,96.98151956301854
A016200,과일가공품,A,1.0,138.87583687412675,138.87583687412675
A017250,고사리,A,0.1,122.84964565942103,122.84964565942103
A017270,단무지,A,0.2,112.83332083535458,112.83332083535458
A017280,김,A,0.5,151.26845930109766,151.26845930109766
A017290,맛김,A,0.5,130.53235382795526,130.53235382795526
A017300,미역,A,0.3,128.54236731024974,128.54236731024974
A018010,초콜릿,A,0.5,140.38184247770627,140.38184247770627
A018020,사탕,A,0.8,116.27118216073623,116.27118216073623
A018030,껌,A,0.1,116.4439495490577,116.4439495490577
A018040,아이스크림,A,2.6,123.18741209551536,123.18741209551536
A018050,비스킷,A,1.9,130.49155650577345,130.49155650577345
A018060,스낵과자,A,2.9,113.93957997013263,113.93957997013263
A018070,파이,A,0.6,113.23734556181489,113.23734556181489
