품목명,Tier,가중치,pred_corr,실제,오차,오차%,기여오차
휴대전화료,C,29.8,101.93168288138727,80.52,21.41168288138728,26.591757180063684,0.6380681498653409
돼지고기,A,9.8,130.43462097126763,136.64,-6.205379028732352,-4.541407368802951,-0.060812714481577
배추,B,1.3,128.35951073004196,152.69,-24.33048926995804,-15.93456629115072,-0.0316296360509454
토마토,B,1.3,97.72238619267384,119.28,-21.557613807326163,-18.0731168740159,-0.028024897949524
햄버거,A,4.3,137.96801063054727,131.94,6.028010630547271,4.56875142530489,0.0259204457113532
승용차임차료,B,3.2,91.1493056017826,96.79,-5.640694398217406,-5.827765676430835,-0.0180502220742957
파프리카,B,0.6,98.76152314086248,125.74,-26.978476859137515,-21.455763368170444,-0.0161870861154825
파,B,0.9,101.35161553216618,116.56,-15.208384467833824,-13.047687429507398,-0.0136875460210504
복숭아,B,1.0,144.92848020569474,158.58,-13.651519794305273,-8.608601207154289,-0.0136515197943052
사과,B,2.3,174.1324408163883,179.5,-5.367559183611689,-2.9902836677502447,-0.0123453861223068
상추,B,0.6,174.3619345062108,155.01,19.3519345062108,12.484313596678149,0.0116111607037264
국산쇠고기,A,8.6,104.68001628553522,105.93,-1.2499837144647898,-1.180009170645511,-0.0107498599443971
배,B,0.7,168.09798243893323,153.34,14.757982438933226,9.624352705708375,0.0103305877072532
고구마,B,1.0,93.2033662572298,103.49,-10.286633742770192,-9.939736924118458,-0.0102866337427701
고등어,B,2.0,124.64665190946636,129.63,-4.983348090533639,-3.844286114737051,-0.0099666961810672
전기료,D,16.1,126.89087611355592,126.47,0.42087611355592,0.3327873120549696,0.0067761054282503
무,B,0.6,126.28033729335648,115.27,11.010337293356486,9.551780422795598,0.0066062023760138
놀이시설이용료,A,2.3,130.33438250396432,127.52,2.8143825039643247,2.207012628579301,0.0064730797591179
시내버스료,C,6.8,112.6521850955313,113.56,-0.907814904468708,-0.7994143223570871,-0.0061731413503872
호박,B,0.5,121.00445691744756,108.79,12.21445691744755,11.22755484644503,0.0061072284587237
