품목명,Tier,가중치,pred_corr,실제,오차%
휴대전화료,C,29.8,101.93168288138727,80.52,26.591757180063684
가지,B,0.2,113.67189578698064,90.06,26.217961122563445
파프리카,B,0.6,98.76152314086248,125.74,-21.455763368170444
토마토,B,1.3,97.72238619267384,119.28,-18.0731168740159
배추,B,1.3,128.35951073004196,152.69,-15.93456629115072
파,B,0.9,101.35161553216618,116.56,-13.047687429507398
상추,B,0.6,174.3619345062108,155.01,12.484313596678149
호박,B,0.5,121.00445691744756,108.79,11.22755484644503
선풍기,A,0.4,83.90578241659519,94.03,-10.767007958528994
고구마,B,1.0,93.2033662572298,103.49,-9.939736924118458
배,B,0.7,168.09798243893323,153.34,9.624352705708375
무,B,0.6,126.28033729335648,115.27,9.551780422795598
당근,B,0.3,79.21338999806753,86.74,-8.67720774951864
복숭아,B,1.0,144.92848020569474,158.58,-8.608601207154289
브로콜리,B,0.2,125.57507802922122,137.2,-8.472975197360622
열무,B,0.2,161.96032034918298,176.84,-8.414204733554074
구강세정제,A,0.2,120.1580987118825,112.41,6.892713025427014
부엌용세제,A,0.6,118.94995484550095,127.22,-6.500585721190885
생강,B,0.1,99.57333418946084,105.83,-5.911996419294304
승용차임차료,B,3.2,91.1493056017826,96.79,-5.827765676430835
