품목코드,품목명,Tier,가중치,pred,보정치,pred_corr
A011010,쌀,A,4.2,119.01257141345918,0.0,119.01257141345918
A011020,현미,A,0.4,132.05049380188575,0.0,132.05049380188575
A011030,찹쌀,A,0.5,135.0080002057612,0.0,135.0080002057612
A011040,보리쌀,A,0.2,200.90716209092847,0.0,200.90716209092847
A011050,콩,A,0.5,108.63040413074884,0.0,108.63040413074884
A011060,땅콩,A,0.1,120.62279762384902,0.30096522238850554,120.44221849041593
A011070,혼식곡,A,0.4,121.23287766093293,0.0,121.23287766093293
A011080,밀가루,A,0.1,135.56552875332898,0.0,135.56552875332898
A011090,국수,A,0.7,153.9901337032813,0.0,153.9901337032813
A011100,라면,A,2.4,127.21114706777169,0.0,127.21114706777169
A011110,당면,A,0.2,134.91325398797355,0.0,134.91325398797355
A011120,두부,A,1.2,109.27492494681094,0.0,109.27492494681094
A011130,시리얼,A,0.4,127.31145299478315,0.0,127.31145299478315
A011140,부침가루,A,0.6,142.055241620155,0.0,142.055241620155
A011150,케이크,A,1.6,131.93,0.3790723205140078,131.7025566076916
A011160,빵,A,6.8,138.71,0.4338300248837423,138.44970198506977
A011170,떡,A,1.9,128.00485570041826,0.0,128.00485570041826
A011180,파스타면,A,0.1,131.7492127255349,0.0,131.7492127255349
A012010,국산쇠고기,A,8.6,109.23912445302028,0.0,109.23912445302028
A012020,수입쇠고기,A,3.1,141.10076223439924,-0.7248293999003153,141.53565987433944
A012030,돼지고기,A,9.8,131.66628922837745,0.0,131.66628922837745
A012040,닭고기,A,1.5,129.85425614386835,0.0,129.85425614386835
A012050,소시지,A,2.0,116.53832399066799,0.0,116.53832399066799
A012060,햄및베이컨,A,2.7,121.28584092234999,0.0,121.28584092234999
A012070,기타육류가공품,A,0.9,129.10909740964985,0.0,129.10909740964985
A013110,마른멸치,A,0.5,110.4732628725302,0.0,110.4732628725302
A013120,마른오징어,A,0.2,124.63446087450501,0.0,124.63446087450501
A013140,오징어채,A,0.2,149.26071969886706,0.0,149.26071969886706
A013150,북어채,A,0.4,125.5785720749323,0.0,125.5785720749323
A013160,어묵,A,0.8,126.51175267575246,0.0,126.51175267575246
A013170,맛살,A,0.2,142.1190490080436,0.0,142.1190490080436
A013180,수산물통조림,A,0.7,124.231957969543,0.0,124.231957969543
A013190,젓갈,A,0.7,114.07570839309287,0.0,114.07570839309287
A014010,우유,A,3.4,124.37678322776443,0.142934965429068,124.29102224850699
A014020,분유,A,0.5,112.25025561746371,0.0,112.25025561746371
A014030,치즈,A,0.7,145.6609098230597,-0.29901680518231427,145.8403199061691
A014040,발효유,A,2.0,127.84840333559252,0.0,127.84840333559252
A014050,달걀,A,3.0,144.36424770570113,0.0,144.36424770570113
A015010,참기름,A,0.6,152.13237810848346,0.6686416132161431,151.73119314055378
A015020,식용유,A,0.8,160.22739571757805,0.0,160.22739571757805
A016190,아몬드,A,0.2,109.35070791697491,0.0,109.35070791697491
A016200,과일가공품,A,1.0,143.44513311995297,0.0,143.44513311995297
A017250,고사리,A,0.1,124.51204814873878,0.0,124.51204814873878
A017270,단무지,A,0.2,119.42057249867518,0.0,119.42057249867518
A017280,김,A,0.5,155.51540443504805,-0.44832261020443315,155.7843980011707
A017290,맛김,A,0.5,129.62615770453706,0.0,129.62615770453706
A017300,미역,A,0.3,132.10446004976112,0.4297471984315706,131.84661173070216
A018010,초콜릿,A,0.5,164.5869985758855,0.0,164.5869985758855
A018020,사탕,A,0.8,115.46669012483605,0.24325228439013577,115.32073875420197
A018030,껌,A,0.1,116.60647558143692,0.06946460208577084,116.56479682018546
A018040,아이스크림,A,2.6,128.69920696487034,0.0,128.69920696487034
A018050,비스킷,A,1.9,135.34401297270483,0.0,135.34401297270483
A018060,스낵과자,A,2.9,119.03794704172849,0.0,119.03794704172849
A018070,파이,A,0.6,116.01435757909876,0.0,116.01435757909876
A018080,설탕,A,0.3,147.40698304956848,0.0,147.40698304956848
A018090,잼,A,0.1,171.30581671200696,0.0,171.30581671200696
A018100,꿀,A,0.4,116.52064543410006,0.0,116.52064543410006
A018110,물엿,A,0.2,136.75458390401997,0.0,136.75458390401997
A019010,고춧가루,A,1.6,113.53,0.0,113.53
A019020,참깨,A,0.6,134.64720730497996,0.24498781232481312,134.50021461758507
A019040,소금,A,0.2,176.26236519916068,0.0,176.26236519916068
A019050,간장,A,0.4,129.18394146445922,0.0,129.18394146445922
A019060,된장,A,0.4,131.923845381509,0.0,131.923845381509
A019070,양념소스,A,0.5,139.94231028528202,0.0,139.94231028528202
A019080,고추장,A,0.3,135.746421806204,-1.652760168829251,136.73807790750155
A019090,카레,A,0.2,131.1278884815368,0.0,131.1278884815368
A019100,식초,A,0.1,148.27817061983944,0.0,148.27817061983944
A019110,드레싱,A,0.2,162.49837735789794,0.0,162.49837735789794
A019120,혼합조미료,A,0.3,134.88917472576813,0.0,134.88917472576813
A019130,스프,A,0.3,129.85836321121252,0.0,129.85836321121252
A019140,이유식,A,0.3,111.22048164785808,0.10229860635582118,111.15910248404458
A019150,김치,A,1.3,134.4854704966386,0.0,134.4854704966386
A019160,밑반찬,A,3.1,117.28457450432037,0.0,117.28457450432037
A019170,냉동식품,A,1.9,121.34803154746814,0.0,121.34803154746814
A019180,즉석식품,A,3.1,122.61738513711141,0.0,122.61738513711141
A019190,편의점도시락,A,0.4,118.8638397358068,0.0775307957878842,118.81732125833408
A019200,삼각김밥,A,0.4,114.09072810989464,0.0,114.09072810989464
A021010,커피,A,2.6,144.23236274747816,0.0,144.23236274747816
A021020,차,A,0.9,130.29356676608998,0.0,130.29356676608998
A022010,주스,A,1.4,136.40426799213762,0.0,136.40426799213762
A022020,두유,A,0.8,125.08833225861993,0.0,125.08833225861993
A022030,생수,A,1.3,117.54900869145995,0.0,117.54900869145995
A022040,기능성음료,A,0.5,121.22080485338434,0.0,121.22080485338434
A022050,탄산음료,A,1.6,118.07299595407164,0.0,118.07299595407164
A022060,기타음료,A,0.6,126.24547981831033,0.0,126.24547981831033
B011010,소주,A,1.7,108.49797967955527,0.07246902467627099,108.4544982647495
B011020,과실주,A,0.8,102.74027091549023,0.3863365644764727,102.50846897680435
B011030,맥주,A,3.0,116.17135667311993,0.0,116.17135667311993
B011040,막걸리,A,0.5,123.112279443361,0.0,123.112279443361
B011050,양주,A,0.4,112.3555766239973,0.0,112.3555766239973
B011060,약주,A,0.1,105.48494722582389,0.0,105.48494722582389
C011010,남자외의,A,4.4,120.22,0.18325846317574465,120.11004492209454
C011020,남자상의,A,1.5,115.1056645349435,0.0,115.1056645349435
C011030,남자하의,A,1.3,123.82175982860932,0.22806664906695792,123.68491983916914
C011040,남자내의,A,0.7,110.46574827920051,0.0,110.46574827920051
C012010,여자외의,A,6.2,116.08985134421286,0.0,116.08985134421286
C012020,원피스,A,1.8,127.51,0.22828732011788588,127.37302760792927
C012030,여자상의,A,1.5,117.49582407983239,0.0,117.49582407983239
C012040,여자하의,A,2.4,119.0418049318521,0.1648158113183129,118.94291544506112
C012050,여자내의,A,1.8,109.64509817817293,0.0,109.64509817817293
C013010,점퍼,A,3.3,120.13694917677064,0.0,120.13694917677064
C013020,티셔츠,A,4.6,123.96413461863064,0.212235785137923,123.83679314754788
