품목명,Tier,가중치,MAPE_보정전,MAPE_보정후,개선
쌀,A,4.2,1.2816372867812493,1.3283598039838644,-0.04672251720261511
현미,A,0.4,0.7860776890993267,0.8342841476999744,-0.04820645860064765
찹쌀,A,0.5,1.2284425516880493,1.2284425516880493,0.0
보리쌀,A,0.2,0.9795152607826256,0.8694191597538823,0.11009610102874334
콩,A,0.5,0.5726858918835761,0.598455516700872,-0.025769624817295944
땅콩,A,0.1,0.35213304270445644,0.3645995004291064,-0.012466457724649938
혼식곡,A,0.4,0.40761755466872673,0.4170943647961777,-0.009476810127450941
밀가루,A,0.1,0.9111344436878792,0.9200912940588125,-0.0089568503709333
국수,A,0.7,1.953288713454734,1.953288713454734,0.0
라면,A,2.4,0.5070392248827845,0.5589185585861555,-0.051879333703370945
당면,A,0.2,2.9856638626675744,2.9856638626675744,0.0
두부,A,1.2,0.556035791314671,0.5674278876028728,-0.011392096288201814
시리얼,A,0.4,7.701914013271565,7.701914013271565,0.0
부침가루,A,0.6,2.697624986277816,2.697624986277816,0.0
케이크,A,1.6,0.3127899030337138,0.24835590178054887,0.06443400125316492
빵,A,6.8,0.28295554741131623,0.12451442040255516,0.15844112700876106
떡,A,1.9,0.1796415341901944,0.1796415341901944,0.0
파스타면,A,0.1,2.0109905164802577,2.0109905164802577,0.0
국산쇠고기,A,8.6,1.2927341838722972,1.2522560221003782,0.040478161771918986
수입쇠고기,A,3.1,1.175763504095656,1.2383205657293415,-0.06255706163368546
돼지고기,A,9.8,1.9346030354267667,2.1618140479335786,-0.22721101250681186
닭고기,A,1.5,1.3599938811894836,1.4212000072032651,-0.0612061260137815
소시지,A,2.0,1.3185368048674164,1.4213891434134882,-0.10285233854607179
햄및베이컨,A,2.7,1.6110119389335038,1.6110119389335038,0.0
기타육류가공품,A,0.9,1.6372247482668911,1.7229550779610712,-0.08573032969418004
마른멸치,A,0.5,0.4852796360359658,0.4852796360359658,0.0
마른오징어,A,0.2,0.5795141480091665,0.5927062476116151,-0.013192099602448604
오징어채,A,0.2,0.47629348593360327,0.5368490990710174,-0.060555613137414144
북어채,A,0.4,1.5248210985274417,1.5248210985274417,0.0
어묵,A,0.8,1.5891348473592133,1.5891348473592133,0.0
맛살,A,0.2,1.7885768245055962,1.8940289218787998,-0.1054520973732036
수산물통조림,A,0.7,0.34986055132465393,0.34986055132465393,0.0
젓갈,A,0.7,0.958340601421055,1.0783697329640831,-0.12002913154302808
우유,A,3.4,0.17381319021237598,0.18278608012197226,-0.008972889909596271
분유,A,0.5,0.509503457937058,0.5050235768974347,0.004479881039623268
치즈,A,0.7,0.29522192621650856,0.29385495152023094,0.001366974696277612
발효유,A,2.0,0.46272483182539714,0.46272483182539714,0.0
달걀,A,3.0,1.2553705229408572,1.437030786313835,-0.1816602633729778
참기름,A,0.6,1.6232246432966637,1.657944386843371,-0.03471974354670726
식용유,A,0.8,2.9224107920840487,2.9224107920840487,0.0
아몬드,A,0.2,0.2925755076985973,0.30963398664400377,-0.017058478945406463
과일가공품,A,1.0,1.3815903446983449,1.3815903446983449,0.0
고사리,A,0.1,0.3300397896574859,0.3343319845919028,-0.004292194934416849
단무지,A,0.2,2.015725348708366,2.0822405625930265,-0.06651521388466053
김,A,0.5,0.5076893006787522,0.5155321312506612,-0.007842830571909043
맛김,A,0.5,0.9463991319554367,0.9463991319554367,0.0
미역,A,0.3,0.37420255423872867,0.40250953454289895,-0.02830698030417028
초콜릿,A,0.5,0.7398154418498541,0.5694966716063077,0.17031877024354647
사탕,A,0.8,1.1191582043648214,1.1610127977297637,-0.04185459336494235
껌,A,0.1,0.2774392620733702,0.2770249515928633,0.00041431048050694086
아이스크림,A,2.6,0.3314078703996275,0.3314078703996275,0.0
비스킷,A,1.9,0.4928436528859703,0.4928436528859703,0.0
스낵과자,A,2.9,0.18143371279139892,0.22386648392281333,-0.042432771131414415
파이,A,0.6,0.33040442559997585,0.33040442559997585,0.0
설탕,A,0.3,0.7233890332336141,0.760068243564176,-0.03667921033056187
잼,A,0.1,1.787305962977016,1.8146761748188622,-0.02737021184184618
꿀,A,0.4,0.2102564880952603,0.22334140063365948,-0.01308491253839919
물엿,A,0.2,3.3281331555949283,3.3281331555949283,0.0
고춧가루,A,1.6,0.4831314175970976,0.4831314175970976,0.0
참깨,A,0.6,0.2764698969721505,0.23945271203362012,0.0370171849385304
소금,A,0.2,0.14839549535372656,0.1480782287447982,0.00031726660892836267
간장,A,0.4,1.1695416345748464,1.1823630627396042,-0.012821428164757842
된장,A,0.4,2.32311245689106,2.346695309120794,-0.023582852229733664
양념소스,A,0.5,2.229615218818815,2.1475183538793505,0.08209686493946444
고추장,A,0.3,1.7862004869227677,1.797133171862742,-0.010932684939974235
카레,A,0.2,0.716322386796337,0.716322386796337,0.0
식초,A,0.1,0.7271339781446983,0.7527466335704773,-0.025612655425779063
드레싱,A,0.2,0.7754698410173719,0.7960933231263049,-0.020623482108932945
혼합조미료,A,0.3,1.156194834536836,1.1848436901490373,-0.02864885561220132
스프,A,0.3,0.30681323328741705,0.3170003798462957,-0.010187146558878646
이유식,A,0.3,0.08969453517287566,0.035375179849423906,0.05431935532345176
김치,A,1.3,0.44956134344466947,0.47892416728578846,-0.02936282384111899
밑반찬,A,3.1,0.2864674993301978,0.29033302106788983,-0.003865521737692057
냉동식품,A,1.9,1.3222100476160499,1.3222100476160499,0.0
즉석식품,A,3.1,0.9870921710473851,0.9900933494470033,-0.0030011783996182206
편의점도시락,A,0.4,0.27054183562158046,0.22141909296993062,0.04912274265164984
삼각김밥,A,0.4,0.16597705710659397,0.17539127566247673,-0.009414218555882758
커피,A,2.6,0.6036197037343426,0.6261735850699194,-0.022553881335576786
차,A,0.9,3.1642804409573144,3.1642804409573144,0.0
주스,A,1.4,0.3100725243156513,0.2684517928423554,0.041620731473295924
두유,A,0.8,0.9504654182856435,0.9504654182856435,0.0
생수,A,1.3,0.30226673819228894,0.30226673819228894,0.0
기능성음료,A,0.5,0.33865219832794147,0.33865219832794147,0.0
탄산음료,A,1.6,1.706364293831827,1.7140691965200916,-0.007704902688264514
기타음료,A,0.6,1.2774060328267394,1.3995032859446992,-0.12209725311795983
