분류,n,바텀업_평균절대오차,탑다운_평균절대오차,탑다운이_더정확한_달수,Wilcoxon_p,확실히_탑다운우위,채택방식
06 보건,24,0.35864355192696173,0.1301674461483113,22,0.0003223419189453125,True,탑다운
07 교통,24,0.7018721761162183,1.3277471697412626,5,0.0013997554779052734,False,바텀업
"04 주택, 수도, 전기 및 연료",24,0.5120764198340139,0.20567224254282593,14,0.017870306968688965,True,탑다운
09 오락 및 문화,24,0.8002066802948123,0.4900545560026804,17,0.036649227142333984,True,탑다운
02 주류 및 담배,24,0.13068263773628527,0.26704129245262875,6,0.05264079570770264,False,바텀업
10 교육,24,0.28389710743077085,0.20561044986692364,13,0.15998530387878418,False,바텀업
12 기타 상품 및 서비스,24,0.5763596424717038,0.5646401752899172,8,0.40611207485198975,False,바텀업
11 음식 및 숙박,24,0.20192486788815897,0.17846070629997968,14,0.40611207485198975,False,바텀업
03 의류 및 신발,24,0.26581449552757874,0.17345136957604856,12,0.4389305114746094,False,바텀업
05 가정용품 및 가사 서비스,24,0.5095448247812691,0.504623107885779,13,0.746925950050354,False,바텀업
08 통신,24,1.3510769146580988,1.33442937621808,13,0.899570107460022,False,바텀업
01 식료품 및 비주류음료,24,0.8230797343758312,0.7965896751484619,12,0.899570107460022,False,바텀업
