일자,원달러환율,기간
20000104,1134.5,2000-01
20000105,1125.8,2000-01
20000106,1130.1,2000-01
20000107,1139.1,2000-01
20000108,1145.9,2000-01
20000110,1145.9,2000-01
20000111,1135.3,2000-01
20000112,1137.3,2000-01
20000113,1147.0,2000-01
20000114,1138.5,2000-01
20000115,1127.1,2000-01
20000117,1127.1,2000-01
20000118,1122.1,2000-01
20000119,1124.4,2000-01
20000120,1128.9,2000-01
20000121,1132.2,2000-01
20000122,1127.6,2000-01
20000124,1127.6,2000-01
20000125,1126.2,2000-01
20000126,1125.9,2000-01
20000127,1126.8,2000-01
20000128,1126.1,2000-01
20000129,1122.1,2000-01
20000131,1122.1,2000-01
20000201,1125.4,2000-02
20000202,1125.0,2000-02
20000203,1131.0,2000-02
20000207,1129.0,2000-02
20000208,1129.0,2000-02
20000209,1130.1,2000-02
20000210,1125.5,2000-02
20000211,1121.1,2000-02
20000212,1116.8,2000-02
20000214,1116.8,2000-02
20000215,1119.7,2000-02
20000216,1127.4,2000-02
20000217,1125.3,2000-02
20000218,1127.8,2000-02
20000219,1130.2,2000-02
20000221,1130.2,2000-02
20000222,1131.0,2000-02
20000223,1134.4,2000-02
20000224,1133.7,2000-02
20000225,1139.1,2000-02
20000226,1141.0,2000-02
20000228,1141.0,2000-02
20000229,1131.8,2000-02
20000302,1132.4,2000-03
20000303,1122.7,2000-03
20000304,1120.9,2000-03
20000306,1120.9,2000-03
20000307,1120.1,2000-03
20000308,1117.4,2000-03
20000309,1120.1,2000-03
20000310,1120.3,2000-03
20000311,1119.6,2000-03
20000313,1119.6,2000-03
20000314,1120.8,2000-03
20000315,1120.1,2000-03
20000316,1118.0,2000-03
20000317,1117.6,2000-03
20000318,1117.8,2000-03
20000320,1117.8,2000-03
20000321,1118.0,2000-03
20000322,1117.8,2000-03
20000323,1114.6,2000-03
20000324,1112.0,2000-03
20000325,1108.7,2000-03
20000327,1108.7,2000-03
20000328,1110.2,2000-03
20000329,1111.2,2000-03
20000330,1111.4,2000-03
20000331,1108.3,2000-03
20000401,1106.4,2000-04
20000403,1106.4,2000-04
20000404,1111.2,2000-04
20000406,1113.2,2000-04
20000407,1113.1,2000-04
20000408,1109.6,2000-04
20000410,1109.6,2000-04
20000411,1107.8,2000-04
20000412,1109.4,2000-04
20000414,1109.4,2000-04
20000415,1109.9,2000-04
20000417,1109.9,2000-04
20000418,1114.8,2000-04
20000419,1110.5,2000-04
20000420,1109.1,2000-04
20000421,1109.7,2000-04
20000422,1109.1,2000-04
20000424,1109.1,2000-04
20000425,1108.4,2000-04
20000426,1108.7,2000-04
20000427,1108.5,2000-04
20000428,1110.4,2000-04
20000429,1110.3,2000-04
20000502,1110.3,2000-05
20000503,1110.3,2000-05
20000504,1109.6,2000-05
20000506,1111.0,2000-05
20000508,1111.0,2000-05
20000509,1109.8,2000-05
20000510,1109.6,2000-05
20000512,1109.4,2000-05
20000513,1111.9,2000-05
20000515,1111.9,2000-05
20000516,1114.1,2000-05
20000517,1115.4,2000-05
20000518,1115.0,2000-05
20000519,1116.9,2000-05
20000520,1123.0,2000-05
20000522,1123.0,2000-05
20000523,1125.7,2000-05
20000524,1132.8,2000-05
20000525,1137.2,2000-05
20000526,1129.6,2000-05
20000527,1135.2,2000-05
20000529,1135.2,2000-05
20000530,1138.5,2000-05
20000531,1133.8,2000-05
20000601,1130.0,2000-06
20000602,1131.9,2000-06
20000603,1125.8,2000-06
20000605,1125.8,2000-06
20000607,1119.5,2000-06
20000608,1114.4,2000-06
20000609,1114.5,2000-06
20000610,1115.6,2000-06
20000612,1115.6,2000-06
20000613,1113.4,2000-06
20000614,1114.5,2000-06
20000615,1115.2,2000-06
20000616,1114.6,2000-06
20000617,1116.5,2000-06
20000619,1116.5,2000-06
20000620,1119.0,2000-06
20000621,1119.8,2000-06
20000622,1119.1,2000-06
20000623,1118.8,2000-06
20000624,1119.7,2000-06
20000626,1119.7,2000-06
20000627,1118.7,2000-06
20000628,1117.9,2000-06
20000629,1117.0,2000-06
20000630,1114.8,2000-06
20000701,1115.4,2000-07
20000703,1115.4,2000-07
20000704,1113.2,2000-07
20000705,1114.6,2000-07
20000706,1116.4,2000-07
20000707,1118.9,2000-07
20000708,1117.0,2000-07
20000710,1117.0,2000-07
20000711,1118.7,2000-07
20000712,1116.3,2000-07
20000713,1115.4,2000-07
20000714,1114.0,2000-07
20000715,1112.4,2000-07
20000718,1112.4,2000-07
20000719,1113.5,2000-07
20000720,1113.3,2000-07
20000721,1112.1,2000-07
20000722,1112.3,2000-07
20000724,1112.3,2000-07
20000725,1113.4,2000-07
20000726,1114.9,2000-07
20000727,1115.8,2000-07
20000728,1114.5,2000-07
20000729,1116.2,2000-07
20000731,1116.2,2000-07
20000801,1117.1,2000-08
20000802,1116.2,2000-08
20000803,1115.7,2000-08
20000804,1114.8,2000-08
20000805,1115.3,2000-08
20000807,1115.3,2000-08
20000808,1116.2,2000-08
20000809,1116.9,2000-08
20000810,1114.7,2000-08
20000811,1114.1,2000-08
20000812,1114.8,2000-08
20000814,1114.8,2000-08
20000816,1114.9,2000-08
20000817,1115.0,2000-08
20000818,1114.6,2000-08
20000819,1114.7,2000-08
20000821,1114.7,2000-08
20000822,1114.6,2000-08
20000823,1114.3,2000-08
20000824,1114.6,2000-08
20000825,1114.2,2000-08
20000826,1114.2,2000-08
20000828,1114.2,2000-08
20000829,1113.0,2000-08
20000830,1111.2,2000-08
20000831,1108.8,2000-08
20000901,1109.4,2000-09
20000902,1106.8,2000-09
20000904,1106.8,2000-09
20000905,1105.0,2000-09
20000906,1104.9,2000-09
20000907,1106.1,2000-09
20000908,1109.0,2000-09
20000909,1108.9,2000-09
20000914,1108.9,2000-09
20000915,1113.5,2000-09
20000916,1117.9,2000-09
20000918,1117.9,2000-09
20000919,1130.6,2000-09
20000920,1127.7,2000-09
20000921,1121.0,2000-09
20000922,1129.0,2000-09
20000923,1132.7,2000-09
20000925,1132.7,2000-09
20000926,1124.7,2000-09
20000927,1121.7,2000-09
20000928,1114.6,2000-09
20000929,1114.7,2000-09
20000930,1115.0,2000-09
20001002,1115.0,2000-10
20001004,1116.2,2000-10
20001005,1121.5,2000-10
20001006,1118.1,2000-10
20001007,1116.5,2000-10
20001009,1116.5,2000-10
20001010,1116.6,2000-10
20001011,1118.0,2000-10
20001012,1123.3,2000-10
20001013,1122.3,2000-10
20001014,1128.7,2000-10
20001016,1128.7,2000-10
20001017,1125.9,2000-10
20001018,1130.2,2000-10
20001019,1138.6,2000-10
20001020,1140.3,2000-10
20001021,1128.6,2000-10
20001023,1128.6,2000-10
20001024,1133.6,2000-10
20001025,1135.3,2000-10
20001026,1136.5,2000-10
20001027,1139.7,2000-10
20001028,1133.7,2000-10
20001030,1133.7,2000-10
20001031,1136.7,2000-10
20001101,1140.6,2000-11
20001102,1135.5,2000-11
20001103,1134.7,2000-11
20001104,1132.6,2000-11
20001106,1132.6,2000-11
20001107,1131.9,2000-11
20001108,1134.4,2000-11
20001109,1137.3,2000-11
20001110,1134.4,2000-11
20001111,1133.1,2000-11
20001113,1133.1,2000-11
20001114,1137.9,2000-11
20001115,1136.4,2000-11
20001116,1134.7,2000-11
20001117,1137.8,2000-11
20001118,1140.4,2000-11
20001120,1140.4,2000-11
20001121,1147.3,2000-11
20001122,1165.9,2000-11
20001123,1167.1,2000-11
20001124,1184.3,2000-11
20001125,1195.2,2000-11
20001127,1195.2,2000-11
20001128,1186.8,2000-11
20001129,1185.0,2000-11
20001130,1195.3,2000-11
20001201,1212.1,2000-12
20001202,1210.9,2000-12
20001204,1210.9,2000-12
20001205,1213.8,2000-12
20001206,1211.5,2000-12
20001207,1193.8,2000-12
20001208,1204.7,2000-12
20001209,1189.7,2000-12
20001211,1189.7,2000-12
20001212,1185.5,2000-12
20001213,1187.0,2000-12
20001214,1196.7,2000-12
20001215,1200.7,2000-12
20001216,1204.9,2000-12
20001218,1204.9,2000-12
20001219,1205.9,2000-12
20001220,1206.0,2000-12
20001221,1214.7,2000-12
20001222,1224.7,2000-12
20001223,1232.1,2000-12
20001226,1232.1,2000-12
20001227,1249.1,2000-12
20001228,1266.9,2000-12
20001229,1252.0,2000-12
20001230,1259.7,2000-12
20010102,1259.7,2001-01
20010103,1267.8,2001-01
20010104,1285.4,2001-01
20010105,1249.3,2001-01
20010106,1267.8,2001-01
20010108,1267.8,2001-01
20010109,1264.6,2001-01
20010110,1257.9,2001-01
20010111,1261.6,2001-01
20010112,1276.6,2001-01
20010113,1281.2,2001-01
20010115,1281.2,2001-01
20010116,1285.9,2001-01
20010117,1284.4,2001-01
20010118,1277.2,2001-01
20010119,1286.5,2001-01
20010120,1276.7,2001-01
20010122,1276.7,2001-01
20010126,1270.9,2001-01
20010127,1275.3,2001-01
20010129,1275.3,2001-01
20010130,1279.5,2001-01
20010131,1265.5,2001-01
20010201,1261.3,2001-02
20010202,1259.7,2001-02
20010203,1251.9,2001-02
20010205,1251.9,2001-02
20010206,1258.6,2001-02
20010207,1257.0,2001-02
20010208,1263.4,2001-02
20010209,1268.8,2001-02
20010210,1261.3,2001-02
20010212,1261.3,2001-02
20010213,1265.2,2001-02
20010214,1256.4,2001-02
20010215,1252.1,2001-02
20010216,1246.9,2001-02
20010217,1242.4,2001-02
20010219,1242.4,2001-02
20010220,1248.0,2001-02
20010221,1243.3,2001-02
20010222,1235.7,2001-02
20010223,1244.3,2001-02
20010224,1246.6,2001-02
20010226,1246.6,2001-02
20010227,1247.8,2001-02
20010228,1245.7,2001-02
20010302,1249.8,2001-03
20010303,1261.4,2001-03
20010305,1261.4,2001-03
20010306,1274.3,2001-03
20010307,1266.3,2001-03
20010308,1269.7,2001-03
20010309,1274.7,2001-03
20010310,1267.1,2001-03
20010312,1267.1,2001-03
20010313,1278.7,2001-03
20010314,1279.3,2001-03
20010315,1275.2,2001-03
20010316,1286.2,2001-03
20010317,1291.6,2001-03
20010319,1291.6,2001-03
20010320,1298.4,2001-03
20010321,1294.9,2001-03
20010322,1302.9,2001-03
20010323,1313.8,2001-03
