기간,PPI총지수(2020=100)
2000-01,76.45
2000-02,76.26
2000-03,76.21
2000-04,75.84
2000-05,75.66
2000-06,75.84
2000-07,75.92
2000-08,75.92
2000-09,76.17
2000-10,76.09
2000-11,76.06
2000-12,76.15
2001-01,76.37
2001-02,76.21
2001-03,76.39
2001-04,76.34
2001-05,76.27
2001-06,75.96
2001-07,75.91
2001-08,75.54
2001-09,75.34
2001-10,74.98
2001-11,74.68
2001-12,74.22
2002-01,74.4
2002-02,74.77
2002-03,75.16
2002-04,75.74
2002-05,76.07
2002-06,75.58
2002-07,75.37
2002-08,75.46
2002-09,75.62
2002-10,75.72
2002-11,75.87
2002-12,75.88
2003-01,76.45
2003-02,76.86
2003-03,77.61
2003-04,77.22
2003-05,76.79
2003-06,76.42
2003-07,76.56
2003-08,76.84
2003-09,77.16
2003-10,77.39
2003-11,77.74
2003-12,78.25
2004-01,79.32
2004-02,80.31
2004-03,81.08
2004-04,81.47
2004-05,81.67
2004-06,81.59
2004-07,81.92
2004-08,82.64
2004-09,82.98
2004-10,83.01
2004-11,83.07
2004-12,82.46
2005-01,83.26
2005-02,83.42
2005-03,83.5
2005-04,83.73
2005-05,83.19
2005-06,82.81
2005-07,83.32
2005-08,83.55
2005-09,83.92
2005-10,84.14
2005-11,83.9
2005-12,83.66
2006-01,83.95
2006-02,83.99
2006-03,83.88
2006-04,84.03
2006-05,84.32
2006-06,84.17
2006-07,84.43
2006-08,84.98
2006-09,85.26
2006-10,84.47
2006-11,84.06
2006-12,83.99
2007-01,83.99
2007-02,84.04
2007-03,84.4
2007-04,84.99
2007-05,85.47
2007-06,85.64
2007-07,85.75
2007-08,85.7
2007-09,86.11
2007-10,86.29
2007-11,86.64
2007-12,86.99
2008-01,87.48
2008-02,88.29
2008-03,89.44
2008-04,91.34
2008-05,93.18
2008-06,94.67
2008-07,96.52
2008-08,96.24
2008-09,95.85
2008-10,95.59
2008-11,93.37
2008-12,91.8
2009-01,91.54
2009-02,92.16
2009-03,92.59
2009-04,92.7
2009-05,91.99
2009-06,91.75
2009-07,92.8
2009-08,93.33
2009-09,93.42
2009-10,92.67
2009-11,92.99
2009-12,93.46
2010-01,93.87
2010-02,94.03
2010-03,94.47
2010-04,95.16
2010-05,95.96
2010-06,96.07
2010-07,96.31
2010-08,96.6
2010-09,97.16
2010-10,97.52
2010-11,97.85
2010-12,98.76
2011-01,100.28
2011-02,101.03
2011-03,102.24
2011-04,102.87
2011-05,103.18
2011-06,102.95
2011-07,103.09
2011-08,103.22
2011-09,103.3
2011-10,103.2
2011-11,102.87
2011-12,102.97
2012-01,103.5
2012-02,104.21
2012-03,104.73
2012-04,104.78
2012-05,104.19
2012-06,102.93
2012-07,102.48
2012-08,103.11
2012-09,103.47
2012-10,102.67
2012-11,101.96
2012-12,101.71
2013-01,101.87
2013-02,102.57
2013-03,102.16
2013-04,101.84
2013-05,101.49
2013-06,101.48
2013-07,101.46
2013-08,101.74
2013-09,101.63
2013-10,101.27
2013-11,101.07
2013-12,101.3
2014-01,101.57
2014-02,101.7
2014-03,101.66
2014-04,101.5
2014-05,101.49
2014-06,101.53
2014-07,101.61
2014-08,101.5
2014-09,101.14
2014-10,100.43
2014-11,100.12
2014-12,99.14
2015-01,97.92
2015-02,97.99
2015-03,97.87
2015-04,97.84
2015-05,97.9
2015-06,97.85
2015-07,97.5
2015-08,96.89
2015-09,96.47
2015-10,95.81
2015-11,95.43
2015-12,95.21
2016-01,94.69
2016-02,94.69
2016-03,94.63
2016-04,94.87
2016-05,94.98
2016-06,95.21
2016-07,95.1
2016-08,95.19
2016-09,95.41
2016-10,95.69
2016-11,96.12
2016-12,96.96
2017-01,98.37
2017-02,98.75
2017-03,98.71
2017-04,98.5
2017-05,98.23
2017-06,97.85
2017-07,97.92
2017-08,98.37
2017-09,99.03
2017-10,99.14
2017-11,99.04
2017-12,99.09
2018-01,99.5
2018-02,99.92
2018-03,99.88
2018-04,100.01
2018-05,100.3
2018-06,100.33
2018-07,100.8
2018-08,101.25
2018-09,101.54
2018-10,101.19
2018-11,100.49
2018-12,100.0
2019-01,99.89
2019-02,99.99
2019-03,100.34
2019-04,100.63
2019-05,100.74
2019-06,100.46
2019-07,100.46
2019-08,100.69
2019-09,100.75
2019-10,100.51
2019-11,100.37
2019-12,100.65
2020-01,101.02
2020-02,100.69
2020-03,99.8
2020-04,98.93
2020-05,98.96
2020-06,99.47
2020-07,99.69
