분류,MAE,MAPE,n,채택방식
01 식료품 및 비주류음료,0.8230797343758312,0.6513858554683977,24.0,바텀업
02 주류 및 담배,0.13068263773628527,0.12450357232798825,24.0,바텀업
03 의류 및 신발,0.26581449552757874,0.2265678985769346,24.0,바텀업
"04 주택, 수도, 전기 및 연료",0.20567224254282593,0.17683908613505483,24.0,탑다운
05 가정용품 및 가사 서비스,0.5095448247812691,0.43030500586245063,24.0,바텀업
06 보건,0.1301674461483113,0.12275614278275888,24.0,탑다운
07 교통,0.7018721761162183,0.5880264943171211,24.0,바텀업
08 통신,1.3510769146580988,1.4155796124649014,24.0,바텀업
09 오락 및 문화,0.4900545560026804,0.4378903191785406,24.0,탑다운
10 교육,0.28389710743077085,0.2622415517995498,24.0,바텀업
11 음식 및 숙박,0.20192486788815897,0.1620441436169965,24.0,바텀업
12 기타 상품 및 서비스,0.5763596424717038,0.46068124991890486,24.0,바텀업
