월,방식,가중MAPE
2024-08,하이브리드,0.18971749099798194
2024-09,하이브리드,0.37472649835750543
2024-10,하이브리드,0.4649945011738395
2024-11,하이브리드,0.22773873588113633
2024-12,하이브리드,0.40980405067835857
2025-01,하이브리드,0.3593776162883363
2025-02,하이브리드,0.23914829933624573
2025-03,하이브리드,0.25532904622124336
2025-04,하이브리드,0.2914882171801105
2025-05,하이브리드,0.23790274459845795
2025-06,하이브리드,0.2907066213665489
2025-07,하이브리드,0.2725321362036419
2025-08,하이브리드,0.9946639156752841
2025-09,하이브리드,0.7496597792890608
2025-10,하이브리드,0.6111033731459162
2025-11,하이브리드,0.4553435118945752
2025-12,하이브리드,0.32932392195085797
2026-01,하이브리드,0.3571254438500445
2026-02,하이브리드,0.26933619366637335
2026-03,하이브리드,0.40625925288783044
2026-04,하이브리드,0.3342366746049646
2026-05,하이브리드,0.4451724416562388
2026-06,하이브리드,0.524660791035543
2026-07,하이브리드,0.3087953472437331
2024-08,순수탑다운,0.20374289827165826
2024-09,순수탑다운,0.39805755870456727
2024-10,순수탑다운,0.4297578441464573
2024-11,순수탑다운,0.4615381261576906
2024-12,순수탑다운,0.47088093919525154
2025-01,순수탑다운,0.376319178830938
2025-02,순수탑다운,0.210799489016519
2025-03,순수탑다운,0.33943610778693406
2025-04,순수탑다운,0.47930165214792947
2025-05,순수탑다운,0.2819955385741697
2025-06,순수탑다운,0.2252135739569357
2025-07,순수탑다운,0.29936011063785106
2025-08,순수탑다운,1.023509036273801
2025-09,순수탑다운,0.693817171731071
2025-10,순수탑다운,0.6321754139107174
2025-11,순수탑다운,0.3605831509454235
2025-12,순수탑다운,0.2835179247697134
2026-01,순수탑다운,0.4217542695661637
2026-02,순수탑다운,0.3521399083518379
2026-03,순수탑다운,0.6709023370358399
2026-04,순수탑다운,0.6487559994494111
2026-05,순수탑다운,0.42004684451802304
2026-06,순수탑다운,0.35470464162579585
2026-07,순수탑다운,0.4242519138473656
2024-08,순수바텀업,0.309168977042352
2024-09,순수바텀업,0.6798580817477675
2024-10,순수바텀업,0.5233999173897489
2024-11,순수바텀업,0.3069168087934741
2024-12,순수바텀업,0.45108979037960706
2025-01,순수바텀업,0.3867248753363677
2025-02,순수바텀업,0.38029571723692673
2025-03,순수바텀업,0.3163785205403666
2025-04,순수바텀업,0.26502722449650223
2025-05,순수바텀업,0.3174371718844707
2025-06,순수바텀업,0.4413058779462328
2025-07,순수바텀업,0.4376813164506696
2025-08,순수바텀업,1.0464565030563262
2025-09,순수바텀업,1.0569080731839349
2025-10,순수바텀업,0.5793601854997007
2025-11,순수바텀업,0.5406620086858531
2025-12,순수바텀업,0.40321640312902973
2026-01,순수바텀업,0.4008738184174603
2026-02,순수바텀업,0.34255569727916974
2026-03,순수바텀업,0.38262345813492205
2026-04,순수바텀업,0.3338939015731959
2026-05,순수바텀업,0.46845895910316954
2026-06,순수바텀업,0.5282085972526185
2026-07,순수바텀업,0.4567016242404435
