품목명,Tier,모델,가중치,평균오차%,표준편차%,방향일치개월
쌀,A,비계절ETS,4.2,0.07020071684489175,1.9354580206141299,6
현미,A,비계절ETS,0.4,0.40986721816673904,0.9452582602665798,6
찹쌀,A,비계절ETS,0.5,0.5565321715759317,1.629381992978663,7
보리쌀,A,비계절ETS,0.2,0.8147485929277928,0.9861406084695572,11
콩,A,비계절ETS,0.5,0.1782377653013009,0.6452579795504935,7
땅콩,A,비계절ETS,0.1,0.04125941018642332,0.4479006305947632,6
혼식곡,A,비계절ETS,0.4,-0.01593436110998653,0.47433861928420695,7
밀가루,A,비계절ETS,0.1,0.33105573353671053,1.2241650883222972,6
국수,A,비계절ETS,0.7,-0.10841277453599411,3.0102633423057608,5
라면,A,비계절ETS,2.4,-0.1363730535180568,0.648596677732583,7
당면,A,비계절ETS,0.2,0.15919236003585072,4.448639701478509,3
두부,A,비계절ETS,1.2,0.2182748416836565,0.63728802502387,6
시리얼,A,비계절ETS,0.4,2.7034029796127608,8.766974224573689,8
부침가루,A,비계절ETS,0.6,0.1874472874373657,3.9648665496740434,4
케이크,A,비계절ETS,1.6,0.20264888312643956,0.3511515377356542,11
빵,A,비계절ETS,6.8,0.2829555474113163,0.05411750913513235,12
떡,A,비계절ETS,1.9,-0.05826829348815587,0.23003150123230867,6
파스타면,A,비계절ETS,0.1,-0.0905252263949788,2.301019617292932,6
국산쇠고기,A,비계절ETS,8.6,-0.1479334497459623,1.4455488039878202,7
수입쇠고기,A,비계절ETS,3.1,-0.48176165377729596,1.3503589977489763,7
돼지고기,A,비계절ETS,9.8,-0.04303092757240993,2.3598268425334865,5
닭고기,A,비계절ETS,1.5,-0.04974555182839372,1.6246759950646048,4
소시지,A,비계절ETS,2.0,-0.029511749509644008,1.8233256597873502,9
햄및베이컨,A,비계절ETS,2.7,-0.12834779506447433,1.869794016994918,7
기타육류가공품,A,비계절ETS,0.9,-0.27244186723539204,2.156223258598503,8
마른멸치,A,비계절ETS,0.5,0.0757075708216496,0.5709500251919332,6
마른오징어,A,비계절ETS,0.2,0.14062507164337615,0.7092704198852773,8
오징어채,A,비계절ETS,0.2,0.22801267147240808,0.5981360564337,7
북어채,A,비계절ETS,0.4,-0.6150156306952882,2.029761414610461,6
어묵,A,비계절ETS,0.8,-0.21595059965922522,1.9737816739522422,6
맛살,A,비계절ETS,0.2,-0.09184384902200333,2.2079496435424555,7
수산물통조림,A,비계절ETS,0.7,-0.03799797428887055,0.4252669252956748,6
젓갈,A,비계절ETS,0.7,-0.5130107848279816,1.5084560653393413,8
우유,A,비계절ETS,3.4,0.08659688980758033,0.21771806305469138,7
분유,A,비계절ETS,0.5,-0.06480779144476252,0.651878485927158,6
치즈,A,비계절ETS,0.7,-0.049664581073386956,0.3484425606255382,6
발효유,A,비계절ETS,2.0,0.2765648777707141,0.5380589614647293,9
달걀,A,비계절ETS,3.0,-0.5064913399642005,1.746652575113114,6
참기름,A,비계절ETS,0.6,0.2033791152646535,2.083137383620825,8
식용유,A,비계절ETS,0.8,-0.01001467299855933,3.665503338042631,6
아몬드,A,비계절ETS,0.2,-0.12296254902258037,0.37600994911443336,7
과일가공품,A,비계절ETS,1.0,-0.04743387184972766,1.610630743572544,7
고사리,A,비계절ETS,0.1,-0.1624289334188033,0.4379309802222768,7
단무지,A,비계절ETS,0.2,-0.6032663870831027,2.608357381024476,8
김,A,비계절ETS,0.5,-0.040961300804150884,0.6043072019164737,8
