품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
쌀,A,4.2,비계절ETS,1.281637286781249,A011010,01 식료품 및 비주류음료
현미,A,0.4,비계절ETS,0.7860776890993266,A011020,01 식료품 및 비주류음료
찹쌀,A,0.5,비계절ETS,1.2284425516880495,A011030,01 식료품 및 비주류음료
보리쌀,A,0.2,비계절ETS,0.9795152607826256,A011040,01 식료품 및 비주류음료
콩,A,0.5,비계절ETS,0.5726858918835761,A011050,01 식료품 및 비주류음료
땅콩,A,0.1,비계절ETS,0.3521330427044564,A011060,01 식료품 및 비주류음료
혼식곡,A,0.4,비계절ETS,0.4076175546687266,A011070,01 식료품 및 비주류음료
밀가루,A,0.1,비계절ETS,0.9111344436878792,A011080,01 식료품 및 비주류음료
국수,A,0.7,비계절ETS,1.953288713454734,A011090,01 식료품 및 비주류음료
라면,A,2.4,비계절ETS,0.5070392248827845,A011100,01 식료품 및 비주류음료
당면,A,0.2,비계절ETS,2.985663862667575,A011110,01 식료품 및 비주류음료
두부,A,1.2,비계절ETS,0.556035791314671,A011120,01 식료품 및 비주류음료
시리얼,A,0.4,비계절ETS,7.701914013271562,A011130,01 식료품 및 비주류음료
부침가루,A,0.6,비계절ETS,2.697624986277816,A011140,01 식료품 및 비주류음료
케이크,A,1.6,비계절ETS,0.3127899030337138,A011150,01 식료품 및 비주류음료
빵,A,6.8,비계절ETS,0.2829555474113163,A011160,01 식료품 및 비주류음료
떡,A,1.9,비계절ETS,0.1796415341901943,A011170,01 식료품 및 비주류음료
파스타면,A,0.1,비계절ETS,2.0109905164802573,A011180,01 식료품 및 비주류음료
국산쇠고기,A,8.6,비계절ETS,1.2927341838722972,A012010,01 식료품 및 비주류음료
수입쇠고기,A,3.1,비계절ETS,1.175763504095656,A012020,01 식료품 및 비주류음료
돼지고기,A,9.8,비계절ETS,1.9346030354267665,A012030,01 식료품 및 비주류음료
닭고기,A,1.5,비계절ETS,1.3599938811894836,A012040,01 식료품 및 비주류음료
