품목코드,품목명,Tier,가중치,MAPE_비계절ETS,MAPE_계절ETS,MAPE_계단평균,MAPE_완전동결,최선방식,상대개선,채택방식
A011010,쌀,A,4.2,1.0601940492320328,0.9352637856102465,1.2434955365801144,1.1669716363271387,계절ETS,0.11783716736788077,비계절ETS
A011100,라면,A,2.4,0.6714691685523744,0.6609710343606927,0.7349613679399082,0.6896700244113737,계절ETS,0.0156345736831293,비계절ETS
A011120,두부,A,1.2,0.9019821013072008,0.9223545296217912,1.018990445775647,0.8886149656849317,완전동결,0.014819734895954954,비계절ETS
A011150,케이크,A,1.6,0.3996937199239571,0.3973420911770824,0.44558806926786326,0.3013835486503407,완전동결,0.24596376268388745,완전동결
A011160,빵,A,6.8,0.5586050522076361,0.49952405009497997,0.6359723257246441,0.3820782000791463,완전동결,0.3160137049080501,완전동결
A011170,떡,A,1.9,0.1667633890031756,0.17949257525606718,0.21254716648053715,0.2856454130887494,비계절ETS,0.0,비계절ETS
A012010,국산쇠고기,A,8.6,1.385678113316623,1.1674464345037672,1.0350824533741882,1.3599370498145098,계단평균,0.25301378189721374,계단평균
A012020,수입쇠고기,A,3.1,1.1530329427525985,1.218280555815984,1.3660262989011829,1.1527307986792608,완전동결,0.0002620428802462748,비계절ETS
A012030,돼지고기,A,9.8,2.0014408055466815,1.450158047041778,2.0789724391559337,1.9899024320249787,계절ETS,0.27544294938781555,계절ETS
A012040,닭고기,A,1.5,1.2275736349838902,1.6963907527946411,1.276122666420189,1.2250225876291145,완전동결,0.0020781216556586476,비계절ETS
A012050,소시지,A,2.0,1.4481971259560262,1.3707314488248243,1.3397683040004966,1.5814826465292058,계단평균,0.07487159034648022,비계절ETS
A012060,햄및베이컨,A,2.7,1.5279592643378794,1.6139864850565677,1.4436465046065714,1.5870914385197528,계단평균,0.05517997874625527,비계절ETS
A014010,우유,A,3.4,0.17913759208453445,0.29916155471090833,0.40650317385618023,0.15854827431633298,완전동결,0.11493577382956804,비계절ETS
A014040,발효유,A,2.0,0.632913053115008,0.6327380226205751,0.7264561620251864,0.583809327982405,완전동결,0.07758368213600458,비계절ETS
A014050,달걀,A,3.0,1.2327714430936754,1.4635541202950242,1.626668608475504,1.2212998730211617,완전동결,0.009305512499320566,비계절ETS
A016200,과일가공품,A,1.0,1.506855496922727,1.4950730840542636,1.7165652678981196,1.5255741397553957,계절ETS,0.007819205552573028,비계절ETS
A018040,아이스크림,A,2.6,0.4291284016883442,0.44182611570257235,0.6507908450496812,0.4046106831697719,완전동결,0.05713375861889091,비계절ETS
A018050,비스킷,A,1.9,0.7089780925522927,0.7738427284098303,1.483841711161169,0.7057025571328066,완전동결,0.004620079878200908,비계절ETS
A018060,스낵과자,A,2.9,0.502242516880019,0.6564345255477761,1.0719514747851833,0.47447281943432684,완전동결,0.055291411046201916,비계절ETS
A019010,고춧가루,A,1.6,0.5372141508637464,0.7000291296696919,0.8724708630168969,0.4386150653402068,완전동결,0.1835377667639795,완전동결
A019150,김치,A,1.3,1.3793634775509687,1.3961608939966683,1.54640597233442,1.3551274556608695,완전동결,0.017570439035496117,비계절ETS
A019160,밑반찬,A,3.1,0.24087972103830918,0.2856146432312256,0.2617296129861335,0.2674256075581253,비계절ETS,0.0,비계절ETS
A019170,냉동식품,A,1.9,1.2142691396572032,1.2526667855957765,1.161186061756328,1.229303004218041,계단평균,0.043716072629384956,비계절ETS
A019180,즉석식품,A,3.1,0.8440660926445211,0.9361372290834873,0.6067168626957605,0.8637846358588394,계단평균,0.28119744652356315,계단평균
A021010,커피,A,2.6,1.0590959526388213,1.147880691655713,1.4410225204786595,1.0500546281442944,완전동결,0.008536832259626436,비계절ETS
A022010,주스,A,1.4,0.39340202212239817,0.4631561287517817,0.6181322566972053,0.35343958586310786,완전동결,0.10158167475523776,비계절ETS
A022030,생수,A,1.3,0.969563774483747,1.0002998562940242,1.0755884375717144,0.9706019898811985,비계절ETS,0.0,비계절ETS
A022050,탄산음료,A,1.6,1.8920639517506919,1.8677219328591963,2.0708709922035053,2.0261610659429503,계절ETS,0.012865325650844067,비계절ETS
B011010,소주,A,1.7,0.08620364669225117,0.13203436712205777,0.32100483052035933,0.07662736756683743,완전동결,0.1110890257299817,비계절ETS
B011030,맥주,A,3.0,0.18174396353205746,0.2115387778172561,0.23171091905271854,0.1749077655201447,완전동결,0.03761444330285523,비계절ETS
C011010,남자외의,A,4.4,0.28021775459177345,0.2192025344283625,0.2062128937748649,0.09974037806069548,완전동결,0.6440611759022937,완전동결
C012020,원피스,A,1.8,0.5218004029322016,0.4207900563879434,0.2688204854364461,0.3070060165615537,계단평균,0.48482123830139245,계단평균
C012050,여자내의,A,1.8,0.18826390619591404,0.2018912570726694,0.2045540993787398,0.18773806982676397,완전동결,0.0027930811581210343,비계절ETS
C013050,운동복,A,2.3,0.39976481587837925,0.44118610970335487,0.4657125867641493,0.3247503996599026,완전동결,0.1876463691624586,완전동결
C016020,세탁료,A,1.1,0.5583941678319156,0.5341603461719232,0.49154662094055274,0.7591821008743406,계단평균,0.11971390595090338,비계절ETS
C021020,구두,A,2.0,0.7291588407911854,1.102831800362973,1.2551936163550887,0.09568001669732444,완전동결,0.8687802830539567,완전동결
C021030,운동화,A,4.4,0.2787304592171462,0.4918117350950638,0.3672307438081902,0.2561647121653693,완전동결,0.0809590279984325,비계절ETS
D011010,전세,A,54.2,0.02842643582178025,0.03601402472761636,0.056447366850690496,0.07166600137807196,비계절ETS,0.0,비계절ETS
D011020,월세,A,44.9,0.026026369342308647,0.02792601715975814,0.04150784606841155,0.10080857973450097,비계절ETS,0.0,비계절ETS
D031010,주택수선재료,A,3.4,0.3023173190954267,0.3182373283403943,0.38986476701621336,0.3752859830580759,비계절ETS,0.0,비계절ETS
D031020,설비수리비,A,5.9,0.1179011766864775,0.10417841409744831,0.12758880811113363,0.27027396312343055,계절ETS,0.11639207491135327,비계절ETS
D041010,상수도료,A,4.5,0.28659704531379004,0.2647816623125478,0.35738511358622754,0.28499395646039666,계절ETS,0.07611865983250794,비계절ETS
D042010,공동주택관리비,A,21.8,0.7219883074592727,0.35582240365191664,0.41556222055589553,0.8471497209310663,계절ETS,0.5071632047559322,계절ETS
E011010,장롱,A,1.3,0.3605284240628799,0.566465971153486,1.3287914670372332,0.21517714257052542,완전동결,0.40316178085033233,완전동결
E011020,침대,A,2.7,0.48731804122222394,0.5309546368747905,0.7141913684775476,0.32976843274385104,완전동결,0.32329935514644337,완전동결
E011040,소파,A,1.3,1.7349368969389196,1.8607675686374725,2.4526731658269627,1.6773050825544333,완전동결,0.033218392257476595,비계절ETS
