부동산유형,구분,년월,건수,평균가(만원)
단독다가구,월세,2026-02,712,70.95224719101124
단독다가구,월세,2026-03,896,66.69419642857143
단독다가구,월세,2026-04,808,72.71782178217822
단독다가구,월세,2026-05,737,73.17232021709634
단독다가구,월세,2026-06,675,74.75111111111111
단독다가구,월세,2026-07,543,75.60589318600368
단독다가구,월세,2026-08,199,76.20603015075378
단독다가구,전세,2026-02,244,22117.844262295082
단독다가구,전세,2026-03,333,20148.26126126126
단독다가구,전세,2026-04,275,20209.618181818183
단독다가구,전세,2026-05,279,20352.043010752688
단독다가구,전세,2026-06,230,19270.508695652174
단독다가구,전세,2026-07,186,19986.048387096773
단독다가구,전세,2026-08,83,17557.831325301206
아파트,월세,2026-02,751,147.1264980026631
아파트,월세,2026-03,817,152.4467564259486
아파트,월세,2026-04,772,152.52331606217618
아파트,월세,2026-05,800,155.69375
아파트,월세,2026-06,754,155.09549071618036
아파트,월세,2026-07,718,154.8091922005571
아파트,월세,2026-08,252,139.734126984127
아파트,전세,2026-02,1506,55059.10823373174
아파트,전세,2026-03,1576,54179.39657360406
아파트,전세,2026-04,1477,53855.04265402844
아파트,전세,2026-05,1420,56867.85985915493
아파트,전세,2026-06,1392,55927.02945402299
아파트,전세,2026-07,1196,55926.42558528428
아파트,전세,2026-08,529,54301.568998109644
연립다세대,월세,2026-02,97,78.20618556701031
연립다세대,월세,2026-03,119,91.28571428571429
연립다세대,월세,2026-04,122,85.60655737704919
연립다세대,월세,2026-05,83,85.0
연립다세대,월세,2026-06,87,91.22988505747126
연립다세대,월세,2026-07,68,90.88235294117646
연립다세대,월세,2026-08,25,78.08
연립다세대,전세,2026-02,58,30913.44827586207
연립다세대,전세,2026-03,72,32132.63888888889
연립다세대,전세,2026-04,78,32879.320512820515
연립다세대,전세,2026-05,56,33480.53571428572
연립다세대,전세,2026-06,60,32159.666666666668
연립다세대,전세,2026-07,41,33549.85365853659
연립다세대,전세,2026-08,19,33519.47368421053
