NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,서울특별시 강남구 개포동,649,649,0,경남1,월세,96.98,202606,30,"20,000",255,9,1984,언주로 110,202609~202809,갱신,사용,"20,000",240,아파트,아파트,2026-06
2,경기도 시흥시 정왕동,1867-3,1867,3,신호새피앙,전세,101.955,202606,30,"27,000",0,3,1997,옥구천서로373번길 7,202607~202807,갱신,사용,"27,000",0,아파트,아파트,2026-06
3,경기도 성남시 분당구 백현동,530,530,0,판교알파리움2단지,월세,96.815,202606,30,"10,000",415,15,2015,판교역로 145,202608~202808,갱신,사용,"10,000",400,아파트,아파트,2026-06
4,서울특별시 송파구 가락동,913,913,0,헬리오시티,전세,99.6,202606,30,"131,250",0,11,2018,송파대로 345,202607~202807,갱신,사용,"125,000",0,아파트,아파트,2026-06
5,경기도 하남시 학암동,651,651,0,힐스테이트센트럴위례,전세,98.7162,202606,30,"70,000",0,15,2021,위례대로6길 15,202609~202809,신규,-,,,아파트,아파트,2026-06
6,세종특별자치시  소담동,550,550,0,새샘마을3단지(모아미래도리버시티),전세,97.994,202606,30,"34,000",0,10,2016,시청대로 236,202606~202703,신규,-,,,아파트,아파트,2026-06
7,경기도 수원시 권선구 호매실동,1393,1393,0,힐스테이트호매실,월세,93.69,202606,30,"12,260",79,7,2018,호매실로166번길 33,202607~202807,갱신,-,"11,820",76,아파트,아파트,2026-06
8,서울특별시 중랑구 신내동,654,654,0,진로아파트,전세,101.86,202606,30,"53,000",0,4,1995,신내로17길 41,-,-,-,,,아파트,아파트,2026-06
9,충청북도 청주시 흥덕구 가경동,764,764,0,대림,전세,101.775,202606,30,"20,500",0,11,1993,가경로 193,202607~202807,신규,-,,,아파트,아파트,2026-06
10,경기도 양주시 옥정동,885,885,0,e편한세상옥정리더스가든,월세,99.9924,202606,30,"2,000",120,24,2024,회천로 234,202607~202807,신규,-,,,아파트,아파트,2026-06
11,경상북도 포항시 북구 학잠동,255,255,0,포항자이애서턴,전세,101.8942,202606,30,"32,000",0,7,2026,양학로 58,202608~202808,신규,-,,,아파트,아파트,2026-06
12,전북특별자치도 전주시 완산구 서신동,572,572,0,서신e편한세상,전세,101.838,202606,30,"35,000",0,1,2007,여울로 161,202609~202809,신규,-,,,아파트,아파트,2026-06
13,경기도 김포시 구래동,6886-6,6886,6,한강신도시반도유보라4차,전세,87.0536,202606,30,"35,000",0,25,2018,김포한강4로 487,202608~202808,신규,-,,,아파트,아파트,2026-06
14,서울특별시 동대문구 장안동,95-1,95,1,장안현대,월세,95.44,202606,30,"3,000",45,11,1984,한천로 224,202607~202704,갱신,-,"3,000",100,아파트,아파트,2026-06
15,경기도 안양시 동안구 호계동,1053-4,1053,4,목련경남,전세,99.02,202606,30,"67,200",0,2,1992,동안로 57,202607~202807,갱신,사용,"64,000",0,아파트,아파트,2026-06
16,서울특별시 관악구 봉천동,39-13,39,13,미소가,전세,100.067,202606,30,"42,500",0,2,2007,관악로37길 71,202608~202808,갱신,사용,"41,000",0,아파트,아파트,2026-06
17,인천광역시 검단구 원당동,810-1,810,1,신검단중앙역칸타빌더스위트,전세,101.4436,202606,30,"39,500",0,1,2026,고산후로 153,202607~202806,신규,-,,,아파트,아파트,2026-06
18,서울특별시 노원구 상계동,695,695,0,대림,월세,93.13,202606,30,"16,000",160,13,1988,동일로221길 22,202609~202809,신규,-,,,아파트,아파트,2026-06
19,경기도 남양주시 다산동,6031,6031,0,다산아이파크,전세,97.96,202606,30,"68,000",0,12,2017,다산순환로 333,202611~202811,신규,-,,,아파트,아파트,2026-06
20,인천광역시 연수구 송도동,19-7,19,7,송도자이하버뷰2단지,전세,95.393,202606,30,"58,000",0,10,2011,컨벤시아대로130번길 32,202607~202807,신규,-,,,아파트,아파트,2026-06
21,경기도 수원시 장안구 정자동,950,950,0,화서역파크푸르지오,전세,101.99,202606,30,"80,000",0,26,2021,대평로 27,202609~202709,갱신,사용,"80,000",0,아파트,아파트,2026-06
22,경기도 평택시 죽백동,817,817,0,소사벌더샵마스터뷰,전세,89.8327,202606,30,"28,300",0,4,2018,죽백4로 16,202608~202808,갱신,-,"25,300",0,아파트,아파트,2026-06
23,강원특별자치도 원주시 반곡동,1964-7,1964,7,반곡모아엘가,월세,93.8094,202606,30,"5,000",120,2,2017,세계로 111,202611~202811,갱신,-,"5,000",115,아파트,아파트,2026-06
24,경상북도 포항시 남구 대잠동,470-3,470,3,세강유니엘101동,전세,93.78,202606,30,"12,600",0,5,2008,포스코대로 147-6,202606~202806,갱신,-,"12,600",0,아파트,아파트,2026-06
25,충청남도 천안시 서북구 불당동,1811,1811,0,불당호반베르디움TheFirst,전세,99.7394,202606,30,"51,000",0,13,2016,불당19로 200,202609~202808,신규,-,,,아파트,아파트,2026-06
26,충청북도 진천군 덕산읍 두촌리,3145,3145,0,충북혁신도시동일하이빌파크테라스,전세,97.0708,202606,30,"30,000",0,6,2024,대하로 194,202607~202807,갱신,사용,"29,000",0,아파트,아파트,2026-06
27,경기도 하남시 학암동,673,673,0,위례그린파크푸르지오,월세,101.9378,202606,30,"50,000",170,4,2016,위례순환로 270,202608~202808,갱신,-,"50,000",130,아파트,아파트,2026-06
28,경기도 하남시 덕풍동,729,729,0,풍산삼부르네상스,전세,101.99,202606,30,"75,000",0,4,2008,덕풍북로 140,202607~202807,갱신,-,"65,000",0,아파트,아파트,2026-06
29,경기도 성남시 수정구 창곡동,521,521,0,위례더힐55,전세,85.4621,202606,30,"73,000",0,10,2015,위례순환로 220,202607~203007,갱신,-,"60,000",0,아파트,아파트,2026-06
30,세종특별자치시  다정동,960,960,0,가온마을1단지(힐스테이트),전세,101.7203,202606,30,"28,000",0,7,2018,다정남로 22,202607~202709,갱신,사용,"28,000",0,아파트,아파트,2026-06
31,서울특별시 은평구 진관동,92,92,0,은평뉴타운 제각말 푸르지오(5-4단지),월세,101.9,202606,30,"32,000",120,9,2010,연서로 455,202607~202806,갱신,사용,"32,000",120,아파트,아파트,2026-06
32,경기도 용인시 기흥구 마북동,636,636,0,교동마을마북이편한세상,전세,101.9856,202606,30,"36,000",0,6,2009,마북로 210,202607~202807,갱신,사용,"35,550",0,아파트,아파트,2026-06
33,경기도 시흥시 은행동,644,644,0,시흥은계호반써밋플레이스,월세,101.0068,202606,30,"30,000",70,7,2019,은계남로 12,202608~202808,신규,-,,,아파트,아파트,2026-06
34,경기도 구리시 갈매동,640,640,0,구리갈매푸르지오,월세,99.5986,202606,30,"10,000",280,10,2017,갈매중앙로 16,202607~202712,갱신,-,"10,000",240,아파트,아파트,2026-06
35,세종특별자치시  다정동,916,916,0,가온마을3단지,전세,98.7065,202606,30,"32,000",0,10,2018,다정북로 109,202606~202806,갱신,-,"25,000",0,아파트,아파트,2026-06
36,대전광역시 서구 둔산동,1509,1509,0,크로바,전세,101.79,202606,30,"74,000",0,4,1992,둔산로 155,202609~202809,신규,-,,,아파트,아파트,2026-06
37,인천광역시 강화군 강화읍 남산리,599,599,0,이지미래지향,월세,100.4125,202606,30,"16,000",25,5,2011,남문로 41,202608~202808,신규,-,,,아파트,아파트,2026-06
38,인천광역시 연수구 송도동,23-3,23,3,더샵센트럴파크1,월세,96.318,202606,30,"10,000",160,39,2010,센트럴로 232,202608~202808,신규,-,,,아파트,아파트,2026-06
39,전남광주통합특별시 남구 진월동,514-22,514,22,진월동한국아델리움아파트,전세,93.5552,202606,30,"39,500",0,6,2005,서문대로627번길 19,202606~202708,갱신,사용,"39,500",0,아파트,아파트,2026-06
40,부산광역시 강서구 명지동,3231,3231,0,퀸덤1차링컨타운,전세,101.4,202606,30,"32,000",0,13,2009,명지오션시티10로 16,202608~202808,신규,-,,,아파트,아파트,2026-06
41,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",월세,101.65,202606,30,"68,000",45,8,2008,강서로 266,202607~202807,갱신,사용,"65,000",45,아파트,아파트,2026-06
42,전북특별자치도 군산시 내흥동,924,924,0,군산신역세권우미린센텀오션,전세,101.9479,202606,30,"35,000",0,18,2024,정자로 45,202606~202806,신규,-,,,아파트,아파트,2026-06
43,경기도 광주시 태전동,193,193,0,성원3,월세,101.88,202606,30,"2,000",115,16,2000,태봉로 77,202608~202808,갱신,사용,"2,000",110,아파트,아파트,2026-06
44,경기도 화성시 동탄구 산척동,718,718,0,동탄 더 레이크 팰리스,전세,88.0279,202606,30,"54,000",0,11,2018,동탄대로8길 35,202606~202609,신규,-,,,아파트,아파트,2026-06
45,경기도 파주시 동패동,1711,1711,0,책향기마을14단지우남퍼스트빌(1711),전세,101.9776,202606,30,"27,000",0,10,2006,책향기로 209,202608~202808,신규,-,,,아파트,아파트,2026-06
46,경기도 남양주시 와부읍 덕소리,612,612,0,덕소아이파크,월세,101.4855,202606,30,"18,000",150,14,2007,월문천로 95,202607~202807,갱신,-,"15,000",135,아파트,아파트,2026-06
47,경기도 부천시 원미구 중동,1182,1182,0,그린타운(삼성),전세,101.7,202606,30,"43,800",0,13,1993,중동로 204,202609~202809,갱신,-,"39,800",0,아파트,아파트,2026-06
48,경기도 수원시 영통구 망포동,693,693,0,망포역아이파크,전세,101.939,202606,30,"50,000",0,1,2002,영통로200번길 20,202606~202807,갱신,-,"43,000",0,아파트,아파트,2026-06
49,경기도 수원시 권선구 금곡동,1077,1077,0,수원모아미래도센트럴타운2단지,전세,99.7854,202606,30,"50,000",0,17,2017,서수원로577번길 305,202606~202709,신규,-,,,아파트,아파트,2026-06
50,세종특별자치시  반곡동,857,857,0,수루배마을4단지(세종더샵예미지),전세,94.96,202606,30,"31,000",0,16,2019,시청대로 500,202606~202806,갱신,-,"25,000",0,아파트,아파트,2026-06
51,서울특별시 송파구 문정동,96-12,96,12,삼형아파트,월세,99.63,202606,30,"25,000",120,3,2002,새말로 139,202610~202810,신규,-,,,아파트,아파트,2026-06
52,서울특별시 관악구 신림동,1656,1656,0,라이프미성,전세,91.24,202606,30,"28,000",0,2,1982,조원로2길 13,202609~202809,신규,-,,,아파트,아파트,2026-06
53,서울특별시 도봉구 창동,825,825,0,북한산아이파크5차,전세,101.9176,202606,30,"53,000",0,16,2004,도봉로136길 28,202609~202809,신규,-,,,아파트,아파트,2026-06
54,서울특별시 동대문구 휘경동,372,372,0,휘경SK뷰,월세,100.53,202606,30,"40,000",150,2,2019,휘경로 60,202609~202809,신규,-,,,아파트,아파트,2026-06
55,서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,월세,87.54,202606,30,"5,000",200,3,1971,이촌로 248,202608~202908,신규,-,,,아파트,아파트,2026-06
56,서울특별시 송파구 신천동,7,7,0,장미1,전세,99.0,202606,30,"90,000",0,12,1979,올림픽로35길 104,202608~202808,신규,-,,,아파트,아파트,2026-06
57,경기도 용인시 기흥구 중동,1081,1081,0,신동백아이파크,월세,101.9972,202606,30,"7,000",155,14,2007,언동로217번길 11,202608~202808,신규,-,,,아파트,아파트,2026-06
58,강원특별자치도 강릉시 교동,1767,1767,0,교동2현대,전세,99.88,202606,29,"33,000",0,14,1999,교동광장로 138-15,202607~202807,갱신,-,"33,000",0,아파트,아파트,2026-06
59,강원특별자치도 삼척시 정상동,500,500,0,삼척센트럴두산위브,전세,99.35,202606,29,"35,000",0,28,2024,동해대로 4098,202608~202808,신규,-,,,아파트,아파트,2026-06
60,경기도 수원시 영통구 영통동,966-2,966,2,신나무실건영,월세,99.96,202606,29,"5,000",225,14,2000,매영로 346,202607~202807,신규,-,,,아파트,아파트,2026-06
61,경기도 화성시 동탄구 반송동,102,102,0,시범다은마을포스코더샵,전세,98.6767,202606,29,"52,000",0,10,2007,동탄문화센터로 39,202607~202807,갱신,-,"47,000",0,아파트,아파트,2026-06
62,경기도 하남시 풍산동,486,486,0,미사강변더샵센트럴포레,전세,93.182,202606,29,"73,500",0,9,2017,미사강변대로 55,202608~202808,갱신,사용,"70,000",0,아파트,아파트,2026-06
63,경기도 화성시 동탄구 반송동,98,98,0,METAPOLIS,월세,96.22,202606,29,"5,000",260,27,2010,동탄중앙로 200,202608~202808,신규,-,,,아파트,아파트,2026-06
64,경기도 안양시 동안구 관양동,1815,1815,0,평촌더샵센트럴시티,전세,96.9933,202606,29,"90,000",0,7,2016,시민대로327번길 55,202609~202809,신규,-,,,아파트,아파트,2026-06
65,서울특별시 강남구 신사동,522,522,0,신사아이빌(522),월세,90.35,202606,29,"20,000",290,6,2006,압구정로2길 15,202607~202807,신규,-,,,아파트,아파트,2026-06
66,인천광역시 서해구 청라동,139-1,139,1,청라한화꿈에그린,월세,100.5108,202606,29,"10,000",170,3,2012,크리스탈로 148,202610~202810,신규,-,,,아파트,아파트,2026-06
67,경기도 평택시 고덕동,1987-2,1987,2,어울림스퀘어,월세,99.96,202606,29,"16,800",42,1,2020,고덕중앙2로 100,202608~202808,갱신,-,"16,800",38,아파트,아파트,2026-06
68,세종특별자치시  대평동,704,704,0,해들마을4단지,전세,98.1108,202606,29,"33,000",0,10,2018,대평로 34,202608~202803,갱신,-,"30,000",0,아파트,아파트,2026-06
69,부산광역시 수영구 남천동,151,151,0,코오롱하늘채골든비치,전세,101.97,202606,29,"45,000",0,22,2009,남천동로 41,202608~202808,신규,-,,,아파트,아파트,2026-06
70,인천광역시 남동구 구월동,1510,1510,0,구월아시아드선수촌센트럴자이,전세,101.92,202606,29,"47,000",0,18,2015,선수촌로 55,202608~202808,갱신,사용,"45,000",0,아파트,아파트,2026-06
71,인천광역시 연수구 송도동,396-7,396,7,송도자이크리스탈오션,월세,98.8104,202606,29,"5,000",210,2,2024,랜드마크로360번길 40,202609~202809,갱신,사용,"5,000",200,아파트,아파트,2026-06
72,서울특별시 양천구 목동,902,902,0,목동신시가지2,월세,97.92,202606,29,"40,000",193,7,1986,목동서로 70,202607~202807,갱신,사용,"40,000",180,아파트,아파트,2026-06
