NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,서울특별시 동작구 상도1동,328-7,328,7,태남아트빌라,월세,97.98,202605,30,"12,000",33,-1,1991,상도로47길 66,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
2,경기도 남양주시 금곡동,158-7,158,7,금곡빌라(ABCD동),전세,90.72,202605,30,"10,000",0,2,1985,경춘로1015번길 5-12,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
3,경상남도 통영시 광도면 죽림리,937-3,937,3,비비타운하우스,월세,88.5105,202605,30,"7,000",40,1,2016,죽림대밭길 108-6,202607~202807,신규,-,,,연립다세대,연립다세대,2026-05
4,서울특별시 강남구 논현동,155-5,155,5,(155-5),월세,100.68,202605,30,"3,000",179,4,2002,학동로26길 53,202606~202706,신규,-,,,연립다세대,연립다세대,2026-05
5,경상남도 거제시 옥포동,552-5,552,5,옥포3차한국그린빌라가나동,월세,90.34,202605,28,"1,000",35,4,1997,옥포대첩로2길 57,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
6,서울특별시 도봉구 쌍문동,512-19,512,19,삼화빌라트,월세,87.14,202605,28,"3,000",105,4,2002,삼양로 630-8,202608~202808,신규,-,,,연립다세대,연립다세대,2026-05
7,서울특별시 마포구 아현동,708-8,708,8,(708-8),전세,99.36,202605,28,"15,000",0,3,1984,환일1길 17,202605~202705,신규,-,,,연립다세대,연립다세대,2026-05
8,인천광역시 강화군 강화읍 신문리,560,560,0,"원일빌라(A,B)동",월세,85.41,202605,28,500,50,2,1994,향나무길31번길 8,202605~202805,신규,-,,,연립다세대,연립다세대,2026-05
9,서울특별시 송파구 마천동,128-130,128,130,(128-130),전세,98.23,202605,28,"36,800",0,4,2004,거마로20길 40,202605~202805,갱신,-,"35,000",0.0,연립다세대,연립다세대,2026-05
10,경기도 수원시 팔달구 고등동,81-2,81,2,선일주택,월세,90.99,202605,27,"3,000",67,4,2003,향교로47번길 26-8,202606~202806,신규,-,,,연립다세대,연립다세대,2026-05
11,제주특별자치도 제주시 한림읍 상대리,3802,3802,0,제주테라하우스플라주메종,월세,86.92,202605,27,"1,000",100,3,2020,상대2길 36,202606~202705,신규,-,,,연립다세대,연립다세대,2026-05
