NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,부동산유형,수집년월
1,부산광역시 강서구 명지동,3***,12m미만,91.71,월세,202606,30,300,74,2010.0,명지오션시티8로34번길,202607~202610,신규,-,,,단독다가구,단독다가구,2026-06
2,대전광역시 유성구 죽동,7**,25m미만,86.91,월세,202606,30,"2,000",90,2015.0,죽동로279번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
3,경기도 화성시 동탄구 능동,1***,12m미만,93.0,전세,202606,30,"16,000",0,2014.0,여울로2길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
4,서울특별시 송파구 가락동,1**,12m미만,88.0,월세,202606,30,"10,000",180,1989.0,동남로11길,202608~202808,신규,-,,,단독다가구,단독다가구,2026-06
5,서울특별시 성동구 마장동,4**,8m미만,87.42,전세,202606,30,"21,000",0,1985.0,청계천로10가길,202607~202807,갱신,-,"18,000",0.0,단독다가구,단독다가구,2026-06
6,경기도 평택시 비전동,9**,12m미만,101.54,월세,202606,30,"1,000",130,2016.0,비전6길,202608~202708,갱신,-,"1,000",100.0,단독다가구,단독다가구,2026-06
7,서울특별시 강서구 방화동,6**,12m미만,93.5,월세,202606,30,"15,000",80,2007.0,개화동로27가길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
8,울산광역시 동구 전하동,5**,12m미만,89.74,월세,202606,30,"2,000",71,2014.0,녹수길,202609~202809,신규,-,,,단독다가구,단독다가구,2026-06
9,경기도 이천시 부발읍 산촌리,3**,12m미만,96.9,월세,202606,30,"2,000",100,2016.0,대산로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
10,경기도 용인시 처인구 양지읍 대대리,1**,8m미만,98.28,전세,202606,30,"15,000",0,2015.0,대대로,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
11,경기도 평택시 비전동,9**,12m미만,90.0,월세,202606,30,500,120,2015.0,비전6길,202606~202706,갱신,-,500,105.0,단독다가구,단독다가구,2026-06
12,충청남도 아산시 온천동,2***,12m미만,98.5,월세,202606,30,"1,000",90,2023.0,용화로76번길,202607~202707,신규,-,,,단독다가구,단독다가구,2026-06
13,경기도 화성시 만세구 향남읍 하길리,1***,12m미만,100.05,월세,202606,30,500,55,2015.0,상신하길로355번길,202607~202806,신규,-,,,단독다가구,단독다가구,2026-06
14,전북특별자치도 완주군 소양면 명덕리,*,8m미만,98.48,전세,202606,30,"2,500",0,1994.0,명덕호동길,202607~202806,신규,-,,,단독다가구,단독다가구,2026-06
15,경상북도 영덕군 영덕읍 천전리,1**,8m미만,88.2,전세,202606,30,"19,000",0,2018.0,천전길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
16,서울특별시 강서구 화곡동,8**,12m미만,93.08,월세,202606,30,"3,000",100,1987.0,강서로10길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
17,충청남도 서산시 대산읍 대산리,9*,25m미만,91.94,월세,202606,30,100,50,2014.0,구진천로,202607~202706,신규,-,,,단독다가구,단독다가구,2026-06
18,충청남도 서산시 대산읍 대산리,9*,25m미만,91.94,월세,202606,30,100,55,,구진천로,202607~202706,신규,-,,,단독다가구,단독다가구,2026-06
19,서울특별시 송파구 방이동,1**,12m미만,99.96,전세,202606,30,"13,000",0,1989.0,백제고분로50길,202607~202806,갱신,-,"12,000",0.0,단독다가구,단독다가구,2026-06
20,경기도 양평군 양서면 도곡리,2**,8m미만,97.52,월세,202606,30,"5,000",90,2007.0,양서도곡길121번길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
21,대구광역시 수성구 수성동3가,9*,8m미만,98.39,전세,202606,30,"14,000",0,1992.0,들안로50길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
22,경기도 의정부시 신곡동,7**,12m미만,99.0,월세,202606,30,"2,000",70,2003.0,부용로185번길,202608~202808,갱신,-,"3,000",60.0,단독다가구,단독다가구,2026-06
23,서울특별시 은평구 응암동,7**,12m미만,86.85,월세,202606,30,"3,000",80,1990.0,가좌로7나길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
24,경기도 고양시 일산동구 식사동,1***,8m미만,87.16,월세,202606,30,"5,000",110,2016.0,위시티3로,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
25,인천광역시 계양구 동양동,5**,12m미만,99.08,월세,202606,30,500,40,2013.0,당미2길,202607~202807,신규,-,,,단독다가구,단독다가구,2026-06
26,전남광주통합특별시 광산구 용곡동,2**,8m미만,100.05,월세,202606,30,300,10,,용곡길19번길,202606~202806,신규,-,,,단독다가구,단독다가구,2026-06
