품목코드,품목명,Tier,가중치,변동횟수,최다월,최다월횟수,집중도
A011010,쌀,A,4.2,313,2,27,0.08626198083067092
A011020,현미,A,0.4,137,2,12,0.08759124087591241
A011030,찹쌀,A,0.5,316,2,27,0.08544303797468354
A011040,보리쌀,A,0.2,297,7,27,0.09090909090909091
A011050,콩,A,0.5,310,4,27,0.08709677419354839
A011060,땅콩,A,0.1,315,4,27,0.08571428571428572
A011070,혼식곡,A,0.4,197,2,17,0.08629441624365482
A011080,밀가루,A,0.1,307,2,27,0.08794788273615635
A011090,국수,A,0.7,318,2,27,0.08490566037735849
A011100,라면,A,2.4,292,8,27,0.09246575342465753
A011110,당면,A,0.2,313,2,27,0.08626198083067092
A011120,두부,A,1.2,289,3,27,0.09342560553633218
A011130,시리얼,A,0.4,312,2,27,0.08653846153846154
A011140,부침가루,A,0.6,318,2,27,0.08490566037735849
A011150,케이크,A,1.6,181,1,19,0.10497237569060773
A011160,빵,A,6.8,245,1,22,0.08979591836734693
A011170,떡,A,1.9,297,4,27,0.09090909090909091
A011180,파스타면,A,0.1,139,2,12,0.08633093525179857
A012010,국산쇠고기,A,8.6,317,2,27,0.08517350157728706
A012020,수입쇠고기,A,3.1,312,2,27,0.08653846153846154
A012030,돼지고기,A,9.8,317,2,27,0.08517350157728706
A012040,닭고기,A,1.5,319,2,27,0.08463949843260188
A012050,소시지,A,2.0,291,4,26,0.08934707903780069
A012060,햄및베이컨,A,2.7,248,5,22,0.08870967741935484
A012070,기타육류가공품,A,0.9,79,2,7,0.08860759493670886
A013110,마른멸치,A,0.5,312,2,27,0.08653846153846154
A013120,마른오징어,A,0.2,315,2,27,0.08571428571428572
A013140,오징어채,A,0.2,306,2,27,0.08823529411764706
A013150,북어채,A,0.4,310,2,27,0.08709677419354839
A013160,어묵,A,0.8,298,2,26,0.087248322147651
A013170,맛살,A,0.2,306,2,27,0.08823529411764706
A013180,수산물통조림,A,0.7,306,2,27,0.08823529411764706
A013190,젓갈,A,0.7,309,2,26,0.08414239482200647
A014010,우유,A,3.4,265,4,24,0.09056603773584905
A014020,분유,A,0.5,282,2,26,0.09219858156028368
A014030,치즈,A,0.7,278,4,25,0.08992805755395683
A014040,발효유,A,2.0,213,3,20,0.09389671361502347
A014050,달걀,A,3.0,317,2,27,0.08517350157728706
A015010,참기름,A,0.6,318,2,27,0.08490566037735849
A015020,식용유,A,0.8,312,2,27,0.08653846153846154
A016190,아몬드,A,0.2,139,2,12,0.08633093525179857
A016200,과일가공품,A,1.0,311,3,27,0.08681672025723473
A017250,고사리,A,0.1,308,3,27,0.08766233766233766
A017270,단무지,A,0.2,286,3,27,0.0944055944055944
