품목코드,품목명,가중치,Tier,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,정확히0인달수,전체달수,현재처리방식
D052010,도시가스,11.5,D,,0.0,0.014691838683611458,0.0,0.014689680499446744,0.007343761474642996,0.0,0.0,0.0,0.0,0.24966955500074217,6.555815997656023,0.02062280882655365,0.0,0.1099656357388401,0.0,-0.0205959082795526,0.0,0.0,0.0,0.0,0.0,0.1510677744970046,0.12341446691808144,0.013695815928249644,0.0,0.0342348510783852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07529089664615185,0.1915053689898194,21,35,비계절ETS(기본)
B021010,담배,9.3,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23000000000000798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,35,비계절ETS(기본)
G032010,시내버스료,6.8,C,,3.0036154630573852,-0.027000270002697224,0.0,1.0352898811667233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035641094181593225,0.27631696229610814,0.0,0.39111111111111985,-0.08854258898529643,-0.1240694789081842,0.0,0.0,0.0,0.0,0.017746228926340812,0.7452093683463445,0.04402958788305433,0.0,3.010298389226307,0.0,0.0,0.0,0.0,-0.059813722977020145,0.0,0.0,0.0,0.0,22,35,비계절ETS(기본)
H031030,인터넷이용료,5.5,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35,비계절ETS(기본)
G032030,택시료,3.2,C,,0.0,0.49562200561703573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016439256945588454,0.4355687047994605,0.0,0.0,0.0,0.0,0.0,0.0,0.5155060960641666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500488440247418,0.0,0.16224547740733009,0.25917226856726483,0.024234590839311565,0.0,0.0,0.0,0.48457438216766846,0.0,26,35,비계절ETS(기본)
D041020,하수도료,3.1,C,,0.0,0.0,0.0,3.177317731773188,0.2966064730000939,0.0,0.0,0.3392189266765211,0.34674063800277377,0.0,0.0,0.0,0.02591568762957408,-0.12090854132481565,1.124081279723299,3.5998289867464672,0.3466490590954052,0.0,0.0,0.3125514064813206,0.0,0.0,0.0,0.3033781567727267,0.0,0.19619063189733055,2.1049196377580293,5.3615661206552145,0.0,0.0,0.0,0.34127104504777517,0.0,0.0,0.3930164008767445,19,35,비계절ETS(기본)
I042070,방송수신료,2.4,C,,0.0,0.0,0.0,0.0,-0.009903931860955062,-0.029714738510289163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1486178539581995,0.0,-0.01984520738241846,0.0,0.0,0.11909487892018955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15860428231562196,-0.17871326449562241,0.0497314501690882,0.0,0.0,27,35,비계절ETS(기본)
G031020,도시철도료,2.2,C,,9.050000000000002,0.0,0.0,1.6781292984869411,0.0,0.0,0.0,1.2175324675324672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9945647331373095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,35,비계절ETS(기본)
J011010,유치원납입금,1.8,C,,-0.4293751850755201,0.0,0.0,0.0,0.0,-3.3754646840148617,-0.015389350569416926,0.0,0.0,0.0,0.12313375404031657,0.0,0.0,0.0,0.0,0.0,0.0,4.181398923904678,0.0,0.0,0.0,-0.2213368747233213,-1.1091393078970668,-18.782712726185135,-7.733382434174185,-4.6896826980642565,0.0,-1.0887772194304812,0.0,-15.918712955122782,0.0,0.0,0.0,-0.02517623363543775,0.0,22,35,비계절ETS(기본)
G023030,도로통행료,1.7,C,,-1.0980073200487994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.500822368421062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,35,비계절ETS(기본)
G031010,열차료,1.7,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35,비계절ETS(기본)
D053020,지역난방비,1.6,D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.711091656003767,0.04910686882328985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638198662494595,0.006119202056065198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07954475922412607,0.0,0.0,-0.09185548071035665,0.0,29,35,비계절ETS(기본)
L031080,행정수수료,1.1,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3299999999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90199655417047,0.0,0.0,0.0,0.0,0.0,33,35,비계절ETS(기본)
G032020,시외버스료,1.0,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35,비계절ETS(기본)
L031030,요양시설이용료,0.9,C,,0.0,0.0,0.0,2.9929738114791604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87631788783556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7841655716162927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,35,비계절ETS(기본)
L031070,부동산중개수수료,0.8,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35,비계절ETS(기본)
D042020,쓰레기봉투료,0.7,C,,0.0,0.0,0.0,0.3360860380257291,0.0,0.0,0.0,0.0,0.0,0.8134749736816937,0.0,0.0,0.0,0.0,0.0,0.8638693753559856,0.0,0.0,0.0,-0.01882352941176002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24475195330884159,0.0,0.0,-0.2911071462109005,-0.07534375588624798,0.0,0.0,0.0,28,35,비계절ETS(기본)
L031020,보육시설이용료,0.7,C,,0.0,0.0,-0.04167969157027329,0.0,0.0,-2.6477639945793885,0.05353892279686967,0.0,0.0,0.0,-3.991866438356173,-0.947497491918392,0.0,0.0,0.0,0.0,0.0,-3.7924825568309783,0.0,0.0,0.0,-0.04678909814012089,-0.6319485078993603,-0.07066305499940917,-0.08249852681201375,0.0,0.07077140835103357,-0.1885902876001877,-0.15351913084554747,-17.433471318746296,0.0,0.0,0.0,0.0,-0.8738003151410934,20,35,비계절ETS(기본)
D042030,정화조청소료,0.5,C,,0.0,0.0,0.0,2.3484486873508237,0.0,0.0,0.14923980971925932,0.0,0.0,0.3632299525007099,0.3155159613956737,0.0,2.562442183163749,0.027058717416794664,0.0,1.3706041478809716,0.04447607187332281,0.4890192940339544,0.14156786409484923,0.10602579961123126,0.0,0.6796116504854233,0.2103971245726477,0.0,0.0,0.0,0.0,1.7058874989064776,0.0,0.06881128505074052,0.49853876568677347,0.0,0.0,0.2223742730071976,0.0,18,35,비계절ETS(기본)
H031010,유선전화료,0.4,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05985634477254642,0.0,0.06979062811565129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,35,비계절ETS(기본)
H011010,우편료,0.1,C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.337485225929633,0.0,34,35,비계절ETS(기본)
