품목코드,품목명,가중치,Tier,분류근거,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
B021010,담배,9.3000000000000007,C,수동편입: 세제개편시에만 계단식 변동(정기개정형과 동일 성격),33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,33.202,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,37.319,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,42.931,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,54.618,55.656,55.656,55.656,55.656,55.656,55.656,55.656,55.656,55.765,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.409,56.251,56.251,56.251,56.251,56.251,56.251,56.251,56.251,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77
D041020,하수도료,3.1,C,품목성질=공공서비스(정기개정.계단식변동),16.038,16.22,16.402,16.419,16.535,16.535,16.65,16.683,16.683,16.7,16.7,16.799,17.527,17.725,20.784,20.784,20.784,21.081,21.081,21.33,21.33,21.379,21.379,21.495,21.627,22.453,22.537,22.636,22.801,22.801,22.801,22.801,22.801,22.801,23.115,23.132,23.297,23.462,24.008,24.008,24.008,26.621,26.621,26.621,26.67,26.67,26.852,26.852,27.877,28.373,28.621,29.216,29.216,29.216,29.216,29.216,29.365,29.365,29.464,29.464,30.111,30.825,30.825,30.825,30.825,30.923,34.459,34.004,34.004,34.07,34.07,34.297,34.946,35.465,35.465,35.465,35.465,35.465,35.595,35.595,35.595,35.79,35.79,35.79,36.86,37.185,37.282,37.282,37.282,37.412,37.444,37.444,37.444,37.444,37.444,37.444,39.197,40.169,40.494,40.494,40.494,40.494,40.494,40.494,40.494,40.494,40.494,40.494,40.494,40.494,40.819,40.819,40.819,40.819,40.819,40.819,40.819,40.819,40.819,41.403,41.987,41.987,41.987,41.987,41.987,41.987,41.987,41.987,41.987,41.987,41.987,41.987,42.029,42.197,42.197,42.197,42.28,43.582,44.674,44.674,44.674,44.716,45.682,46.144,46.803,50.581,50.581,50.581,50.581,50.636,50.636,50.716,50.716,50.716,50.678,50.678,53.096,53.117,53.117,53.168,53.214,53.655,54.008,54.095,54.095,54.095,54.095,56.267,59.252,59.453,59.453,59.558,59.558,60.314,60.381,60.486,60.486,60.486,60.499,61.179,62.111,62.559,63.503,63.767,64.493,65.298,65.476,66.552,66.822,69.007,70.729,71.574,75.817,76.246,76.431,76.431,76.431,76.616,77.157,77.157,77.157,77.427,78.806,80.667,84.897,85.966,86.435,86.435,86.521,86.778,86.778,86.778,86.778,86.923,87.055,89.702,92.922,93.034,93.192,93.192,93.192,93.192,93.192,93.192,93.192,93.417,93.417,94.466,97.152,97.152,97.363,97.192,97.192,97.192,97.192,97.192,97.667,97.898,97.898,98.115,100.83,101.02,98.87,98.22,98.22,97.61,98.27,100.6,101.2,101.43,101.43,102.31,105.77,105.77,105.77,105.77,105.77,105.94,105.94,105.94,105.94,105.67,105.67,106.8,108.72,108.45,108.45,108.45,107.81,107.91,108.55,108.81,108.81,108.55,108.55,108.87,110.33,110.6,109.99,109.99,109.99,109.9,110.39,110.39,111.1,111.1,111.1,111.1,114.63,114.97,114.97,114.97,115.36,115.76,115.76,115.76,115.76,115.79,115.65,116.95,121.16,121.58,121.58,121.58,121.96,121.96,121.96,121.96,122.33,122.33,122.57,125.15,131.86,131.86,131.86,131.86,132.31,132.31,132.31
D042020,쓰레기봉투료,0.7,C,품목성질=공공서비스(정기개정.계단식변동),63.838,64.294,64.294,64.62,64.62,64.751,64.751,65.143,65.404,65.535,67.558,68.406,69.19,69.386,69.516,69.908,69.973,70.169,70.299,70.43,70.43,70.43,70.495,69.19,69.451,69.451,69.451,69.451,69.451,69.451,69.451,69.451,69.451,70.039,70.039,70.039,70.691,71.54,71.54,71.54,71.54,72.127,72.388,72.454,72.845,72.845,73.302,74.673,75.521,75.587,75.652,75.652,75.652,76.108,76.175,76.175,76.175,76.175,76.565,76.565,76.791,76.791,76.946,76.946,76.946,76.946,76.946,76.946,76.946,78.57,78.57,78.57,78.648,79.033,79.033,79.033,79.033,79.033,79.033,79.111,79.111,79.111,79.111,79.111,79.807,79.807,79.807,79.807,80.194,80.194,82.592,82.592,82.824,82.824,82.901,83.055,84.757,85.066,85.066,85.066,84.757,84.757,84.757,84.757,84.757,84.757,84.757,84.757,84.68,84.68,84.68,84.68,84.602,84.989,84.989,84.989,84.989,84.989,85.607,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.917,85.882,85.891,85.891,85.891,85.891,85.891,85.771,85.762,85.771,85.771,85.771,85.771,85.994,85.994,85.994,85.994,85.994,86.165,85.736,85.736,85.796,85.796,85.917,85.917,86.029,86.029,86.029,86.029,86.029,86.029,87.334,87.334,87.481,87.481,87.481,87.481,87.583,87.583,87.583,87.885,88.01,88.01,88.694,89.806,89.806,90.348,90.553,91.122,92.9,92.9,92.9,92.9,93.113,93.113,93.567,94.527,94.527,94.527,95.016,95.016,97.159,97.159,97.159,97.159,97.159,97.159,97.773,98.03,98.03,98.03,98.03,98.03,98.448,98.448,98.582,98.582,98.582,98.582,98.582,99.578,99.578,99.578,99.578,99.578,99.284,99.284,99.409,99.409,99.409,99.409,99.578,99.578,99.578,99.578,99.578,99.578,99.98,99.98,99.98,99.98,99.98,99.98,100.02,100.02,100.02,100.02,100.02,100.02,102.23,102.23,102.23,102.23,102.23,102.23,102.84,102.84,102.84,102.84,102.84,102.84,104.04,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.14,104.49,104.49,104.49,104.49,104.49,104.49,105.34,105.34,105.34,105.34,105.34,105.34,106.25,106.25,106.25,106.25,106.23,106.23,106.23,106.23,106.23,106.23,106.23,106.23,106.49,106.49,106.49,106.18,106.1,106.1,106.1
D042030,정화조청소료,0.5,C,품목성질=공공서비스(정기개정.계단식변동),74.517,74.517,74.517,74.666,74.74,74.74,74.74,74.74,72.96,73.182,73.182,73.182,73.182,73.478,74.22,74.22,74.517,74.517,74.517,74.517,74.517,74.517,74.517,74.443,74.517,74.517,74.517,74.74,74.962,74.962,75.258,75.258,75.258,75.258,75.258,75.332,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,76.074,76.297,76.297,76.297,76.445,76.445,76.445,76.445,76.518,76.518,76.667,76.667,76.667,76.667,76.964,76.964,77.041,77.195,77.195,77.195,77.195,77.35,77.35,77.582,77.582,77.582,77.659,77.737,77.737,77.737,77.737,77.737,78.045,78.045,78.045,78.123,78.123,78.123,78.277,78.432,78.509,78.509,78.663,78.74,78.74,78.74,78.74,78.74,78.74,78.74,78.817,78.817,78.895,78.895,78.895,78.895,79.05,79.204,79.204,79.359,79.359,79.359,79.359,79.59,80.363,80.673,80.673,81.445,81.6,81.6,81.677,81.754,81.986,82.141,82.435,82.435,82.601,82.601,82.601,82.601,83.016,83.347,83.347,83.347,83.347,83.347,84.011,84.011,84.011,84.011,84.011,84.011,85.089,85.089,85.503,85.503,85.503,85.752,86.2,86.897,86.897,87.286,87.286,87.286,87.552,87.593,87.593,87.593,87.593,87.593,88.73,88.73,88.754,88.754,88.754,88.754,88.854,88.937,88.937,88.937,88.953,88.953,89.468,89.485,89.485,89.485,89.485,89.485,89.485,89.65,89.65,89.65,89.65,89.65,89.832,89.832,89.995,90.213,90.785,90.785,91.53,91.403,91.403,91.403,91.403,91.403,91.948,91.948,92.084,92.084,92.084,92.084,92.084,92.084,92.084,92.084,92.084,92.084,92.457,92.457,92.457,92.457,92.457,92.675,93.483,93.483,93.592,93.592,93.592,93.592,94.673,94.673,94.827,94.827,95.2,95.2,95.2,95.381,95.49,96.253,96.28,96.28,97.107,97.107,97.107,97.107,97.37,97.37,97.507,97.552,97.552,97.552,97.552,97.552,99.5,99.5,99.76,99.92,100.06,100.06,100.06,100.23,100.23,100.23,100.23,100.23,101.71,101.71,101.71,101.71,101.71,101.91,102.06,102.06,102.06,102.06,102.06,102.06,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.82,102.93,103.02,103.02,104.61,104.61,104.61,104.61,104.61,104.61,104.75,104.75,104.75,104.75,104.75,104.75,107.21,107.21,107.21,107.37,107.37,107.37,107.76,108.1,108.1,110.87,110.9,110.9,112.42,112.47,113.02,113.18,113.3,113.3,114.07,114.31,114.31,114.31,114.31,114.31,116.26,116.26,116.34,116.92,116.92,116.92,117.18
F021010,외래진료비,20.5,C,품목성질=공공서비스(정기개정.계단식변동),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.024,73.097,73.171,73.171,73.171,73.244,73.244,73.318,73.318,73.391,73.391,73.391,75.222,75.295,75.368,75.368,75.368,75.441,75.515,75.515,75.515,75.515,75.515,75.515,77.199,77.345,77.419,77.419,77.419,77.492,77.492,77.492,77.492,77.492,77.492,77.492,78.811,78.884,78.958,78.958,78.958,79.03,79.104,79.104,79.104,79.104,79.104,79.104,80.714,80.788,80.788,80.861,80.861,80.861,80.861,80.935,80.935,80.935,80.935,80.935,82.533,82.616,82.616,82.616,82.698,82.698,82.698,82.781,82.781,82.781,82.781,82.781,84.105,84.105,84.105,84.105,83.691,83.691,83.691,83.691,83.773,83.773,84.601,84.683,85.494,85.543,85.552,84.808,84.833,84.857,84.047,84.08,84.088,84.105,84.121,84.121,85.635,85.635,85.66,85.436,85.436,85.453,85.436,85.469,85.395,85.486,85.486,85.494,87.272,87.272,87.28,87.223,87.231,87.198,87.198,86.759,86.776,87.04,86.999,86.999,88.849,88.849,88.849,88.849,88.849,88.849,88.849,88.849,88.849,88.849,88.849,88.849,90.902,90.902,90.902,90.902,90.902,90.902,90.902,90.902,90.902,90.902,90.902,90.902,93.239,93.239,93.239,93.239,93.239,93.239,93.239,93.239,93.239,93.239,93.239,93.239,95.531,95.531,95.531,95.531,95.531,95.531,95.531,95.531,95.531,95.531,95.531,95.531,97.654,97.654,97.654,97.654,97.654,97.654,97.654,97.654,97.654,97.654,97.654,97.654,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,101.83,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,106.11,106.11,106.11,106.11,106.11,106.11,106.11,106.11,106.11,106.11,106.11,106.11,108.22,108.22,108.22,108.22,108.22,108.22,108.22,108.22,108.22,108.22,108.22,108.22,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,109.26,111.43,111.43,111.43,111.43,111.43,111.43,111.43
F021030,한방진료비,1,C,품목성질=공공서비스(정기개정.계단식변동),34.721,34.721,34.721,35.061,35.061,35.061,35.061,35.061,35.061,35.061,35.061,35.061,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,52.012,52.012,52.012,52.012,52.012,52.012,52.012,52.012,52.012,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,53.571,55.035,55.035,55.035,55.035,55.035,55.035,55.035,55.035,55.035,55.035,55.035,55.035,56.674,56.674,56.674,56.674,56.674,56.674,56.674,56.674,56.674,56.674,56.674,56.674,58.657,58.657,58.657,58.657,58.657,58.657,58.657,58.657,58.657,58.601,58.657,58.657,59.961,59.961,59.961,59.961,59.961,59.961,59.961,59.961,59.961,59.961,59.961,59.961,64.779,64.779,64.779,64.779,64.779,64.779,64.779,64.779,64.779,64.779,64.779,64.779,72.713,72.713,72.713,72.713,72.713,72.713,72.713,72.713,72.713,72.713,72.713,72.713,78.437,78.437,78.437,78.437,78.437,78.437,78.437,78.437,78.437,78.437,78.437,78.437,82.045,82.045,82.045,82.045,82.045,82.045,82.045,82.045,82.045,82.045,82.045,82.045,85.104,85.104,85.104,85.104,85.104,85.104,85.104,85.104,85.104,85.104,85.104,85.104,87.395,87.395,87.395,87.395,87.395,87.395,87.395,87.395,87.395,87.395,87.395,87.395,89.685,89.685,89.685,89.685,89.685,89.685,89.685,89.685,89.685,90.093,90.093,90.093,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,94.092,94.092,94.092,94.092,94.092,94.092,94.092,94.092,94.092,94.092,94.092,94.092,96.871,96.871,96.871,96.871,96.871,96.871,96.871,96.871,96.871,96.871,96.871,96.871,99.659,99.659,99.659,99.659,99.659,99.659,99.659,99.659,99.659,99.659,99.659,99.659,102.687,102.687,102.687,97.442,97.442,97.442,97.129,97.129,97.129,97.129,97.129,97.129,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,102.86,102.86,102.86,102.86,102.86,102.86,102.86,102.86,102.86,102.86,102.86,102.86,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,106.07,109.27,109.27,109.27,109.27,109.27,109.27,109.27,109.27,109.27,109.27,109.27,109.27,113.18,113.18,113.18,113.18,113.18,113.18,113.18,113.18,113.18,113.18,113.18,113.18,117.29,117.29,117.29,117.29,117.29,117.29,117.29,117.29,117.29,117.29,117.29,117.29,119.47,119.47,119.47,119.47,119.47,119.47,119.47
F021040,약국조제료,1.8,C,품목성질=공공서비스(정기개정.계단식변동),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.339,85.339,85.339,85.339,85.339,85.339,85.339,85.339,85.339,85.339,85.339,85.339,87.95,87.95,87.95,87.95,87.95,87.95,87.95,87.95,87.95,87.95,87.95,87.95,91.022,91.022,91.022,91.022,91.022,91.022,91.022,91.022,91.022,91.022,91.022,91.022,93.634,93.634,93.634,93.634,93.634,93.634,93.634,93.634,93.634,93.634,93.634,93.634,96.595,96.595,96.595,96.595,96.595,96.595,96.595,96.595,96.595,96.595,96.595,96.595,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,103.3,107.05,107.05,107.05,107.05,107.05,107.05,107.05,107.05,107.05,107.05,107.05,107.05,110.91,110.91,110.91,110.91,110.91,110.91,110.91,110.91,110.91,110.91,110.91,110.91,112.84,112.84,112.85,112.85,112.85,112.85,112.85,112.85,112.85,112.85,112.85,112.85,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,116.03,119.9,119.9,119.9,119.9,119.9,119.9,119.9
F022010,치과진료비,6.1,C,품목성질=공공서비스(정기개정.계단식변동),67.054,67.054,67.122,67.324,66.986,67.257,67.661,67.661,67.661,67.593,67.593,67.796,75.95,75.95,76.22,76.22,76.489,76.557,76.557,76.557,76.557,76.354,76.354,76.354,76.354,76.557,76.827,75.613,75.613,75.613,75.882,75.882,76.085,76.489,76.557,77.365,79.118,79.252,79.252,79.252,79.186,79.186,78.309,78.578,78.578,78.645,78.645,79.724,80.803,81.004,81.073,81.274,81.476,81.543,81.611,81.679,81.476,81.476,81.476,81.207,82.274,82.358,82.358,82.44,82.523,82.605,82.605,82.605,82.605,82.853,83.018,83.018,83.844,83.927,83.679,83.844,83.844,84.092,84.422,84.588,85.249,85.331,85.413,85.908,87.148,87.231,87.478,87.644,87.644,87.644,87.727,87.727,87.727,87.809,87.892,88.056,89.048,89.296,89.545,89.956,90.535,90.865,90.948,91.031,91.361,91.609,91.774,91.94,93.013,93.179,93.343,93.839,93.922,94.004,94.17,94.252,94.335,94.418,94.666,93.096,94.863,94.863,94.958,95.053,95.243,95.243,95.339,95.434,95.434,95.434,95.529,95.529,96.006,96.101,96.101,96.291,96.387,96.387,96.577,96.958,97.244,97.244,97.339,97.53,98.101,98.12,98.262,98.196,98.101,98.168,98.044,98.005,98.044,98.11,97.987,97.977,98.52,98.567,98.567,98.482,98.397,98.367,93.386,93.31,93.205,93.044,92.91,92.843,93.596,93.634,93.634,93.643,93.663,93.653,93.606,93.482,93.434,93.577,93.491,93.472,93.79,93.79,93.79,93.79,93.79,93.79,93.79,93.79,93.79,93.79,93.79,93.79,95.609,95.609,95.609,95.609,95.609,95.609,95.609,95.609,95.609,95.609,95.609,95.609,97.907,97.907,97.907,97.907,97.907,97.907,97.907,97.907,97.907,97.466,95.581,95.581,98.188,98.188,98.188,98.188,98.188,98.188,98.188,98.188,98.188,98.188,98.188,98.188,97.485,97.485,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,97.1,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,99.63,99.63,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,106.02,106.02,106.02,106.02,106.02,106.02,106.02,106.02,106.02,106.02,106.02,106.02,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,109.43,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,115.25,115.25,115.25,115.25,115.25,115.25,115.25
F031010,입원진료비,10.199999999999999,C,품목성질=공공서비스(정기개정.계단식변동),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.578,76.578,76.655,76.655,76.655,76.732,76.732,76.732,76.732,76.885,76.962,76.962,78.497,78.573,78.573,78.649,78.649,78.727,78.727,78.727,78.803,78.803,79.111,79.111,80.645,80.722,80.798,80.876,80.876,80.952,80.952,80.952,81.336,81.259,81.259,81.259,82.333,83.484,83.561,83.637,83.637,83.637,83.714,83.714,83.714,83.714,83.714,83.714,84.174,84.174,84.251,84.328,84.405,84.405,85.326,85.402,85.479,85.479,85.557,85.557,87.528,87.616,87.703,87.703,87.792,87.88,88.32,88.32,88.408,88.496,88.585,88.585,89.113,89.113,89.289,89.377,89.201,89.289,89.905,89.905,89.993,90.081,90.521,90.61,92.265,92.397,92.406,92.706,92.767,92.811,92.45,92.529,92.565,92.574,92.591,92.6,94.202,94.255,94.326,93.991,94.009,94.009,94.035,94.07,94.088,94.414,94.467,94.661,96.21,96.315,96.413,96.025,96.069,96.086,96.14,94.229,94.281,94.616,94.625,94.792,96.534,96.534,96.534,96.534,96.534,96.534,96.534,96.534,96.534,96.534,96.534,96.534,98.002,98.002,98.002,98.002,98.002,98.002,98.002,98.002,98.002,98.002,98.002,98.002,99.875,99.875,99.875,99.875,99.875,99.875,99.875,99.875,99.875,98.475,98.475,98.475,100.212,100.212,100.212,100.212,100.212,100.212,96.67,96.67,96.67,96.67,96.67,96.67,98.542,98.542,98.533,98.533,98.533,98.533,98.214,98.214,98.214,98.214,98.214,98.214,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,101.48,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,104.78,104.78,104.78,104.78,104.78,104.78,104.78,104.78,104.78,104.78,104.78,104.78,106.75,106.75,106.75,106.75,106.75,106.75,106.75,106.75,106.75,106.75,106.75,106.75,107.97,107.97,107.97,107.97,107.97,107.97,107.97,107.97,107.97,107.97,107.97,107.97,110.14,110.14,110.14,110.14,110.14,110.14,110.14
G023030,도로통행료,1.7,C,품목성질=공공서비스(정기개정.계단식변동),82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,82.475,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,88.083,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,94.186,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,98.236,96.258,96.258,96.258,96.258,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,95.598,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.812,102.644,102.644,102.644,102.644,102.644,102.644,100.718,101.903,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,101.311,100.146,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,95.82,95.82,95.82,95.82,95.82,95.82,95.82
