기간	자동차부탄(원/L)
2001-01	448.99
2001-02	466.13
2001-03	459.47
2001-04	448.19
2001-05	416.69
2001-06	388.20
2001-07	459.44
2001-08	459.52
2001-09	437.23
2001-10	437.28
2001-11	437.22
2001-12	421.63
2002-01	415.22
2002-02	431.61
2002-03	421.75
2002-04	421.72
2002-05	416.56
2002-06	414.07
2002-07	470.94
2002-08	448.76
2002-09	463.04
2002-10	500.03
2002-11	544.30
2002-12	544.27
2003-01	561.68
2003-02	561.68
2003-03	577.56
2003-04	577.39
2003-05	568.84
2003-06	499.12
2003-07	570.93
2003-08	576.93
2003-09	576.78
2003-10	576.77
2003-11	566.56
2003-12	594.29
2004-01	625.59
2004-02	625.58
2004-03	625.49
2004-04	603.79
2004-05	603.76
2004-06	603.73
2004-07	712.51
2004-08	702.91
2004-09	719.78
2004-10	742.31
2004-11	760.18
2004-12	760.20
2005-01	743.17
2005-02	685.79
2005-03	685.86
2005-04	686.04
2005-05	725.31
2005-06	725.28
2005-07	689.81
2005-08	704.88
2005-09	704.93
2005-10	725.16
2005-11	790.59
2005-12	800.69
2006-01	789.59
2006-02	789.58
2006-03	789.56
2006-04	748.74
2006-05	682.74
2006-06	705.08
2006-07	720.82
2006-08	740.97
2006-09	778.92
2006-10	778.92
2006-11	750.45
2006-12	713.51
2007-01	713.59
2007-02	760.14
2007-03	750.00
2007-04	751.33
2007-05	769.71
2007-06	781.01
2007-07	796.50
2007-08	760.11
2007-09	776.49
2007-10	771.34
2007-11	804.48
2007-12	859.44
2008-01	951.99
2008-02	952.00
2008-03	925.05
2008-04	916.19
2008-05	946.26
2008-06	1025.02
2008-07	1067.24
2008-08	1066.99
2008-09	1032.24
2008-10	1061.61
2008-11	1061.73
2008-12	1080.02
2009-01	850.26
2009-02	848.63
2009-03	894.69
2009-04	895.38
2009-05	800.99
2009-06	756.77
2009-07	754.02
2009-08	803.98
2009-09	804.28
2009-10	803.96
2009-11	856.54
2009-12	901.71
2010-01	956.59
2010-02	952.15
2010-03	986.32
2010-04	966.37
2010-05	953.48
2010-06	953.04
2010-07	977.39
2010-08	941.33
2010-09	900.97
2010-10	937.46
2010-11	931.35
2010-12	972.26
2011-01	1068.12
2011-02	1068.81
2011-03	1068.88
2011-04	1068.33
2011-05	1068.03
2011-06	1120.91
2011-07	1099.94
2011-08	1081.52
2011-09	1081.05
2011-10	1080.81
2011-11	1060.04
2011-12	1052.38
2012-01	1051.44
2012-02	1101.18
2012-03	1143.42
2012-04	1144.48
2012-05	1172.46
2012-06	1146.18
2012-07	1087.73
2012-08	1042.32
2012-09	1040.61
2012-10	1096.57
2012-11	1099.23
2012-12	1099.33
2013-01	1099.36
2013-02	1099.79
2013-03	1090.33
2013-04	1089.36
2013-05	1062.41
2013-06	1043.38
2013-07	1042.14
2013-08	1065.15
2013-09	1065.06
2013-10	1065.36
2013-11	1064.94
2013-12	1065.02
2014-01	1121.92
2014-02	1122.43
2014-03	1121.80
2014-04	1097.38
2014-05	1096.28
2014-06	1055.79
2014-07	1054.06
2014-08	1037.68
2014-09	1013.22
2014-10	996.15
2014-11	984.08
2014-12	924.87
2015-01	887.75
2015-02	809.48
2015-03	806.37
2015-04	826.99
2015-05	818.18
2015-06	817.21
2015-07	804.64
2015-08	804.00
2015-09	794.46
2015-10	764.10
2015-11	762.01
2015-12	782.08
2016-01	782.02
2016-02	772.04
2016-03	742.07
2016-04	731.15
2016-05	731.06
2016-06	741.21
2016-07	736.01
2016-08	706.68
2016-09	696.61
2016-10	694.33
2016-11	724.93
2016-12	751.61
2017-01	752.07
2017-02	805.18
2017-03	858.48
2017-04	858.08
2017-05	842.31
2017-06	804.69
2017-07	786.58
2017-08	785.54
2017-09	813.40
2017-10	841.19
2017-11	884.63
2017-12	885.06
2018-01	885.28
2018-02	885.96
2018-03	857.18
2018-04	828.72
2018-05	826.94
2018-06	843.70
2018-07	869.10
2018-08	894.82
2018-09	895.38
2018-10	934.19
2018-11	910.45
2018-12	863.35
2019-01	801.34
2019-02	798.65
2019-03	797.49
2019-04	796.45
2019-05	847.59
2019-06	851.61
2019-07	796.84
2019-08	785.36
2019-09	784.70
2019-10	783.67
2019-11	810.53
2019-12	820.63
2020-01	820.75
2020-02	874.48
2020-03	874.32
2020-04	818.43
2020-05	725.03
2020-06	749.49
2020-07	759.92
2020-08	760.38
2020-09	771.50
2020-10	771.36
2020-11	770.61
2020-12	796.94
2021-01	797.19
2021-02	847.82
2021-03	898.60
2021-04	899.24
2021-05	899.42
2021-06	878.46
2021-07	906.25
2021-08	952.27
2021-09	980.54
2021-10	981.21
2021-11	1053.79
2021-12	1087.54
2022-01	1071.82
2022-02	1050.71
2022-03	1082.97
2022-04	1163.15
2022-05	1134.62
2022-06	1133.72
2022-07	1100.20
2022-08	1088.79
2022-09	1051.39
2022-10	1049.45
2022-11	1032.22
2022-12	1021.42
2023-01	1019.65
2023-02	992.16
2023-03	989.41
2023-04	988.34
2023-05	987.83
2023-06	961.04
2023-07	905.28
2023-08	870.37
2023-09	895.48
2023-10	940.25
2023-11	970.85
2023-12	970.82
2024-01	970.54
2024-02	970.54
2024-03	970.15
2024-04	970.06
2024-05	969.95
2024-06	969.53
2024-07	982.58
2024-08	1016.36
2024-09	1017.12
2024-10	1016.93
2024-11	1029.87
2024-12	1058.34
2025-01	1058.95
2025-02	1073.87
2025-03	1073.69
2025-04	1073.64
2025-05	1089.01
2025-06	1074.55
2025-07	1053.46
2025-08	1037.49
2025-09	1000.62
2025-10	999.13
2025-11	998.34
2025-12	998.12
2026-01	998.22
2026-02	998.03
2026-03	1011.67
2026-04	1039.03
2026-05	1089.49
2026-06	1107.27
2026-07	1134.28
2026-08(부분월,08/24기준 3주평균)	1100.95
