기간	일반프로판(원/kg)	일반부탄(원/kg)
2001-01	959.06	1139.89
2001-02	994.13	1176.48
2001-03	989.96	1169.88
2001-04	979.01	1158.15
2001-05	938.72
2001-06	898.39
2001-07	898.65
2001-08	897.00
2001-09	870.31
2001-10	868.65	1030.78
2001-11	870.33	1134.39
2001-12	863.29	1124.53
2002-01	858.09	1074.84
2002-02	881.82	1076.61
2002-03	876.17	1072.94
2002-04	871.92	1067.73
2002-05	869.81
2002-06	866.59
2002-07	859.29
2002-08	836.09
2002-09	847.70
2002-10	908.23
2002-11	986.70	1183.76
2002-12	985.52	1179.53
2003-01	1013.54	1199.70
2003-02	1012.26	1199.65
2003-03	1039.10	1220.76
2003-04	1040.25	1220.58
2003-05	1033.71
2003-06	945.41
2003-07	942.49
2003-08	941.96
2003-09	940.71
2003-10	939.21	1158.73
2003-11	936.21	1130.81
2003-12	975.58	1168.10
2004-01	1020.50	1207.18
2004-02	1022.10	1207.61
2004-03	1018.69	1203.57
2004-04	996.19	1185.38
2004-05	995.53	1179.55
2004-06	999.90
2004-07	1059.57
2004-08	1057.40
2004-09	1072.10
2004-10	1105.61	1290.87
2004-11	1124.64	1306.66
2004-12	1127.87	1307.18
2005-01	1119.85	1294.37
2005-02	1054.42	1219.30
2005-03	1049.32	1214.73
2005-04	1048.02	1214.64
2005-05	1100.91	1234.09
2005-06	1101.09
2005-07	1097.82
2005-08	1134.17
2005-09	1133.02
2005-10	1164.20	1325.29
2005-11	1271.03	1431.07
2005-12	1276.84	1428.97
2006-01	1275.71	1423.29
2006-02	1274.56	1422.91
2006-03	1274.11	1420.98
2006-04	1238.90	1378.74
2006-05	1165.98	1304.40
2006-06	1188.22
2006-07	1207.47
2006-08	1242.82
2006-09	1296.08
2006-10	1297.54
2006-11	1261.80	1418.71
2006-12	1221.50	1363.63
2007-01	1226.46	1366.86
2007-02	1290.34	1422.12
2007-03	1288.15	1416.23
2007-04	1286.38	1416.21
2007-05	1302.76	1397.92
2007-06	1316.89	1538.46
2007-07	1349.87
2007-08	1342.79
2007-09	1347.88
2007-10	1349.03
2007-11	1402.09	1542.95
2007-12	1493.23	1631.53
2008-01	1643.45	1791.00
2008-02	1649.53	1791.07
2008-03	1633.40	1771.96
2008-04	1632.96	1771.33
2008-05	1675.94	1782.82
2008-06	1828.75
2008-07	1880.91
2008-08	1888.85
2008-09	1847.53
2008-10	1889.90
2008-11	1891.69	2120.54
2008-12	1966.79	2211.63
2009-01	1576.58	1817.97
2009-02	1568.07	1809.00
2009-03	1665.11	1906.39
2009-04	1668.32	1908.97
2009-05	1530.40
2009-06	1461.07
2009-07	1460.85
2009-08	1545.25
2009-09	1538.52
2009-10	1548.98
2009-11	1634.87	1879.73
2009-12	1711.23	1962.77
2010-01	1808.27	2059.93
2010-02	1807.59	2051.98
2010-03	1853.07	2101.33
2010-04	1831.00	2074.00
2010-05	1809.04
2010-06	1808.29
2010-07	1843.88
2010-08	1802.22
2010-09	1743.06
2010-10	1792.48
2010-11	1788.37	2020.58
2010-12	1861.87	2107.85
2011-01	2008.65	2270.32
2011-02	2014.45	2279.73
2011-03	2011.48	2277.01
2011-04	2011.90	2279.03
2011-05	2010.58
2011-06	2102.17
2011-07	2065.88
2011-08	2045.42
2011-09	2045.00
2011-10	2046.47
2011-11	2018.62	2280.49
2011-12	2016.41	2276.78
2012-01	1996.16	2256.41
2012-02	2076.88	2334.40
2012-03	2166.67	2412.00
2012-04	2177.36	2431.10
2012-05	2207.35	2456.32
2012-06	2172.37	2412.08
2012-07	2083.71	2314.31
