품목코드,품목명,Tier,가중치,모델,pred_2026-09
A011010,쌀,A,4.2,비계절ETS,116.45926448078268
A011020,현미,A,0.4,비계절ETS,126.01653699123251
A011030,찹쌀,A,0.5,비계절ETS,131.5959999309838
A011040,보리쌀,A,0.2,비계절ETS,170.46466517881618
A011050,콩,A,0.5,비계절ETS,103.78633427814083
A011060,땅콩,A,0.1,비계절ETS,120.86329837674421
A011070,혼식곡,A,0.4,비계절ETS,121.06228509661648
A011080,밀가루,A,0.1,비계절ETS,128.61697875750755
A011090,국수,A,0.7,비계절ETS,166.03943365020635
A011100,라면,A,2.4,비계절ETS,127.69746650801184
A011110,당면,A,0.2,비계절ETS,145.6042417949447
A011120,두부,A,1.2,비계절ETS,109.66401104651457
A011130,시리얼,A,0.4,비계절ETS,128.66947938969332
A011140,부침가루,A,0.6,비계절ETS,142.65996677809167
A011150,케이크,A,1.6,비계절ETS,132.5017192672489
A011160,빵,A,6.8,비계절ETS,143.01826517356827
A011170,떡,A,1.9,비계절ETS,130.62629812745948
A011180,파스타면,A,0.1,비계절ETS,129.971047897767
A012010,국산쇠고기,A,8.6,비계절ETS,109.04343080766168
A012020,수입쇠고기,A,3.1,비계절ETS,143.17138058819998
A012030,돼지고기,A,9.8,비계절ETS,133.66595037189555
A012040,닭고기,A,1.5,비계절ETS,133.64104983644089
A012050,소시지,A,2.0,비계절ETS,122.45895968677111
A012060,햄및베이컨,A,2.7,비계절ETS,126.34463194158228
A012070,기타육류가공품,A,0.9,비계절ETS,138.46511073363104
A013110,마른멸치,A,0.5,비계절ETS,110.9307001656555
A013120,마른오징어,A,0.2,비계절ETS,126.48443054459489
A013140,오징어채,A,0.2,비계절ETS,137.30509328700523
A013150,북어채,A,0.4,비계절ETS,137.37586429985635
A013160,어묵,A,0.8,비계절ETS,129.97198009451978
A013170,맛살,A,0.2,비계절ETS,148.0471637609683
A013180,수산물통조림,A,0.7,비계절ETS,130.70532613950175
A013190,젓갈,A,0.7,비계절ETS,125.93860903852966
A014010,우유,A,3.4,비계절ETS,124.63303056396914
A014020,분유,A,0.5,비계절ETS,113.44775862905881
A014030,치즈,A,0.7,비계절ETS,144.78065960343318
A014040,발효유,A,2.0,비계절ETS,128.38472817563434
A014050,달걀,A,3.0,비계절ETS,152.94249138540061
A015010,참기름,A,0.6,비계절ETS,159.79344218104882
A015020,식용유,A,0.8,비계절ETS,150.96134019907834
A016190,아몬드,A,0.2,비계절ETS,112.18866396483055
A016200,과일가공품,A,1.0,비계절ETS,151.59850207077707
A017250,고사리,A,0.1,비계절ETS,127.61751109034579
A017270,단무지,A,0.2,비계절ETS,129.09650172893348
A017280,김,A,0.5,비계절ETS,155.37384030469002
A017290,맛김,A,0.5,비계절ETS,134.64530648136449
A017300,미역,A,0.3,비계절ETS,139.7710524250767
A018010,초콜릿,A,0.5,비계절ETS,163.34053171769045
A018020,사탕,A,0.8,비계절ETS,117.1078167685658
A018030,껌,A,0.1,비계절ETS,116.84449130771964
A018040,아이스크림,A,2.6,비계절ETS,129.12753537115023
A018050,비스킷,A,1.9,비계절ETS,135.15072701268468
A018060,스낵과자,A,2.9,비계절ETS,122.12041854183246
A018070,파이,A,0.6,비계절ETS,116.83376548733236
A018080,설탕,A,0.3,비계절ETS,142.88500514203668
A018090,잼,A,0.1,비계절ETS,172.6601950776628
A018100,꿀,A,0.4,비계절ETS,117.0629248357394
A018110,물엿,A,0.2,비계절ETS,138.0167612533729
A019010,고춧가루,A,1.6,비계절ETS,114.23806993497581
A019020,참깨,A,0.6,비계절ETS,139.66282461141395
A019040,소금,A,0.2,비계절ETS,177.2600176400867
A019050,간장,A,0.4,비계절ETS,139.94080288852606
A019060,된장,A,0.4,비계절ETS,140.74564100107915
A019070,양념소스,A,0.5,비계절ETS,141.8034741431819
A019080,고추장,A,0.3,비계절ETS,140.94415405696898
A019090,카레,A,0.2,비계절ETS,145.14575261651964
A019100,식초,A,0.1,비계절ETS,160.45694672849675
A019110,드레싱,A,0.2,비계절ETS,175.5995830103175
A019120,혼합조미료,A,0.3,비계절ETS,135.43176387403557
A019130,스프,A,0.3,비계절ETS,130.00934158493413
A019140,이유식,A,0.3,비계절ETS,111.21564722954399
A019150,김치,A,1.3,비계절ETS,134.409914066011
A019160,밑반찬,A,3.1,비계절ETS,118.50031107026386
A019170,냉동식품,A,1.9,비계절ETS,119.47284944026644
A019180,즉석식품,A,3.1,비계절ETS,128.80425750481095
