품목코드,품목명,Tier,가중치,모델,pred_2026-09,보정치(레벨),보정후_pred_2026-09
A011010,쌀,A,4.2,비계절ETS,116.45926447442005,0.0,116.45926447442005
A011020,현미,A,0.4,비계절ETS,126.01653701837621,0.0,126.01653701837621
A011030,찹쌀,A,0.5,비계절ETS,131.5959999309838,0.0,131.5959999309838
A011040,보리쌀,A,0.2,비계절ETS,170.46466433963167,2.0731848321647846,169.2207534403328
A011050,콩,A,0.5,비계절ETS,103.78633423342767,0.0,103.78633423342767
A011060,땅콩,A,0.1,비계절ETS,120.86329837778975,0.0,120.86329837778975
A011070,혼식곡,A,0.4,비계절ETS,121.06228511174136,0.0,121.06228511174136
A011080,밀가루,A,0.1,비계절ETS,128.61697865387708,0.0,128.61697865387708
A011090,국수,A,0.7,비계절ETS,166.03943366861404,0.0,166.03943366861404
A011100,라면,A,2.4,비계절ETS,127.6974658064185,0.0,127.6974658064185
A011110,당면,A,0.2,비계절ETS,145.6042415920706,0.0,145.6042415920706
A011120,두부,A,1.2,비계절ETS,109.66401103348909,0.0,109.66401103348909
A011130,시리얼,A,0.4,비계절ETS,128.66947942846318,0.0,128.66947942846318
A011140,부침가루,A,0.6,비계절ETS,142.6599671381933,0.0,142.6599671381933
A011150,케이크,A,1.6,완전동결(검증됨),132.25,0.22020520784281908,132.11787687529431
A011160,빵,A,6.8,완전동결(검증됨),142.6,0.375576560905903,142.37465406345646
A011170,떡,A,1.9,비계절ETS,130.6263003775228,0.0,130.6263003775228
A011180,파스타면,A,0.1,비계절ETS,129.97104673394674,0.0,129.97104673394674
A012010,국산쇠고기,A,8.6,계단평균(검증됨),112.00096080625465,0.0,112.00096080625465
A012020,수입쇠고기,A,3.1,비계절ETS,143.17138243748602,0.8620845033847454,142.65413173545517
A012030,돼지고기,A,9.8,계절ETS,133.73001000609983,0.0,133.73001000609983
A012040,닭고기,A,1.5,비계절ETS,133.6410480840456,0.0,133.6410480840456
A012050,소시지,A,2.0,비계절ETS,122.45895955660271,-0.3542344040628933,122.67150019904044
A012060,햄및베이컨,A,2.7,비계절ETS,126.34463201132967,0.0,126.34463201132967
A012070,기타육류가공품,A,0.9,비계절ETS,138.46511077184167,0.0,138.46511077184167
A013110,마른멸치,A,0.5,비계절ETS,110.93069996162464,0.0,110.93069996162464
A013120,마른오징어,A,0.2,비계절ETS,126.48443052336857,0.23871622396101108,126.34120078899197
A013140,오징어채,A,0.2,비계절ETS,137.30509358873738,0.0,137.30509358873738
A013150,북어채,A,0.4,비계절ETS,137.3758519722522,0.0,137.3758519722522
A013160,어묵,A,0.8,비계절ETS,129.97198563716742,0.0,129.97198563716742
A013170,맛살,A,0.2,비계절ETS,148.04716356641651,0.0,148.04716356641651
A013180,수산물통조림,A,0.7,비계절ETS,130.705327529549,0.0,130.705327529549
A013190,젓갈,A,0.7,비계절ETS,125.93860782472095,-0.7195362531631323,126.37032957661883
A014010,우유,A,3.4,비계절ETS,124.63303057784105,0.0,124.63303057784105
A014020,분유,A,0.5,비계절ETS,113.44775879510549,0.0,113.44775879510549
A014030,치즈,A,0.7,비계절ETS,144.78065961787738,0.0,144.78065961787738
A014040,발효유,A,2.0,비계절ETS,128.38473343598253,0.30076100250901544,128.20427683447713
A014050,달걀,A,3.0,비계절ETS,152.94249128726625,0.0,152.94249128726625
A015010,참기름,A,0.6,비계절ETS,159.79344830759274,0.0,159.79344830759274
A015020,식용유,A,0.8,비계절ETS,150.96134029510773,0.0,150.96134029510773
A016190,아몬드,A,0.2,비계절ETS,112.18866408242653,0.0,112.18866408242653
A016200,과일가공품,A,1.0,비계절ETS,151.59850287915958,0.0,151.59850287915958
A017250,고사리,A,0.1,비계절ETS,127.61751109685167,0.0,127.61751109685167
A017270,단무지,A,0.2,비계절ETS,129.09650087864463,0.0,129.09650087864463
A017280,김,A,0.5,비계절ETS,155.3738407575158,0.0,155.3738407575158
A017290,맛김,A,0.5,비계절ETS,134.645308535727,0.0,134.645308535727
A017300,미역,A,0.3,비계절ETS,139.77105236038216,0.0,139.77105236038216
A018010,초콜릿,A,0.5,비계절ETS,163.3405123646802,1.0834198865169593,162.69046043277
A018020,사탕,A,0.8,비계절ETS,117.10781668626936,0.0,117.10781668626936
A018030,껌,A,0.1,비계절ETS,116.8444936340646,0.0,116.8444936340646
A018040,아이스크림,A,2.6,비계절ETS,129.1275354261688,0.0,129.1275354261688
A018050,비스킷,A,1.9,비계절ETS,135.15072650159132,0.0,135.15072650159132
A018060,스낵과자,A,2.9,비계절ETS,122.12041696163077,0.0,122.12041696163077
A018070,파이,A,0.6,비계절ETS,116.83376537888132,0.0,116.83376537888132
A018080,설탕,A,0.3,비계절ETS,142.8850053173689,0.0,142.8850053173689
A018090,잼,A,0.1,비계절ETS,172.6601942085713,0.0,172.6601942085713
A018100,꿀,A,0.4,비계절ETS,117.06292483699444,0.0,117.06292483699444
A018110,물엿,A,0.2,비계절ETS,138.01677104705746,0.0,138.01677104705746
A019010,고춧가루,A,1.6,완전동결(검증됨),114.6,0.0,114.6
A019020,참깨,A,0.6,비계절ETS,139.66282502947683,0.0,139.66282502947683
A019040,소금,A,0.2,비계절ETS,177.26001779632406,0.0,177.26001779632406
A019050,간장,A,0.4,비계절ETS,139.94079843857241,-0.5715670322882479,140.28373865794538
A019060,된장,A,0.4,비계절ETS,140.745713350241,0.0,140.745713350241
A019070,양념소스,A,0.5,비계절ETS,141.8034719017034,0.0,141.8034719017034
A019080,고추장,A,0.3,비계절ETS,140.94415363187068,0.0,140.94415363187068
A019090,카레,A,0.2,비계절ETS,145.1457095213337,0.0,145.1457095213337
A019100,식초,A,0.1,비계절ETS,160.45694656584396,0.0,160.45694656584396
A019110,드레싱,A,0.2,비계절ETS,175.59956796093795,0.0,175.59956796093795
A019120,혼합조미료,A,0.3,비계절ETS,135.43175852988017,0.0,135.43175852988017
A019130,스프,A,0.3,비계절ETS,130.0093428166612,0.0,130.0093428166612
A019140,이유식,A,0.3,비계절ETS,111.21564844568627,0.09803644197030792,111.15682658050409
A019150,김치,A,1.3,비계절ETS,134.40990393120228,0.0,134.40990393120228
A019160,밑반찬,A,3.1,비계절ETS,118.50031104531692,0.0,118.50031104531692
A019170,냉동식품,A,1.9,비계절ETS,119.47284942994625,0.0,119.47284942994625
A019180,즉석식품,A,3.1,계단평균(검증됨),128.43918443277943,0.0,128.43918443277943
A019190,편의점도시락,A,0.4,비계절ETS,119.41607100046176,0.2355951037757175,119.27471393819633
A019200,삼각김밥,A,0.4,비계절ETS,116.48672161745034,0.0,116.48672161745034
A021010,커피,A,2.6,비계절ETS,146.57432944103365,0.0,146.57432944103365
A021020,차,A,0.9,비계절ETS,124.03340225419403,0.0,124.03340225419403
A022010,주스,A,1.4,비계절ETS,136.67155287944323,0.41823183823942145,136.42061377649958
A022020,두유,A,0.8,비계절ETS,127.88589496660933,0.0,127.88589496660933
A022030,생수,A,1.3,비계절ETS,116.943059251989,0.0,116.943059251989
A022040,기능성음료,A,0.5,비계절ETS,119.7834487668344,0.0,119.7834487668344
A022050,탄산음료,A,1.6,비계절ETS,122.46559577645615,0.0,122.46559577645615
A022060,기타음료,A,0.6,비계절ETS,123.82965246890922,1.1336627810858317,123.14945480025771
B011010,소주,A,1.7,비계절ETS,108.97540984982402,0.0,108.97540984982402
B011020,과실주,A,0.8,비계절ETS,103.34003633332239,0.0,103.34003633332239
B011030,맥주,A,3.0,비계절ETS,116.32950245456608,0.13989331803234487,116.24556646374667
B011040,막걸리,A,0.5,비계절ETS,123.95001261400975,0.0,123.95001261400975
B011050,양주,A,0.4,비계절ETS,115.111722080892,0.0,115.111722080892
B011060,약주,A,0.1,비계절ETS,105.94503521771288,0.0,105.94503521771288
C011010,남자외의,A,4.4,완전동결(검증됨),120.22,0.22741642066401133,120.08355014760158
C011020,남자상의,A,1.5,계절ETS,115.06093788150768,0.1487662954878554,114.97167810421497
C011030,남자하의,A,1.3,계절ETS,123.62436667981846,0.20121922397983383,123.50363514543056
C011040,남자내의,A,0.7,비계절ETS,111.73955977332366,0.0,111.73955977332366
C012010,여자외의,A,6.2,계절ETS,115.8057918501837,0.13539037868203488,115.72455762297447
C012020,원피스,A,1.8,계단평균(검증됨),135.33,0.0,135.33
C012030,여자상의,A,1.5,비계절ETS,117.49748787535488,0.05892252783565747,117.46213435865349
C012040,여자하의,A,2.4,계절ETS,123.84749842057715,0.0,123.84749842057715
C012050,여자내의,A,1.8,비계절ETS,110.20647466452644,0.0,110.20647466452644
C013010,점퍼,A,3.3,계절ETS,120.5270476678178,0.10897788022771475,120.46166093968117
C013020,티셔츠,A,4.6,비계절ETS,123.93053016405997,0.17589981740943963,123.8249902736143
C013030,스웨터,A,0.6,비계절ETS,118.80069922049621,0.07247472039649001,118.75721438825832
C013040,청바지,A,1.6,계절ETS,124.49285790960475,0.0,124.49285790960475
C013050,운동복,A,2.3,완전동결(검증됨),112.73,0.0,112.73
C013060,등산복,A,0.5,비계절ETS,110.45386637664002,0.0,110.45386637664002
C014010,유아동복,A,4.6,계절ETS,120.0026416901728,0.24121348875572815,119.85791359691936
C015010,양말,A,0.9,비계절ETS,104.19599712247192,0.0,104.19599712247192
C015020,모자,A,0.6,비계절ETS,113.33739401189148,0.05882527449341287,113.30209884719542
C015030,장갑,A,0.2,비계절ETS,158.27480459623354,0.25697399151457034,158.12062020132478
C016010,의복수선료,A,0.2,비계절ETS,135.59825721227975,0.0,135.59825721227975
C016020,세탁료,A,1.1,비계절ETS,154.85666615534507,0.0,154.85666615534507
C021010,아동화,A,0.9,비계절ETS,116.35518698708937,0.18922264856377544,116.2416533979511
C021020,구두,A,2.0,완전동결(검증됨),113.81,0.5549483331159522,113.47703100013044
C021030,운동화,A,4.4,비계절ETS,115.04987285518709,0.0,115.04987285518709
C021040,실내화,A,0.2,비계절ETS,128.4679184655813,0.0,128.4679184655813
D011010,전세,A,54.2,비계절ETS,106.5581320963634,0.0,106.5581320963634
D011020,월세,A,44.9,비계절ETS,106.16903510381246,0.0,106.16903510381246
D031010,주택수선재료,A,3.4,비계절ETS,128.64676089720328,-0.5913652523651933,129.0015800486224
D031020,설비수리비,A,5.9,비계절ETS,127.14338348894636,-0.1116848555302828,127.21039440226453
D041010,상수도료,A,4.5,비계절ETS,119.65592280610791,0.0,119.65592280610791
D042010,공동주택관리비,A,21.8,계절ETS,131.45994067438178,0.0,131.45994067438178
E011010,장롱,A,1.3,완전동결(검증됨),127.74,0.0,127.74
E011020,침대,A,2.7,완전동결(검증됨),133.99,0.0,133.99
E011030,거실장,A,0.4,비계절ETS,128.13664424934117,0.0,128.13664424934117
E011040,소파,A,1.3,비계절ETS,137.32567239197934,0.0,137.32567239197934
E011050,책상,A,0.4,비계절ETS,131.22527934225107,0.0,131.22527934225107
