분류,바텀업예측,탑다운예측,채택방식,최종예측,가중치
01 식료품 및 비주류음료,129.31546665423545,129.70065091987547,바텀업,129.31546665423545,142.0
02 주류 및 담배,105.10639422595958,105.1658465334646,바텀업,105.10639422595958,15.8
03 의류 및 신발,119.43504938338364,119.87059817806285,바텀업,119.43504938338364,49.6
"04 주택, 수도, 전기 및 연료",118.89937973498664,119.13937174653124,탑다운,119.13937174653124,171.6
05 가정용품 및 가사 서비스,123.35286325105722,123.27351873943523,바텀업,123.35286325105722,45.6
06 보건,107.43292163897382,107.05203237499678,탑다운,107.05203237499678,84.0
07 교통,125.1784366934283,124.26887591737207,바텀업,125.1784366934283,110.60000000000001
08 통신,102.40289954911856,102.3981501266707,바텀업,102.40289954911856,46.6
09 오락 및 문화,115.79778674439584,115.38233697580648,탑다운,115.38233697580648,62.9
10 교육,110.58570820808814,110.10552513856844,바텀업,110.58570820808814,73.9
11 음식 및 숙박,128.46022969734298,128.7209830160637,바텀업,128.46022969734298,144.7
12 기타 상품 및 서비스,130.2146415794238,130.93781490282902,바텀업,130.2146415794238,52.7
