분류,2026-08(실제),2026-09(예측),전월대비%
총지수,120.05,120.41335411214109,0.30266898137534
01 식료품 및 비주류음료,128.27,129.70062390426173,1.1153222922442676
02 주류 및 담배,105.29,105.16585078959405,-0.11791168240664857
03 의류 및 신발,119.72,119.87059536226568,0.12578964439164397
"04 주택, 수도, 전기 및 연료",117.59,119.13936102096476,1.3175959018324286
05 가정용품 및 가사 서비스,123.16,123.27349033680576,0.0921486982833451
06 보건,107.04,107.05203929914138,0.011247476776324759
07 교통,124.63,124.26890062646258,-0.28973712070722435
08 통신,102.48,102.39804884230885,-0.07996795246989746
09 오락 및 문화,115.8,115.38236627927574,-0.3606508814544508
10 교육,110.31,110.10617670798942,-0.18477317741871335
11 음식 및 숙박,129.03,128.7209806061996,-0.2394942213441928
12 기타 상품 및 서비스,130.45,130.93783618739062,0.3739641145194536
01.1 식료품,128.07,129.56528509801336,1.1675529772884898
01.2 비주류 음료,130.59,130.8836895000457,0.2248943257873508
02.1 주류,113.96,114.00029364704699,0.035357710641447784
02.2 담배,99.77,99.6340731030418,-0.13624024953212002
03.1 의류,120.42,120.47606820166716,0.046560539501045675
03.2 신발,115.84,115.68033407916049,-0.13783314989599038
04.1 주택임차료,106.24,106.39484098577321,0.14574640980159978
04.3 주거시설 유지 · 보수,127.14,127.61712636440149,0.37527636023398236
04.4 수도 및 주거관련 서비스,129.19,128.7964240751703,-0.304648908452427
"04.5 전기, 가스 및 기타연료",140.18,148.65821190544165,6.04808953163193
"05.1 가구, 가사비품 및 카페트",136.04,136.5715288176256,0.3907150967550713
05.2 가정용 섬유제품,115.93,115.86701053712791,-0.05433404888475473
05.3 가정용 기기,111.87,111.9070510841687,0.033119767738173836
05.4 주방용품 및 가정용품,125.88,122.05842407534831,-3.035888087584749
05.5 가정 · 정원용 공구 및 장비,123.62,123.9927079005299,0.3014948232728434
05.6 일상 생활용품 및 가사 서비스,134.33,134.55851138267445,0.1701119501782481
06.1 의료용품 및 장비,103.21,103.11694033445191,-0.09016535757008298
06.2 외래환자 서비스,111.83,111.9939603172783,0.14661568208736075
06.3 병원 서비스,104.15,103.97705806730424,-0.16605082351969655
07.1 운송장비,110.96,111.02830491784265,0.06155814513577227
07.2 개인운송장비 운영,134.54,134.10644185507104,-0.32225222605095294
07.3 운송 서비스,119.35,118.7998358771189,-0.46096700702228705
08.1 우편서비스,123.56,123.85627986805602,0.23978623183556033
08.2 전화 및 팩스장비,103.88,105.1117751746214,1.1857673995200273
08.3 전화 및 팩스 서비스,101.94,102.11593828298373,0.17259003627990618
"09.1 음향, 영상, 사진 및 정보처리 장비",115.2,116.47819989507572,1.1095485200310031
09.2 기타 오락 및 문화용 주요 내구재,112.49,112.31982579697645,-0.151279405301404
"09.3 기타 오락용품, 조경용품 및 애완동물",113.76,114.34924847434225,0.5179751005118156
09.4 오락 및 문화 서비스,113.18,113.0897174033519,-0.07976903750495573
"09.5 신문, 서적 및 문방구",115.77,115.8548281951886,0.07327303721914702
09.6 단체여행,136.69,135.15180475961333,-1.1253165852561786
10.1 유치원 및 초등교육,39.71,38.79764058627132,-2.2975558139730046
10.3 고등교육,107.42,107.14800628231622,-0.2532058440549102
10.4 기타교육,113.96,113.99699508358448,0.03246321830860487
11.1 음식 서비스,128.5,128.7070454760787,0.16112488410793008
11.2 숙박 서비스,137.83,122.41650910421754,-11.182972426744882
12.1 미용용품 및 미용 서비스,122.15,122.3143284455382,0.1345300413738754
12.3 기타 개인용품,116.53,117.24789785428317,0.6160626913954911
