월,실제총지수,소분류하이브리드,소분류순수탑다운,소분류순수바텀업,하이브리드오차%,탑다운오차%,바텀업오차%
2024-08,114.54,114.39868074428291,114.54571584101132,114.37764372991595,-0.1233798286337463,0.0049902575618202836,-0.14174635069326072
2024-09,114.65,114.20585560541156,114.97936597732125,114.36593401361182,-0.3873915347478837,0.2872795266648455,-0.24776797766086814
2024-10,114.69,114.32628505803719,114.64653635370537,114.38572234778496,-0.31712873133037894,-0.037896631175015995,-0.26530443126256414
2024-11,114.4,114.2793130448396,114.3427217638361,114.4332217686398,-0.10549559017518235,-0.05006838825516601,0.02904000755226494
2024-12,114.91,114.58853332151226,114.50198090028415,114.63750604040418,-0.27975518100055524,-0.3550771035730954,-0.23713685457820943
2025-01,115.71,115.39316996789655,115.33826974060011,115.4467716683797,-0.27381387270196134,-0.321260270849436,-0.2274896997841995
2025-02,116.08,115.94617481130099,115.92966813920744,115.93380882102697,-0.11528703368281057,-0.1295071164649915,-0.1259400232365839
2025-03,116.29,115.8876354796086,116.18965724342215,115.95986163138572,-0.3460009634460413,-0.08628665971094626,-0.28389231113103924
2025-04,116.38,115.93483984608415,116.30753679894919,115.97547576443513,-0.3825057174049238,-0.06226430748479879,-0.34758913521641516
2025-05,116.27,116.09411338656248,116.37564832452871,116.15160668836573,-0.15127428695064293,0.09086464653712516,-0.10182619044832232
2025-06,116.31,115.94722811177701,116.12431389924352,116.01936661747145,-0.31190085824348224,-0.15964758039419183,-0.24987824136235431
2025-07,116.52,116.39424438831443,116.15489441364741,116.37857579072791,-0.10792620295705672,-0.31334156054976314,-0.12137333442506723
2025-08,116.45,116.7031764258317,116.83831485013415,116.68088040499391,0.21741213038359541,0.3334605840568063,0.1982656977191166
2025-09,117.06,116.62389652561819,117.12567336929467,116.77872008600096,-0.37254696256775116,0.05610231444957423,-0.24028695882371706
2025-10,117.42,116.708963943209,116.76136639795556,116.77578215169623,-0.6055493585343231,-0.560921139537086,-0.5486440540825821
2025-11,117.2,116.91770506060467,116.83367674490628,117.09531159967408,-0.2408659892451604,-0.31256250434617583,-0.08932457365693389
2025-12,117.57,117.32368939377787,117.18204163210052,117.38896136666332,-0.20950123860008873,-0.3299807501058706,-0.15398369765813505
2026-01,118.03,117.63284208183975,117.89445449199296,117.67344625011708,-0.3364889588750712,-0.11483987800308511,-0.30208739293647385
2026-02,118.4,117.85545102305754,118.03792652336575,117.88187605326934,-0.45992312241762273,-0.30580530121136046,-0.43760468473874004
2026-03,118.8,118.69856728898402,118.26320847570652,118.80991198056321,-0.08538106987876605,-0.45184471741875176,0.008343417982505952
2026-04,119.37,119.13632431337447,118.72461453046303,119.16251809468078,-0.19575746554874035,-0.5406596879760205,-0.1738141118532522
2026-05,119.92,119.35548977888449,119.39630989675685,119.40302364034555,-0.4707390102697731,-0.4366995524042317,-0.4311010337345313
2026-06,119.99,119.67714798611007,119.79397867028523,119.78473383894354,-0.2607317392198711,-0.16336472182245812,-0.17106938999621385
2026-07,119.77,119.78616862434119,119.90750147822293,119.7842608446313,0.013499728096510568,0.11480460734986225,0.011906858671878648
