소분류,n,바텀업_평균절대오차,탑다운_평균절대오차,탑다운이더정확한달수,Wilcoxon_p,확실히_탑다운우위,채택방식
08.1 우편서비스,24,0.6225898761500813,0.7329272552605683,0,1.1920928955078125e-07,False,바텀업
"09.5 신문, 서적 및 문방구",24,2.322231300916003,0.19957419351961767,24,1.1920928955078125e-07,True,탑다운
06.3 병원 서비스,24,0.737956659154842,0.17184404178210735,24,1.1920928955078125e-07,True,탑다운
08.2 전화 및 팩스장비,24,0.3772828149237443,1.5607650114363782,2,1.1920928955078125e-06,False,바텀업
07.2 개인운송장비 운영,24,0.6313556108455435,2.489959729805592,4,3.0159950256347656e-05,False,바텀업
09.4 오락 및 문화 서비스,24,0.6769197984801583,0.19271723950761135,22,3.6597251892089844e-05,True,탑다운
02.2 담배,24,0.0921967385443185,0.3150464995153393,1,6.389617919921875e-05,False,바텀업
06.2 외래환자 서비스,24,0.08394198582943578,0.15761451893779402,1,9.083747863769531e-05,False,바텀업
07.3 운송 서비스,24,1.7163922398353073,0.6964980871680803,21,0.0005675554275512695,True,탑다운
04.1 주택임차료,24,0.03719849955718438,0.022634232287717344,18,0.0035042762756347656,True,탑다운
06.1 의료용품 및 장비,24,0.5090121151486381,0.25121231835970725,20,0.00433504581451416,True,탑다운
02.1 주류,24,0.6970604631596267,0.3817644659314248,19,0.005897641181945801,True,탑다운
05.5 가정 · 정원용 공구 및 장비,24,1.1335725080432344,0.739190043815095,18,0.007189035415649414,True,탑다운
04.4 수도 및 주거관련 서비스,24,0.6974992239584742,0.3250118619020442,18,0.007920503616333008,True,탑다운
09.6 단체여행,24,6.187027425392453,4.286412755825052,18,0.007920503616333008,True,탑다운
11.2 숙박 서비스,24,3.6536283669350866,1.8445895953234217,16,0.017870306968688965,True,탑다운
05.2 가정용 섬유제품,24,0.3562806362776462,0.42235363385590335,6,0.03148162364959717,False,바텀업
10.3 고등교육,24,0.535270160023579,0.5506007319799421,7,0.036649227142333984,False,바텀업
08.3 전화 및 팩스 서비스,24,1.6168129224230892,1.647986129122702,8,0.06464934349060059,False,바텀업
"04.5 전기, 가스 및 기타연료",24,2.324485726855748,1.0232279592822948,16,0.12084019184112549,False,바텀업
12.1 미용용품 및 미용 서비스,24,0.5650235984366306,0.4571955922463549,15,0.128027081489563,False,바텀업
09.2 기타 오락 및 문화용 주요 내구재,24,1.1927267353811934,0.967031822092089,15,0.14335036277770996,False,바텀업
"09.1 음향, 영상, 사진 및 정보처리 장비",24,1.0588483851878188,0.9346067487835743,15,0.15998530387878418,False,바텀업
"05.1 가구, 가사비품 및 카페트",24,1.138380587603514,0.9720986847204222,14,0.18750131130218506,False,바텀업
10.4 기타교육,24,0.12886044710399067,0.09401514102985327,14,0.18750131130218506,False,바텀업
11.1 음식 서비스,24,0.1319508407152015,0.12126661106441534,13,0.2405325174331665,False,바텀업
03.2 신발,24,0.5566520833313581,0.6786698408962396,7,0.2522493600845337,False,바텀업
07.1 운송장비,24,0.5793046261079198,0.6187864136364182,8,0.27681541442871094,False,바텀업
12.3 기타 개인용품,24,0.6042951353590335,0.7071784535033162,10,0.40611207485198975,False,바텀업
04.3 주거시설 유지 · 보수,24,0.21247785549630294,0.1905509858156276,13,0.40611207485198975,False,바텀업
03.1 의류,24,0.224128973622113,0.12255200365805108,12,0.45587432384490967,False,바텀업
05.6 일상 생활용품 및 가사 서비스,24,0.6638188156236643,0.6857733394365381,8,0.49079859256744385,False,바텀업
01.2 비주류 음료,24,0.8666271974805954,0.903108593566366,11,0.6230943202972412,False,바텀업
05.4 주방용품 및 가정용품,24,1.673687226428127,1.7894576641427182,13,0.7682963609695435,False,바텀업
05.3 가정용 기기,24,0.7994436697341509,0.8103095658804479,13,0.9218088388442993,False,바텀업
"09.3 기타 오락용품, 조경용품 및 애완동물",24,0.5539806450653622,0.5399544665271113,14,0.944107174873352,False,바텀업
10.1 유치원 및 초등교육,24,1.3803326490857868,1.4028127048705128,11,0.9664472341537476,False,바텀업
01.1 식료품,24,0.8384282841158802,0.8244705986907791,12,0.9888126850128174,False,바텀업
