소분류,가중치
01.1 식료품,132.3
01.2 비주류 음료,9.7
02.1 주류,6.5
02.2 담배,9.3
03.1 의류,42.1
03.2 신발,7.500000000000001
04.1 주택임차료,99.1
04.3 주거시설 유지 · 보수,9.3
04.4 수도 및 주거관련 서비스,30.6
"04.5 전기, 가스 및 기타연료",32.6
"05.1 가구, 가사비품 및 카페트",8.7
05.2 가정용 섬유제품,3.0
05.3 가정용 기기,16.7
05.4 주방용품 및 가정용품,4.0
05.5 가정 · 정원용 공구 및 장비,3.1
05.6 일상 생활용품 및 가사 서비스,10.1
06.1 의료용품 및 장비,35.300000000000004
06.2 외래환자 서비스,37.4
06.3 병원 서비스,11.299999999999999
07.1 운송장비,28.4
07.2 개인운송장비 운영,60.300000000000004
07.3 운송 서비스,21.9
08.1 우편서비스,0.1
08.2 전화 및 팩스장비,10.4
08.3 전화 및 팩스 서비스,36.1
"09.1 음향, 영상, 사진 및 정보처리 장비",7.8999999999999995
09.2 기타 오락 및 문화용 주요 내구재,1.4000000000000001
"09.3 기타 오락용품, 조경용품 및 애완동물",13.6
09.4 오락 및 문화 서비스,27.099999999999998
"09.5 신문, 서적 및 문방구",5.4
09.6 단체여행,7.5
10.1 유치원 및 초등교육,1.8
10.3 고등교육,13.1
10.4 기타교육,59.0
11.1 음식 서비스,138.0
11.2 숙박 서비스,6.7
12.1 미용용품 및 미용 서비스,25.9
12.3 기타 개인용품,7.0
