Tier,월,예측지수,실제지수,오차%
A,2026-01,117.95872038259934,118.35278058510637,-0.3329539032026964
A,2026-02,118.47745924578598,118.72394680851063,-0.20761402341366864
A,2026-03,118.88095390293823,118.88398138297875,-0.0025465836568531086
A,2026-04,119.01296491163473,119.30713696808512,-0.2465670235042888
A,2026-05,119.45637250497415,119.83465026595745,-0.3156664288198417
A,2026-06,119.94587110326694,120.0881010638298,-0.11843801284463591
A,2026-07,120.24806667153105,120.48398936170214,-0.19581248215714045
B,2026-01,130.51010656009132,127.71916083916082,2.185220841252775
B,2026-02,129.91194958915926,131.0351282051282,-0.857158405806
B,2026-03,129.4077452357652,126.20414918414917,2.538423714533768
B,2026-04,124.47931369798178,121.6941724941725,2.288639748910446
B,2026-05,119.74195834158591,122.12111888111886,-1.9481974627574334
B,2026-06,118.90520544559948,119.7098368298368,-0.6721514334541108
B,2026-07,122.78433701743037,120.26270396270394,2.096770629328648
A+B,2026-01,118.63610680480895,118.85827525474903,-0.18691879001601808
A+B,2026-02,119.09456785785127,119.38836960623979,-0.246089086698745
A+B,2026-03,119.44907485925762,119.27904390489371,0.14254889106881366
A+B,2026-04,119.30797857742199,119.43596301421563,-0.1071573699945016
A+B,2026-05,119.4717853020438,119.95804881117121,-0.4053613025107221
A+B,2026-06,119.88970736353373,120.06768650144673,-0.14823233719161766
A+B,2026-07,120.38494677951833,120.4720467983394,-0.07229894497175286
