품목코드,품목명,Tier,가중치,pred_2026-01,actual_2026-01,pred_2026-02,actual_2026-02,pred_2026-03,actual_2026-03,pred_2026-04,actual_2026-04,pred_2026-05,actual_2026-05,pred_2026-06,actual_2026-06,pred_2026-07,actual_2026-07
A011010,쌀,A,4.2,117.30776205455744,116.84,116.48026449803278,117.53,117.69130791232134,116.63,116.30964035841303,116.7,116.60882957664472,116.63,116.56599717820431,116.94,117.04663887500023,116.5
A011020,현미,A,0.4,128.93411964728529,129.82,129.24113648848086,129.79,129.63540635536586,128.85,128.2873492316764,128.98,128.9147292687389,129.15,129.2286776314966,128.94,128.84264771403147,127.66
A011030,찹쌀,A,0.5,132.14999989162084,134.48,133.3679999200046,134.29,134.13799999205466,133.91,133.60600001982453,134.5,134.97199996264578,134.71,134.878000020808,134.65,134.60200000571012,132.55
A011040,보리쌀,A,0.2,199.4258931772359,198.42,198.9520498980721,198.78,199.1953366310117,197.65,197.36748717618588,196.59,195.99036513974457,195.6,194.88189367897652,190.64,188.08197646899802,182.77
A011050,콩,A,0.5,106.78411176279157,106.72,106.27364568898662,105.47,104.79169360925144,104.58,103.95256129604235,104.48,104.18877258503915,104.87,104.90923941592338,105.47,105.7260835677583,104.55
A011060,땅콩,A,0.1,120.35832158532381,119.87,119.42080127842401,120.06,119.91975304897949,120.85,121.05686989574139,120.48,120.44784121236403,120.41,120.37135950035805,120.64,120.70074698383276,120.88
A011070,혼식곡,A,0.4,120.109030477599,120.36,120.36921357942084,119.92,119.76653461334156,120.25,120.30015057338485,120.59,120.7337999592208,120.53,120.57216400663282,121.45,121.79740529466848,121.56
A011080,밀가루,A,0.1,138.08362580855527,137.72,137.8688911649337,134.38,134.1403417201893,132.33,131.94822645554882,128.66,127.99579881810092,129.07,128.65799242661586,128.97,128.6736356804323,128.97
A011090,국수,A,0.7,152.75434370643555,155.92,155.9083015490055,155.54,155.65932965906597,155.33,155.43301837123605,144.58,144.82307773258202,143.16,143.00407503856044,141.67,141.47765102008944,147.99
A011100,라면,A,2.4,127.63089813711703,128.71,128.79098944030602,127.93,128.01019316945718,126.6,126.67915792084555,126.4,126.47863772167256,126.71,126.78834671121079,126.7,126.77791635137362,126.96
A011110,당면,A,0.2,135.55669788717802,137.31,136.88686869976002,122.43,128.24481333677736,136.35,132.96078366622132,136.91,135.55469466604944,137.12,136.68579945475693,138.15,137.7708613367778,140.63
A011120,두부,A,1.2,108.1408850893232,109.1,109.01619107878001,109.19,109.11704525321969,108.51,108.40871713000256,108.42,108.3208701190431,108.58,108.49370339503336,109.17,109.11511101173784,107.72
A011130,시리얼,A,0.4,135.93743988646824,127.97,131.7498747764061,115.73,123.87377956709385,114.21,118.37476442597202,117.9,118.16236476877137,120.34,119.41719379735846,131.2,125.75360759098491,117.96
A011140,부침가루,A,0.6,142.78636710278,144.11,143.45073643224245,128.94,136.09926222187315,140.13,137.45230294184037,141.5,139.0816206116355,142.1,140.47279690224664,139.97,140.2497448456675,143.69
A011150,케이크,A,1.6,132.29837142428875,132.09,132.43741787695635,132.13,132.46194898957276,132.16,132.47644371493112,131.14,131.28326998818474,131.14,131.25526057042083,131.15,131.24689010699106,132.12
A011160,빵,A,6.8,139.1168169605076,138.72,139.10142173707064,138.75,139.11757844904648,138.53,138.8755401965378,138.47,138.79952359504415,138.48,138.79634078677717,138.48,138.78305460095916,138.51
A011170,떡,A,1.9,128.40183970334337,128.29,128.72171576948367,128.79,129.21365264284836,129.02,129.35254273364157,129.18,129.43336661479358,129.96,130.36149783478461,130.01,130.27577192534025,130.44
A011180,파스타면,A,0.1,133.03147647042056,131.12,131.34853592740302,129.47,129.68567277528555,132.46,132.12005309906894,131.09,131.21946138485214,127.66,128.09854399732546,133.25,132.4991113141401,133.56
A012010,국산쇠고기,A,8.6,111.89026901146336,112.39,113.1605889109895,113.59,114.3463157604348,111.65,111.3977315451576,110.5,110.0028347922793,109.01,108.2818107416761,111.28,111.64661261554491,110.35
A012020,수입쇠고기,A,3.1,145.00896694800025,147.19,147.59842132666753,144.1,144.42338240993783,144.14,144.4562196321415,145.29,145.62065407615097,145.43,145.75528219649976,144.95,145.25854737891083,144.03
A012030,돼지고기,A,9.8,129.21823318365375,126.65,126.74656248165086,127.96,128.0566316989893,125.21,125.3048675983731,127.7,127.79519949061067,132.99,133.0872695380843,135.77,135.8679529488136,134.56
A012040,닭고기,A,1.5,128.9124448662871,132.0,132.0834526373731,131.84,131.92292499087037,135.13,135.2139535150441,139.37,139.4562031525821,139.24,139.3256784105428,137.91,137.99382112595126,134.86
A012050,소시지,A,2.0,118.47891468125466,119.02,118.95081240695036,119.7,119.57475814152181,119.72,119.75741911687787,120.29,120.22276136213551,120.45,120.46483053485937,118.84,119.35401201327774,121.45
A012060,햄및베이컨,A,2.7,120.71057397923765,121.26,121.2476090847678,121.92,121.88608472265787,121.07,121.29655472885518,118.21,118.82232909423035,121.28,120.9119580599817,125.24,124.58511738329618,126.33
A012070,기타육류가공품,A,0.9,132.87164038251092,136.32,136.53631053415708,137.89,138.25997216035594,139.39,139.78608327266073,140.22,140.66793697270765,135.63,136.38667561106092,136.12,136.49780219230513,137.77
A013110,마른멸치,A,0.5,110.67610275409443,111.15,111.20971805323671,111.5,111.60115318771142,111.96,112.10717895243941,111.37,111.35244385790102,109.91,109.63046254776998,110.57,110.51944370573442,110.0
A013120,마른오징어,A,0.2,124.95831182372078,126.37,126.71894281768458,126.21,126.40628600805292,127.12,127.47066987771913,127.12,127.35883813471136,127.17,127.34494812173288,127.31,127.46261238386522,126.4
A013140,오징어채,A,0.2,150.01942452558893,149.72,149.4845399799674,147.13,146.0223363508149,146.42,145.67124099465283,145.15,144.3509814287222,144.34,143.69144015214206,144.44,144.21122513957894,142.97
A013150,북어채,A,0.4,133.0841533531929,134.19,136.00675495648167,134.87,136.4118693962533,136.38,137.76900760212894,138.33,139.70708928894192,136.14,137.02234765532359,139.45,140.32568655609043,138.56
A013160,어묵,A,0.8,127.51000032166928,126.9,126.76434905338022,125.91,125.6955056203646,128.39,128.25666104790847,125.73,125.8092908019107,126.73,126.52838636326925,133.2,133.3732908399056,134.76
A013170,맛살,A,0.2,143.46580778149897,142.83,143.2843769625938,136.33,138.30309650317875,140.86,139.9475355529201,144.87,143.54556369477612,145.37,145.186023967048,146.07,146.17463268314032,148.12
A013180,수산물통조림,A,0.7,123.81893165725866,124.23,124.44236892974449,124.89,125.13475667431797,125.11,125.35050234564268,125.2,125.42727829619554,125.1,125.30086843363756,125.49,125.70253085487653,126.69
A013190,젓갈,A,0.7,113.32294669895403,118.92,118.72006046635558,120.91,121.19758756620995,120.88,121.22623970965218,122.82,123.15586017603991,123.64,124.04261065168326,124.15,124.5704239110803,124.83
A014010,우유,A,3.4,124.40356850594526,124.43,124.5734195695059,124.13,124.2622518145579,124.69,124.83110556955073,124.18,124.26469662846719,124.28,124.36427997661009,124.54,124.67477207308127,124.55
A014020,분유,A,0.5,113.40304199365082,113.46,113.47017827417764,113.92,113.78784722828182,113.32,113.52001271651507,113.77,113.70972869698265,114.09,113.98246329126079,112.95,113.35451041340713,113.32
A014030,치즈,A,0.7,145.5326604683688,145.42,145.58378216352125,145.22,145.27893800174851,145.09,145.09968050895435,144.56,144.46052434672322,145.16,145.2190971556818,144.65,144.58484867896576,144.82
A014040,발효유,A,2.0,128.08396425183153,128.27,128.5043000316606,128.2,128.47993322807577,128.57,128.80802385214312,128.24,128.53690676806312,128.07,128.34584514079205,128.07,128.3195569943194,128.04
A014050,달걀,A,3.0,143.63328447338571,142.34,142.45212430546815,141.55,141.66115381773167,142.2,142.31083967087457,145.81,145.92184346605978,153.62,153.7346753729164,157.16,157.27559487772098,155.63
A015010,참기름,A,0.6,152.6615593092201,150.01,150.83839204350292,146.68,147.23021728455507,146.4,146.41693808005067,152.9,152.52196419042764,148.21,148.9438517436704,153.82,153.52779269765395,153.12
A015020,식용유,A,0.8,154.03328611536583,156.18,155.1045132384713,154.95,154.44054286123944,168.64,165.59793428323127,158.11,159.68295353489037,153.4,154.51113360171163,152.92,152.84553091749652,157.96
A016190,아몬드,A,0.2,109.88288460002549,109.52,109.68677749067186,109.78,109.93361457212512,109.71,109.80727604236284,110.13,110.25486958053483,110.16,110.25300105424296,109.88,109.91080780159243,111.06
A016200,과일가공품,A,1.0,141.4183241784543,141.79,141.98727231068185,143.7,144.06849440234993,140.14,140.22713852438213,142.94,143.27227517354146,144.19,144.53792508929317,144.42,144.7639058495942,146.77
A017250,고사리,A,0.1,124.53788079679434,126.12,126.28966718167675,126.88,127.09023155878546,127.28,127.49854423454863,127.34,127.54363251699394,127.02,127.18561823361773,126.77,126.90582274924527,126.78
A017270,단무지,A,0.2,119.51544184270423,127.89,125.40442178753193,122.57,123.49424894852298,128.46,127.10986875387414,128.69,128.518407985829,129.58,129.6193288638099,126.66,127.86214411169405,128.32
A017280,김,A,0.5,155.0650480508218,156.15,156.81355164329395,155.12,154.96728013074755,155.55,155.6644425314955,155.15,155.03539870999296,153.62,152.9450488625524,154.53,154.6118475673962,154.7
