품목명,Tier,가중치,MAPE%,방향적중률
쌀,A,4.2,0.47788273188829616,0.0
현미,A,0.4,0.5120439960921452,0.3333333333333333
찹쌀,A,0.5,0.7380051470152995,0.5
보리쌀,A,0.2,1.0145531667326144,0.6666666666666666
콩,A,0.5,0.5479224075123371,0.8333333333333334
땅콩,A,0.1,0.37010498681954207,0.5
혼식곡,A,0.4,0.3303859011249441,0.3333333333333333
밀가루,A,0.1,1.155442601203813,0.5
국수,A,0.7,2.355657491587082,0.6666666666666666
라면,A,2.4,0.4631289261739636,0.3333333333333333
당면,A,0.2,3.735516211289407,0.6666666666666666
두부,A,1.2,0.537344211767147,0.5
시리얼,A,0.4,6.618561857033435,0.5
부침가루,A,0.6,3.255272460752903,0.3333333333333333
케이크,A,1.6,0.35547677894191215,0.3333333333333333
빵,A,6.8,0.2732384267508082,0.16666666666666666
떡,A,1.9,0.1750503454230168,0.8333333333333334
파스타면,A,0.1,1.8910763226042602,0.5
국산쇠고기,A,8.6,1.2614462255437922,0.5
수입쇠고기,A,3.1,0.8885235751169018,0.5
돼지고기,A,9.8,1.9970444548572346,0.3333333333333333
닭고기,A,1.5,1.6263742759472575,0.5
소시지,A,2.0,0.7037533747111204,0.6666666666666666
햄및베이컨,A,2.7,1.5933127286571445,0.6666666666666666
기타육류가공품,A,0.9,1.3521824797572357,0.6666666666666666
마른멸치,A,0.5,0.6147804022795016,0.5
마른오징어,A,0.2,0.4820403489043441,0.0
오징어채,A,0.2,0.5464325557672637,0.6666666666666666
북어채,A,0.4,1.1044582949143933,0.5
어묵,A,0.8,1.7188225771051575,0.5
맛살,A,0.2,1.9904168628878327,0.8333333333333334
수산물통조림,A,0.7,0.28872511864082057,0.6666666666666666
젓갈,A,0.7,1.2520241396777714,0.8333333333333334
우유,A,3.4,0.2142034977628655,0.3333333333333333
분유,A,0.5,0.3364992554172535,0.3333333333333333
치즈,A,0.7,0.2670278337531324,0.3333333333333333
발효유,A,2.0,0.24195461274878666,0.3333333333333333
달걀,A,3.0,1.7961013071347787,0.6666666666666666
참기름,A,0.6,2.2507816636814,0.3333333333333333
식용유,A,0.8,3.2863197112459734,0.3333333333333333
아몬드,A,0.2,0.33906455691284093,0.3333333333333333
과일가공품,A,1.0,1.1771609681568127,0.6666666666666666
고사리,A,0.1,0.40466646737192163,0.6666666666666666
단무지,A,0.2,2.4952431503895576,0.3333333333333333
김,A,0.5,0.6423978233764682,0.3333333333333333
맛김,A,0.5,1.210313442015686,0.0
미역,A,0.3,0.40551664959535066,0.6666666666666666
초콜릿,A,0.5,0.6532405485822252,0.0
사탕,A,0.8,1.5743611223737843,0.6666666666666666
껌,A,0.1,0.37775683526438114,0.3333333333333333
아이스크림,A,2.6,0.3760235254379268,0.3333333333333333
비스킷,A,1.9,0.4423932030726198,0.5
스낵과자,A,2.9,0.19748182415343907,0.6666666666666666
파이,A,0.6,0.33745117466146995,0.3333333333333333
설탕,A,0.3,1.1450134787971915,0.6666666666666666
잼,A,0.1,1.5006929380780103,0.8333333333333334
꿀,A,0.4,0.1889726525151074,0.3333333333333333
물엿,A,0.2,3.6242592454549256,0.0
고춧가루,A,1.6,0.14305768731876337,1.0
참깨,A,0.6,0.3498156788049952,0.3333333333333333
소금,A,0.2,0.2116317288520427,0.6666666666666666
간장,A,0.4,1.5118041534871252,0.6666666666666666
된장,A,0.4,3.0613029377254466,0.16666666666666666
양념소스,A,0.5,2.36040869656016,0.6666666666666666
고추장,A,0.3,2.156221935272212,0.16666666666666666
카레,A,0.2,0.7791523097781443,0.6666666666666666
식초,A,0.1,0.6194829180706013,0.16666666666666666
드레싱,A,0.2,1.0446777527012632,0.3333333333333333
혼합조미료,A,0.3,1.3411601904555734,0.5
스프,A,0.3,0.4620494080955811,0.5
이유식,A,0.3,0.08846940306172582,0.0
김치,A,1.3,0.4437222404449163,0.5
밑반찬,A,3.1,0.21252880485041967,0.16666666666666666
냉동식품,A,1.9,1.2356709874597727,0.16666666666666666
즉석식품,A,3.1,0.5221340873563849,0.5
편의점도시락,A,0.4,0.2037661574232507,0.0
삼각김밥,A,0.4,0.17232847840448265,1.0
커피,A,2.6,0.8075338426170952,0.3333333333333333
차,A,0.9,3.1348715623555727,0.5
주스,A,1.4,0.30811151506514445,0.5
두유,A,0.8,0.4254600080710523,0.3333333333333333
생수,A,1.3,0.2890789849163962,0.16666666666666666
기능성음료,A,0.5,0.42737553423572405,0.5
탄산음료,A,1.6,1.9308149460181503,0.5
기타음료,A,0.6,1.2744588489680797,0.3333333333333333
소주,A,1.7,0.052532451532567574,0.6666666666666666
과실주,A,0.8,2.0101342044331516,0.3333333333333333
맥주,A,3.0,0.1471141499861759,0.5
막걸리,A,0.5,0.13470290068840649,0.3333333333333333
양주,A,0.4,2.687170027272939,0.3333333333333333
약주,A,0.1,0.08297898732629717,0.8333333333333334
남자외의,A,4.4,0.1922001477990433,0.0
남자상의,A,1.5,0.13139220272621535,0.0
남자하의,A,1.3,0.16491110964241879,0.0
남자내의,A,0.7,0.09779748852112014,1.0
여자외의,A,6.2,0.11846172071290396,0.0
원피스,A,1.8,0.9701851781511678,0.0
여자상의,A,1.5,0.05028900231867077,0.0
여자하의,A,2.4,0.637060032761533,0.0
여자내의,A,1.8,0.16864499291981241,0.3333333333333333
점퍼,A,3.3,0.09200121022645943,0.0
티셔츠,A,4.6,0.14371004540482188,0.0
스웨터,A,0.6,0.06138101886186392,0.0
청바지,A,1.6,0.482206925642029,0.0
운동복,A,2.3,0.44873062396377844,0.0
등산복,A,0.5,0.49696542247094594,0.0
유아동복,A,4.6,0.19339782039411532,0.16666666666666666
양말,A,0.9,0.07569090220146715,0.5
모자,A,0.6,0.05207244085633273,0.0
장갑,A,0.2,0.19935015336021022,0.5
의복수선료,A,0.2,0.6494852004825683,1.0
세탁료,A,1.1,0.9570950912709378,1.0
아동화,A,0.9,0.16313588877900792,0.0
구두,A,2.0,0.5553384665225015,0.0
운동화,A,4.4,0.48939547572184233,0.16666666666666666
실내화,A,0.2,0.16276528058046333,0.5
전세,A,54.2,0.031902842870246306,1.0
월세,A,44.9,0.029269241887132952,1.0
주택수선재료,A,3.4,0.5650929858981854,0.8333333333333334
설비수리비,A,5.9,0.10859553247493255,1.0
상수도료,A,4.5,0.2384388204446259,0.3333333333333333
공동주택관리비,A,21.8,0.6918129080367121,0.3333333333333333
장롱,A,1.3,0.4912028016456266,0.0
침대,A,2.7,0.7959488212260791,0.0
거실장,A,0.4,0.36034895350870666,0.0
소파,A,1.3,0.5735267194252084,0.16666666666666666
