품목코드,품목명,가중치,정확히0인달수,0.00%반올림달수,전체달수
L031060,금융수수료,0.2,35,35,35
I042010,영화관람료,1.0,35,35,35
G023060,자동차검사료,0.3,35,35,35
C013020,티셔츠,4.6,35,35,35
C015020,모자,0.6,35,35,35
A019140,이유식,0.3,34,34,35
I052010,신문,0.4,34,34,35
L021030,가방,2.7,34,34,35
L021080,지갑,0.5,34,34,35
C013060,등산복,0.5,33,33,35
C021030,운동화,4.4,33,33,35
C012040,여자하의,2.4,33,33,35
C011030,남자하의,1.3,33,33,35
C021010,아동화,0.9,33,33,35
I051010,유아용학습교재,0.3,32,32,35
C011020,남자상의,1.5,32,32,35
J041090,이러닝이용료,0.7,32,32,35
F012080,보청기,0.6,32,32,35
L021010,손목시계,0.6,32,32,35
E011010,장롱,1.3,32,32,35
E021010,침구,2.6,32,32,35
L031100,시험응시료,0.4,32,32,35
C013040,청바지,1.6,32,32,35
C013030,스웨터,0.6,32,32,35
E011030,거실장,0.4,32,32,35
K011160,죽(외식),1.7,31,31,35
C013010,점퍼,3.3,31,31,35
L031050,자동차보험료,3.7,31,31,35
H021010,휴대전화기,10.4,31,31,35
E031150,보온매트,0.4,31,31,35
C021020,구두,2.0,30,30,35
I012030,휴대용멀티미디어기기,1.2,30,30,35
E011020,침대,2.7,30,30,35
G011010,소형승용차,1.0,30,30,35
C012030,여자상의,1.5,30,30,35
C011010,남자외의,4.4,30,30,35
C012020,원피스,1.8,30,30,35
C012010,여자외의,6.2,30,30,35
L031090,대입전형료,0.1,30,30,35
K021040,학교기숙사비,0.9,30,30,35
I051020,초등학교학습서,0.6,30,30,35
I042060,온라인콘텐츠이용료,8.0,30,30,35
E011050,책상,0.4,29,29,35
C013050,운동복,2.3,29,29,35
E011070,식탁,0.9,29,29,35
C014010,유아동복,4.6,29,29,35
I051030,중학교학습서,0.6,29,29,35
L021040,핸드백,1.4,29,29,35
F011120,홍삼,1.1,29,29,35
G011040,경승용차,0.6,29,29,35
J041080,가정학습지,3.5,29,29,35
H031040,휴대전화기수리비,0.4,28,28,35
A019190,편의점도시락,0.4,28,28,35
L031040,보험서비스료,8.6,28,28,35
I042020,공연예술관람료,0.7,27,27,35
F012100,치료재료,1.5,27,27,35
K011390,도시락,0.6,27,27,35
K011310,피자,4.1,26,26,35
L021020,장신구,1.0,26,26,35
I012020,컴퓨터수리비,0.1,26,26,35
E032020,가전제품렌탈비,2.5,26,26,35
I051050,대학교재,0.2,25,25,35
I051040,고등학교학습서,0.6,25,25,35
F011140,건강기능식품,6.5,25,25,35
F012090,건강기기렌탈비,1.5,24,24,35
E011040,소파,1.3,24,24,35
E032010,가전제품수리비,2.4,22,22,35
K011340,기타음료(외식),0.5,21,21,35
I042030,관람시설이용료,0.6,20,20,35
E031060,김치냉장고,1.1,19,19,35
E031070,에어컨,1.5,19,19,35
K011300,햄버거,4.3,18,18,35
E031080,선풍기,0.4,18,18,35
G011050,다목적승용차,7.7,18,18,35
I041100,운동경기관람료,0.2,15,15,35
K011370,막걸리(외식),0.3,14,14,35
G011020,중형승용차,1.0,14,14,35
G011030,대형승용차,3.2,14,14,35
G023020,주차료,1.2,14,14,35
L021060,유모차,0.2,13,13,35
I041010,수영장이용료,0.2,13,13,35
I012040,컴퓨터소모품,0.7,13,13,35
K011330,커피(외식),8.8,13,13,35
I051060,서적,1.5,13,13,35
F011090,조제약,5.8,12,12,35
F021020,건강검진비,1.2,12,12,35
G034020,택배이용료,1.9,11,11,35
J041110,기타학원비,0.2,11,11,35
J042030,운동강습료,3.7,10,10,35
F011160,병원약품,3.5,10,10,35
I041070,노래방이용료,0.5,8,8,35
D041010,상수도료,4.5,8,8,35
L031110,장례비,2.6,7,7,35
B011040,막걸리,0.5,7,7,35
A011160,빵,6.8,7,7,35
K011380,구내식당식사비,11.9,7,7,35
G023050,대리운전이용료,0.4,6,6,35
I012050,저장장치,0.1,6,6,35
F012030,마스크,1.6,6,6,35
I041050,골프장이용료,3.0,6,6,35
I031050,원예용품,0.4,6,6,35
E011080,싱크대,1.3,6,6,35
K011350,소주(외식),2.5,6,6,35
A019200,삼각김밥,0.4,5,5,35
J041030,고등학생학원비,13.8,5,5,35
F031020,병원검사료,1.1,5,5,35
E062010,가사도우미료,2.4,5,5,35
F011080,치과구강용약,0.3,5,5,35
A011150,케이크,1.6,5,5,35
F012040,반창고,0.1,5,5,35
C015030,장갑,0.2,5,5,35
J041100,학교보충교육비,1.4,5,5,35
G011070,전기동력차,5.1,4,4,35
F011010,감기약,0.4,4,4,35
C016010,의복수선료,0.2,4,4,35
L011030,이발료,0.3,4,4,35
J042010,취업학원비,2.0,4,4,35
E051010,보일러,1.5,4,4,35
J041060,운동학원비,5.7,4,4,35
J041050,미술학원비,2.6,4,4,35
J041040,음악학원비,3.0,4,4,35
K011080,해장국,5.0,3,3,35
I041030,헬스클럽이용료,1.5,3,3,35
J041070,전산학원비,0.5,3,3,35
B011010,소주,1.7,3,3,35
K011260,라면(외식),0.7,3,3,35
K011020,된장찌개백반,4.3,3,3,35
I041060,당구장이용료,0.5,3,3,35
G011080,자전거,0.5,3,3,35
C012050,여자내의,1.8,3,3,35
K011240,스테이크,1.5,3,3,35
G023010,자동차학원비,0.5,3,3,35
L011040,미용료,7.3,2,2,35
L011010,목욕료,0.6,2,2,35
K011360,맥주(외식),4.8,2,2,35
I041020,볼링장이용료,0.2,2,2,35
E011060,의자,0.4,2,2,35
C015010,양말,0.9,2,2,35
I031020,레저용품,1.6,2,2,35
F022020,치과보철료,6.8,2,2,35
G011060,수입승용차,9.3,2,2,35
G022010,자동차용품,0.9,2,2,35
L021070,선글라스,0.4,2,2,35
F011060,소염진통제,0.6,2,2,35
J041020,중학생학원비,13.8,2,2,35
K011170,생선초밥,2.7,2,2,35
K011070,해물찜,4.1,2,2,35
K011090,불고기,1.1,2,2,35
B011060,약주,0.1,2,2,35
I042050,문화강습료,0.9,2,2,35
F011040,위장약,0.2,2,2,35
F011150,유산균,1.2,2,2,35
F012050,안경,1.0,2,2,35
F011050,진해거담제,0.2,2,2,35
I042080,사진서비스료,1.7,1,1,35
A022030,생수,1.3,1,1,35
A018050,비스킷,1.9,1,1,35
A018030,껌,0.1,1,1,35
K011320,쌀국수,0.6,1,1,35
K011280,떡볶이,3.1,1,1,35
