월,분류,방식,예측,실제,오차,오차%
2024-08,01 식료품 및 비주류음료,탑다운,123.17548153109423,122.99,0.18548153109423993,0.15081025375578497
2024-08,02 주류 및 담배,탑다운,104.67426365307978,104.59,0.08426365307977335,0.08056568800054818
2024-08,03 의류 및 신발,탑다운,114.62691972373673,114.44,0.18691972373673593,0.16333425702266335
2024-08,"04 주택, 수도, 전기 및 연료",탑다운,113.49779161758714,113.92,-0.42220838241286174,-0.37061831321353733
2024-08,05 가정용품 및 가사 서비스,탑다운,115.57519833849547,115.35,0.2251983384954741,0.1952304625014947
2024-08,06 보건,탑다운,104.3272610391002,104.37,-0.04273896089981122,-0.040949469100135305
2024-08,07 교통,탑다운,115.94704499809399,116.17,-0.22295500190601558,-0.19192132384093621
2024-08,08 통신,탑다운,101.34913022611664,101.32,0.029130226116649283,0.02875071665677979
2024-08,09 오락 및 문화,탑다운,109.74962378155558,109.35,0.3996237815555901,0.3654538468729676
2024-08,10 교육,탑다운,106.24125963941496,106.41,-0.1687403605850335,-0.15857566073210555
2024-08,11 음식 및 숙박,탑다운,121.58331983411234,121.65,-0.06668016588766079,-0.054813124445261645
2024-08,12 기타 상품 및 서비스,탑다운,119.94967022030801,119.23,0.7196702203080036,0.603598272505245
2024-08,01 식료품 및 비주류음료,바텀업,122.93763378877397,122.99,-0.05236621122602969,-0.04257761706320001
2024-08,02 주류 및 담배,바텀업,104.53057804526341,104.59,-0.0594219547365924,-0.0568141837045534
2024-08,03 의류 및 신발,바텀업,114.3796266701039,114.44,-0.060373329896094674,-0.05275544380993942
2024-08,"04 주택, 수도, 전기 및 연료",바텀업,113.00256764578654,113.92,-0.9174323542134601,-0.8053303671115345
2024-08,05 가정용품 및 가사 서비스,바텀업,115.72419894344247,115.35,0.3741989434424795,0.32440307190505374
2024-08,06 보건,바텀업,104.69697665950383,104.37,0.3269766595038277,0.3132860587370199
2024-08,07 교통,바텀업,116.31246719849457,116.17,0.1424671984945718,0.12263682404628716
2024-08,08 통신,바텀업,101.20729408717143,101.32,-0.11270591282855946,-0.11123757681460666
2024-08,09 오락 및 문화,바텀업,110.13171639548474,109.35,0.7817163954847501,0.7148755331364884
2024-08,10 교육,바텀업,106.63475226792247,106.41,0.22475226792246872,0.21121348362228054
2024-08,11 음식 및 숙박,바텀업,121.55077266704757,121.65,-0.09922733295243802,-0.08156788569867489
2024-08,12 기타 상품 및 서비스,바텀업,119.89019024161058,119.23,0.6601902416105787,0.5537115169089816
2024-09,01 식료품 및 비주류음료,탑다운,124.5282678928097,124.72,-0.19173210719030465,-0.1537300410441827
2024-09,02 주류 및 담배,탑다운,104.4601079367904,104.48,-0.019892063209610455,-0.019039111035232058
2024-09,03 의류 및 신발,탑다운,114.6666140775703,114.44,0.2266140775703036,0.19801999088631916
2024-09,"04 주택, 수도, 전기 및 연료",탑다운,115.44734112098175,115.36,0.08734112098174762,0.07571179003272159
2024-09,05 가정용품 및 가사 서비스,탑다운,115.54824390863016,114.95,0.5982439086301525,0.5204383720140517
2024-09,06 보건,탑다운,104.38786245463233,104.5,-0.1121375453676734,-0.10730865585423291
2024-09,07 교통,탑다운,115.94621924399416,113.9,2.046219243994159,1.7965050430150646
2024-09,08 통신,탑다운,101.40070801225026,101.32,0.08070801225026969,0.0796565458451142
2024-09,09 오락 및 문화,탑다운,108.79003254903274,108.86,-0.06996745096725476,-0.06427287430392684
2024-09,10 교육,탑다운,106.15643561282687,106.51,-0.35356438717313665,-0.33195417066297683
2024-09,11 음식 및 숙박,탑다운,121.41361470060467,121.02,0.3936147006046724,0.3252476455169992
2024-09,12 기타 상품 및 서비스,탑다운,119.92546814461616,118.97,0.9554681446161624,0.8031168736792151
2024-09,01 식료품 및 비주류음료,바텀업,123.39184305120295,124.72,-1.3281569487970444,-1.0649109595871107
2024-09,02 주류 및 담배,바텀업,104.55695906324507,104.48,0.07695906324507007,0.07365913404007472
2024-09,03 의류 및 신발,바텀업,114.388007702426,114.44,-0.05199229757400303,-0.04543192727543083
2024-09,"04 주택, 수도, 전기 및 연료",바텀업,113.7448209745618,115.36,-1.615179025438195,-1.400120514422846
2024-09,05 가정용품 및 가사 서비스,바텀업,115.72088049272247,114.95,0.7708804927224691,0.6706224382100644
2024-09,06 보건,바텀업,104.76649876404737,104.5,0.2664987640473697,0.2550227407151863
2024-09,07 교통,바텀업,114.30711397834239,113.9,0.4071139783423803,0.3574310608800529
2024-09,08 통신,바텀업,101.21175509122443,101.32,-0.10824490877556059,-0.10683469085625799
2024-09,09 오락 및 문화,바텀업,110.0627875106218,108.86,1.2027875106218033,1.1048939101798672
2024-09,10 교육,바텀업,106.8090409846623,106.51,0.2990409846622981,0.2807632942092743
2024-09,11 음식 및 숙박,바텀업,121.5406922110895,121.02,0.5206922110895107,0.43025302519377845
2024-09,12 기타 상품 및 서비스,바텀업,119.7814859006258,118.97,0.8114859006257973,0.6820928810841366
2024-10,01 식료품 및 비주류음료,탑다운,123.79263406305478,124.53,-0.7373659369452241,-0.5921191174377451
2024-10,02 주류 및 담배,탑다운,104.37464674259678,104.68,-0.30535325740322605,-0.29170162151626483
2024-10,03 의류 및 신발,탑다운,114.72344412004061,114.79,-0.06655587995939527,-0.05798055576217028
2024-10,"04 주택, 수도, 전기 및 연료",탑다운,116.03894528252853,115.51,0.5289452825285252,0.4579216366795301
2024-10,05 가정용품 및 가사 서비스,탑다운,115.25799758602801,115.44,-0.18200241397198624,-0.15765974876298186
2024-10,06 보건,탑다운,104.49352344253867,104.44,0.053523442538676136,0.05124803000639232
2024-10,07 교통,탑다운,113.97761901214267,112.56,1.4176190121426657,1.2594340903897172
2024-10,08 통신,탑다운,100.74876489925626,101.32,-0.5712351007437348,-0.5637930327119374
2024-10,09 오락 및 문화,탑다운,108.74472113853761,108.71,0.03472113853761982,0.0319392314760554
2024-10,10 교육,탑다운,106.42051278097789,106.56,-0.13948721902211503,-0.13090016800123408
2024-10,11 음식 및 숙박,탑다운,121.32024820770319,121.63,-0.30975179229680805,-0.2546672632547957
2024-10,12 기타 상품 및 서비스,탑다운,119.30484104618591,120.08,-0.7751589538140848,-0.6455354378864797
2024-10,01 식료품 및 비주류음료,바텀업,122.83126468432563,124.53,-1.6987353156743694,-1.3641173337142611
2024-10,02 주류 및 담배,바텀업,104.57740429345365,104.68,-0.10259570654635297,-0.09800889047225159
2024-10,03 의류 및 신발,바텀업,114.38887555813805,114.79,-0.4011244418619526,-0.34944197391928966
