,MAE,MAE,MAPE,MAPE,n,n
방식,바텀업,탑다운,바텀업,탑다운,바텀업,탑다운
분류,,,,,,
01 식료품 및 비주류음료,0.8230797343758312,0.7965896751484619,0.6513858554683977,0.6305638543419622,24.0,24.0
02 주류 및 담배,0.1306826377362853,0.2670412924526288,0.1245035723279883,0.2546078160562311,24.0,24.0
03 의류 및 신발,0.26581449552757874,0.1734513695760486,0.2265678985769346,0.1484150939713549,24.0,24.0
"04 주택, 수도, 전기 및 연료",0.5120764198340139,0.20567224254282598,0.4405093473576285,0.17683908613505486,24.0,24.0
05 가정용품 및 가사 서비스,0.5095448247812691,0.504623107885779,0.4303050058624507,0.4256752360006793,24.0,24.0
06 보건,0.35864355192696173,0.13016744614831133,0.3396575533623826,0.12275614278275894,24.0,24.0
07 교통,0.7018721761162183,1.3277471697412626,0.5880264943171212,1.116972807471221,24.0,24.0
08 통신,1.3510769146580988,1.33442937621808,1.4155796124649014,1.4001040197715826,24.0,24.0
09 오락 및 문화,0.8002066802948123,0.4900545560026804,0.724644463368335,0.4378903191785406,24.0,24.0
10 교육,0.28389710743077085,0.20561044986692364,0.26224155179954983,0.189711197624905,24.0,24.0
11 음식 및 숙박,0.20192486788815897,0.17846070629997968,0.16204414361699657,0.1431807286129072,24.0,24.0
12 기타 상품 및 서비스,0.5763596424717038,0.5646401752899172,0.46068124991890497,0.45321944302999007,24.0,24.0
