월,소분류,방식,예측,실제,오차,오차%
2024-08,01.1 식료품,탑다운,123.28322625247849,123.16,0.12322625247848862,0.10005379382793814
2024-08,01.2 비주류 음료,탑다운,120.98705789403176,120.62,0.3670578940317597,0.3043093135730059
2024-08,02.1 주류,탑다운,112.52157063022861,111.85,0.6715706302286151,0.6004207690912965
2024-08,02.2 담배,탑다운,99.85663679863211,100.0,-0.14336320136789027,-0.14336320136789027
2024-08,03.1 의류,탑다운,115.14800214905571,114.98,0.16800214905570954,0.14611423643738872
2024-08,03.2 신발,탑다운,111.121059992316,111.37,-0.2489400076839985,-0.22352519321540673
2024-08,04.1 주택임차료,탑다운,104.05017745684378,104.09,-0.03982254315621958,-0.038257799170160034
2024-08,04.3 주거시설 유지 · 보수,탑다운,118.7341340260715,118.87,-0.13586597392850308,-0.11429795064230089
2024-08,04.4 수도 및 주거관련 서비스,탑다운,119.22040458610743,119.77,-0.5495954138925612,-0.45887568998293493
2024-08,"04.5 전기, 가스 및 기타연료",탑다운,136.53537827899092,138.52,-1.9846217210090913,-1.4327329779158902
2024-08,"05.1 가구, 가사비품 및 카페트",탑다운,126.4771165684927,125.95,0.5271165684927013,0.418512559343153
2024-08,05.2 가정용 섬유제품,탑다운,110.5844224366852,110.55,0.034422436685204616,0.031137437073907388
2024-08,05.3 가정용 기기,탑다운,104.36029603691456,104.1,0.2602960369145677,0.25004422374117935
2024-08,05.4 주방용품 및 가정용품,탑다운,118.84707536428435,119.16,-0.3129246357156461,-0.26260879130215353
2024-08,05.5 가정 · 정원용 공구 및 장비,탑다운,117.34137684040542,117.57,-0.22862315959457646,-0.19445705502643232
2024-08,05.6 일상 생활용품 및 가사 서비스,탑다운,126.85461966428605,126.63,0.2246196642860525,0.1773826615225875
2024-08,06.1 의료용품 및 장비,탑다운,102.21909488364733,102.37,-0.1509051163526749,-0.14741146464069052
2024-08,06.2 외래환자 서비스,탑다운,107.58287177224926,107.53,0.05287177224926154,0.049169322281467066
2024-08,06.3 병원 서비스,탑다운,100.73240446921467,100.92,-0.1875955307853303,-0.1858853852411121
2024-08,07.1 운송장비,탑다운,108.49207111200211,108.46,0.03207111200211443,0.029569529782513773
2024-08,07.2 개인운송장비 운영,탑다운,121.1980956564411,121.37,-0.17190434355890716,-0.141636601762303
2024-08,07.3 운송 서비스,탑다운,113.0595190096087,113.82,-0.7604809903912866,-0.6681435515650032
2024-08,08.1 우편서비스,탑다운,110.18790657053417,109.99,0.1979065705341725,0.1799314215239317
2024-08,08.2 전화 및 팩스장비,탑다운,98.63664073405073,99.63,-0.993359265949266,-0.9970483448251191
2024-08,08.3 전화 및 팩스 서비스,탑다운,101.76518113882555,101.76,0.0051811388255487145,0.005091527933911866
2024-08,"09.1 음향, 영상, 사진 및 정보처리 장비",탑다운,100.21670331278793,98.66,1.5567033127879313,1.5778464552888012
2024-08,09.2 기타 오락 및 문화용 주요 내구재,탑다운,107.9151493523176,108.05,-0.13485064768239852,-0.12480393121924897
2024-08,"09.3 기타 오락용품, 조경용품 및 애완동물",탑다운,109.59484499196341,109.1,0.4948449919634186,0.4535701117904845
