소분류,방식,MAE,MAPE,n
01.1 식료품,바텀업,0.8384282841158802,0.6636614761586058,24
01.1 식료품,탑다운,0.8244705986907791,0.6529765408774743,24
01.2 비주류 음료,바텀업,0.8666271974805954,0.6847230312681475,24
01.2 비주류 음료,탑다운,0.903108593566366,0.7117236852669153,24
02.1 주류,바텀업,0.6970604631596267,0.6168023714549012,24
02.1 주류,탑다운,0.3817644659314248,0.33835938061769527,24
02.2 담배,바텀업,0.09219673854431853,0.09233488985318639,24
02.2 담배,탑다운,0.3150464995153393,0.31544133271352165,24
03.1 의류,바텀업,0.22412897362211304,0.19002753780095613,24
03.1 의류,탑다운,0.12255200365805112,0.10429657547826972,24
03.2 신발,바텀업,0.5566520833313581,0.4894791392422351,24
03.2 신발,탑다운,0.6786698408962396,0.595640992605681,24
04.1 주택임차료,바텀업,0.037198499557184427,0.035403261949833086,24
04.1 주택임차료,탑다운,0.0226342322877174,0.021534840582455046,24
04.3 주거시설 유지 · 보수,바텀업,0.21247785549630294,0.1736902930017136,24
04.3 주거시설 유지 · 보수,탑다운,0.19055098581562765,0.15570970605605597,24
04.4 수도 및 주거관련 서비스,바텀업,0.6974992239584742,0.5598496441892432,24
04.4 수도 및 주거관련 서비스,탑다운,0.3250118619020442,0.2610677714423673,24
"04.5 전기, 가스 및 기타연료",바텀업,2.324485726855748,1.6180305196793674,24
"04.5 전기, 가스 및 기타연료",탑다운,1.0232279592822948,0.7104921671345658,24
"05.1 가구, 가사비품 및 카페트",바텀업,1.138380587603514,0.870315071703927,24
"05.1 가구, 가사비품 및 카페트",탑다운,0.9720986847204222,0.7463310423707279,24
05.2 가정용 섬유제품,바텀업,0.3562806362776462,0.3096929036660634,24
05.2 가정용 섬유제품,탑다운,0.42235363385590335,0.36688320504283567,24
05.3 가정용 기기,바텀업,0.7994436697341509,0.7486332638083845,24
05.3 가정용 기기,탑다운,0.8103095658804479,0.759611171884205,24
05.4 주방용품 및 가정용품,바텀업,1.673687226428127,1.387176910653657,24
05.4 주방용품 및 가정용품,탑다운,1.7894576641427182,1.4767527126065445,24
05.5 가정 · 정원용 공구 및 장비,바텀업,1.1335725080432344,0.9492255209190893,24
05.5 가정 · 정원용 공구 및 장비,탑다운,0.739190043815095,0.6216277353641461,24
05.6 일상 생활용품 및 가사 서비스,바텀업,0.6638188156236643,0.5096499851132479,24
05.6 일상 생활용품 및 가사 서비스,탑다운,0.6857733394365381,0.5261791926368286,24
06.1 의료용품 및 장비,바텀업,0.5090121151486381,0.4957235214991522,24
06.1 의료용품 및 장비,탑다운,0.25121231835970725,0.24443052524999534,24
06.2 외래환자 서비스,바텀업,0.08394198582943584,0.07617552387013028,24
06.2 외래환자 서비스,탑다운,0.15761451893779407,0.14358478369830074,24
06.3 병원 서비스,바텀업,0.737956659154842,0.7207413493011252,24
06.3 병원 서비스,탑다운,0.17184404178210735,0.16786681712709495,24
07.1 운송장비,바텀업,0.5793046261079198,0.5322043224393619,24
07.1 운송장비,탑다운,0.6187864136364182,0.5688532432254921,24
07.2 개인운송장비 운영,바텀업,0.6313556108455435,0.5021245308271588,24
07.2 개인운송장비 운영,탑다운,2.489959729805592,1.97676233110361,24
07.3 운송 서비스,바텀업,1.7163922398353073,1.4957748889916127,24
07.3 운송 서비스,탑다운,0.6964980871680803,0.5974790728191609,24
08.1 우편서비스,바텀업,0.6225898761500813,0.509827358189986,24
08.1 우편서비스,탑다운,0.7329272552605683,0.609390608506922,24
08.2 전화 및 팩스장비,바텀업,0.3772828149237443,0.37481916834320356,24
08.2 전화 및 팩스장비,탑다운,1.5607650114363782,1.5528793290939031,24
08.3 전화 및 팩스 서비스,바텀업,1.6168129224230892,1.7386262479227517,24
08.3 전화 및 팩스 서비스,탑다운,1.647986129122702,1.7697205447534177,24
"09.1 음향, 영상, 사진 및 정보처리 장비",바텀업,1.0588483851878188,1.0059461216190169,24
"09.1 음향, 영상, 사진 및 정보처리 장비",탑다운,0.9346067487835743,0.8943124112450104,24
09.2 기타 오락 및 문화용 주요 내구재,바텀업,1.1927267353811934,1.0740353720126958,24
09.2 기타 오락 및 문화용 주요 내구재,탑다운,0.967031822092089,0.8719971663740385,24
"09.3 기타 오락용품, 조경용품 및 애완동물",바텀업,0.5539806450653622,0.4961544647855293,24
"09.3 기타 오락용품, 조경용품 및 애완동물",탑다운,0.5399544665271113,0.4844339355068364,24
09.4 오락 및 문화 서비스,바텀업,0.6769197984801583,0.6076704476355895,24
09.4 오락 및 문화 서비스,탑다운,0.1927172395076114,0.17309701387150986,24
"09.5 신문, 서적 및 문방구",바텀업,2.322231300916003,2.0601479010772383,24
"09.5 신문, 서적 및 문방구",탑다운,0.19957419351961767,0.17775807926534806,24
09.6 단체여행,바텀업,6.187027425392453,4.905336229122507,24
09.6 단체여행,탑다운,4.286412755825052,3.3929151109415145,24
10.1 유치원 및 초등교육,바텀업,1.3803326490857868,2.7883772412411774,24
10.1 유치원 및 초등교육,탑다운,1.4028127048705128,2.858306136852781,24
10.3 고등교육,바텀업,0.535270160023579,0.5074394129410001,24
10.3 고등교육,탑다운,0.5506007319799421,0.5223420454457388,24
10.4 기타교육,바텀업,0.1288604471039907,0.11524408385594044,24
10.4 기타교육,탑다운,0.09401514102985331,0.08416676008949263,24
11.1 음식 서비스,바텀업,0.13195084071520155,0.10618851908755832,24
11.1 음식 서비스,탑다운,0.12126661106441539,0.09780383962296146,24
11.2 숙박 서비스,바텀업,3.6536283669350866,3.018324799112109,24
11.2 숙박 서비스,탑다운,1.8445895953234217,1.5504490596288187,24
12.1 미용용품 및 미용 서비스,바텀업,0.5650235984366306,0.4728124068560719,24
12.1 미용용품 및 미용 서비스,탑다운,0.4571955922463549,0.3855507924172216,24
12.3 기타 개인용품,바텀업,0.6042951353590335,0.528454199642261,24
12.3 기타 개인용품,탑다운,0.7071784535033162,0.620692848452849,24
