"년월","PPI_총지수(2020=100)","PPI_전월비%","원달러환율_월평균","원달러환율_전월비%"
"2000-01","76.45",,"1131.07",
"2000-02","76.26","-0.249","1128.8","-0.201"
"2000-03","76.21","-0.066","1117.19","-1.029"
"2000-04","75.84","-0.486","1109.76","-0.665"
"2000-05","75.66","-0.237","1120.01","0.924"
"2000-06","75.84","0.238","1118.73","-0.114"
"2000-07","75.92","0.105","1114.86","-0.346"
"2000-08","75.92","0","1114.57","-0.026"
"2000-09","76.17","0.329","1116.5","0.173"
"2000-10","76.09","-0.105","1127.31","0.968"
"2000-11","76.06","-0.039","1151.15","2.115"
"2000-12","76.15","0.118","1214.4","5.495"
"2001-01","76.37","0.289","1272.82","4.811"
"2001-02","76.21","-0.210","1252.44","-1.601"
"2001-03","76.39","0.236","1288.43","2.874"
"2001-04","76.34","-0.065","1325.55","2.881"
"2001-05","76.27","-0.092","1298.46","-2.044"
"2001-06","75.96","-0.406","1293.83","-0.357"
"2001-07","75.91","-0.066","1302.6","0.678"
"2001-08","75.54","-0.487","1285.39","-1.321"
"2001-09","75.34","-0.265","1293.7","0.646"
"2001-10","74.98","-0.478","1302.6","0.688"
"2001-11","74.68","-0.400","1284","-1.428"
"2001-12","74.22","-0.616","1289.66","0.441"
"2002-01","74.4","0.243","1317.6","2.166"
"2002-02","74.77","0.497","1318.72","0.085"
"2002-03","75.16","0.522","1322.51","0.287"
"2002-04","75.74","0.772","1318.93","-0.271"
"2002-05","76.07","0.436","1266.06","-4.009"
"2002-06","75.58","-0.644","1223.47","-3.364"
"2002-07","75.37","-0.278","1185.12","-3.135"
"2002-08","75.46","0.119","1196.37","0.949"
"2002-09","75.62","0.212","1208.5","1.014"
"2002-10","75.72","0.132","1241.13","2.700"
"2002-11","75.87","0.198","1211.91","-2.354"
"2002-12","75.88","0.013","1208.91","-0.248"
"2003-01","76.45","0.751","1179.27","-2.452"
"2003-02","76.86","0.536","1191.19","1.011"
"2003-03","77.61","0.976","1232.4","3.460"
"2003-04","77.22","-0.503","1232.82","0.034"
"2003-05","76.79","-0.557","1199.78","-2.680"
"2003-06","76.42","-0.482","1194.02","-0.480"
"2003-07","76.56","0.183","1181.59","-1.041"
"2003-08","76.84","0.366","1178.42","-0.268"
"2003-09","77.16","0.416","1166.17","-1.040"
"2003-10","77.39","0.298","1166.27","0.009"
"2003-11","77.74","0.452","1184.87","1.595"
"2003-12","78.25","0.656","1192.95","0.682"
"2004-01","79.32","1.367","1184.32","-0.723"
"2004-02","80.31","1.248","1166.69","-1.489"
"2004-03","81.08","0.959","1166.34","-0.030"
"2004-04","81.47","0.481","1150.85","-1.328"
"2004-05","81.67","0.245","1177.37","2.304"
"2004-06","81.59","-0.098","1158.65","-1.590"
"2004-07","81.92","0.404","1157.66","-0.085"
"2004-08","82.64","0.879","1159","0.116"
"2004-09","82.98","0.411","1147.97","-0.952"
"2004-10","83.01","0.036","1144.04","-0.342"
"2004-11","83.07","0.072","1091.19","-4.620"
"2004-12","82.46","-0.734","1050.91","-3.691"
