"년월","보통휘발유_원/L","보통휘발유_전월비%","자동차용경유_원/L","자동차용경유_전월비%","실내등유_원/L","실내등유_전월비%","자동차용LPG_원/L","자동차용LPG_전월비%"
"2000-01","1220.34",,"583.35",,"548.92",,,
"2000-02","1214","-0.52","578.77","-0.785","545.86","-0.557",,
"2000-03","1212.51","-0.123","578.12","-0.112","545.01","-0.156",,
"2000-04","1190.17","-1.842","566.99","-1.925","502.68","-7.767",,
"2000-05","1187.77","-0.202","548.97","-3.178","482.54","-4.007",,
"2000-06","1246.45","4.94","584.17","6.412","520","7.763",,
"2000-07","1244.38","-0.166","581.66","-0.43","520.24","0.046",,
"2000-08","1275.65","2.513","618.68","6.365","553.57","6.407",,
"2000-09","1306.92","2.451","648.06","4.749","582.18","5.168",,
"2000-10","1306.15","-0.059","692.18","6.808","630.34","8.272",,
"2000-11","1277.86","-2.166","689.9","-0.329","644.26","2.208",,
"2000-12","1298.02","1.578","682.46","-1.078","639.29","-0.771",,
"2001-01","1287.02","-0.847","660.99","-3.146","613.6","-4.019","448.99",
"2001-02","1285.34","-0.131","658.18","-0.425","611.36","-0.365","466.13","3.817"
"2001-03","1284.85","-0.038","656.25","-0.293","610.6","-0.124","459.47","-1.429"
"2001-04","1294.67","0.764","663.57","1.115","609.58","-0.167","448.19","-2.455"
"2001-05","1292.34","-0.18","645.4","-2.738","593.58","-2.625","416.69","-7.028"
"2001-06","1301.15","0.682","644.55","-0.132","592.81","-0.13","388.2","-6.837"
"2001-07","1302.25","0.085","651.61","1.095","592.3","-0.086","459.44","18.351"
"2001-08","1291.87","-0.797","649.43","-0.335","574.76","-2.961","459.52","0.017"
"2001-09","1278.93","-1.002","650.29","0.132","567.45","-1.272","437.23","-4.851"
"2001-10","1273.23","-0.446","651.45","0.178","564.59","-0.504","437.28","0.011"
"2001-11","1248.47","-1.945","618.03","-5.13","532.03","-5.767","437.22","-0.014"
"2001-12","1219.87","-2.291","585.17","-5.317","500.18","-5.987","421.63","-3.566"
"2002-01","1227.5","0.625","597.91","2.177","509.85","1.933","415.22","-1.52"
"2002-02","1225.43","-0.169","600.11","0.368","509.6","-0.049","431.61","3.947"
"2002-03","1233.62","0.668","609.21","1.516","512.47","0.563","421.75","-2.284"
"2002-04","1265.08","2.55","652.75","7.147","536.59","4.707","421.72","-0.007"
"2002-05","1293.46","2.243","681.37","4.385","548.88","2.29","416.56","-1.224"
"2002-06","1289.42","-0.312","679.23","-0.314","549.23","0.064","414.07","-0.598"
"2002-07","1278.72","-0.83","698.63","2.856","553.2","0.723","470.94","13.734"
"2002-08","1269.97","-0.684","696.58","-0.293","552.49","-0.128","448.76","-4.71"
"2002-09","1267.72","-0.177","696.55","-0.004","560.58","1.464","463.04","3.182"
"2002-10","1291.09","1.843","725.88","4.211","597.41","6.57","500.03","7.989"
